genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
23,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0,0,8.8700832,0,5.8240116,1.7199072,280.292342,0,0,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,9.1502928,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,33.03828,0,,,13.6904196,,0,,1.5145812,0,,,4.9664736,10.242144,6.3747684,0,0.3212748,1.0725264,
24,7.2298908,0,0,0,17.0517204,0,0,0,,0,0,0.96624,0,8.8700832,0,5.8240116,1.7199072,280.292342,0,3.9809088,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,13.7254392,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,33.03828,0,,,13.6904196,,0,,1.5145812,0,,,4.9664736,10.242144,6.3747684,0,0.3212748,1.0725264,
25,7.331346,0,0,0,17.0517204,0,0,0,,0,0,3.1813452,0,8.8700832,0,5.8240116,1.7199072,280.292342,1.9155708,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,22.875732,,,,,,,0.9227592,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,33.03828,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
26,7.331346,0,0,0,17.0517204,0,0,0,,0,0,6.3626904,2.3383008,8.8700832,0,5.8240116,1.7199072,280.292342,3.8601288,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,28.250442,,,,,,,3.997818,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,0.57442,33.03828,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
27,7.331346,0,0,0,17.0517204,0,0,0,,0,2.9011356,6.3626904,7.0197336,8.8700832,0,5.8240116,1.7199072,280.148737,8.829018,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,33.9005304,,,,,,,3.997818,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,3.811687,33.03828,1.2730212,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
28,7.331346,0,0,0,17.0517204,0,0,0,,0,6.775758,6.3626904,7.0197336,8.8700832,0,5.8240116,1.7199072,280.148737,8.829018,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,33.9005304,,,,,,,3.997818,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,17.162849,33.03828,1.2730212,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
29,7.331346,0,0,0,17.0517204,0,0,0,,0,6.775758,6.3626904,7.0197336,8.8700832,0,5.8240116,1.7199072,280.148737,8.829018,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,33.9005304,,,,,,,3.997818,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,17.162849,33.03828,1.2730212,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
30,7.331346,0,0,0,17.0517204,0,0,0,,0,6.775758,6.3626904,7.0197336,8.8700832,0,5.8240116,1.7199072,280.148737,8.829018,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,33.9005304,,,,,,,3.997818,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,17.162849,33.03828,1.2730212,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
31,7.331346,0,0,0,17.0517204,0,0,0,,0,6.775758,6.3626904,7.0197336,8.8700832,0,5.8240116,1.7199072,280.148737,8.829018,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,33.9005304,,,,,,,3.997818,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,17.162849,32.12055,1.2730212,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.2681316,1.0725264,
32,7.331346,0,0,0,17.0517204,0,0,0,,0,3.393918,6.3626904,7.0197336,8.8700832,0,5.8240116,1.7199072,280.148737,8.829018,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,28.250442,,,,,,,0.8599536,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,17.162849,32.12055,1.2730212,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,6.3989244,1.0725264,
33,7.2540468,0,0,0,17.0517204,0,0,0,,0,3.393918,6.3626904,0.4613796,8.8700832,0,5.8240116,1.5894648,280.148737,3.8601288,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,21.8225304,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,17.162849,32.12055,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,6.3989244,1.0725264,
34,7.2540468,0,0,0,17.0517204,0,0,0,,0,0,3.1813452,0,8.8700832,0,5.8240116,1.5894648,280.148737,1.9469736,7.9618176,4.396392,5.192931315,,,10.9233432,23.8830372,,,,0,,0,,16.5695596,14.8704336,,,,,,,0,0,0,13.0587336,35.07592,28.6876656,40.5196176,,,3.811687,32.12055,0,,,13.6904196,,0,,0,0,,,4.9664736,10.242144,6.3747684,0,0.7995636,1.0725264,
