Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-85.00,72.18,1.64,-63.00,0.00,38.50
00:15 - 00:30,-66.00,97.21,1.44,-67.00,0.00,91.44
00:30 - 00:45,-77.00,102.02,1.25,-67.00,0.00,91.44
00:45 - 01:00,-14.00,110.69,1.06,-67.00,0.00,81.81
01:00 - 01:15,27.91,97.22,0.96,-65.00,0.00,38.50
01:15 - 01:30,39.46,74.11,0.77,-65.00,0.00,52.94
01:30 - 01:45,48.13,87.58,0.67,-66.00,0.00,33.69
01:45 - 02:00,49.09,75.07,0.67,-65.00,0.00,33.69
02:00 - 02:15,54.86,50.05,7.41,-65.00,0.00,-10.00
02:15 - 02:30,52.93,48.13,7.41,-66.00,0.00,-25.00
02:30 - 02:45,46.20,8.66,7.41,-65.00,0.00,-35.00
02:45 - 03:00,50.05,0.00,7.41,-66.00,0.00,-35.00
03:00 - 03:15,15.40,14.44,7.41,-67.00,0.00,-30.00
03:15 - 03:30,12.51,9.63,7.41,-66.00,0.00,-35.00
03:30 - 03:45,16.36,0.00,7.41,-60.00,0.00,-35.00
03:45 - 04:00,9.63,0.00,7.41,-63.00,0.00,-35.00
04:00 - 04:15,29.83,13.48,6.74,-63.00,0.00,19.25
04:15 - 04:30,23.10,0.00,6.74,-63.00,0.00,-25.00
04:30 - 04:45,29.84,61.59,6.26,-61.00,0.00,9.63
04:45 - 05:00,-25.00,66.42,6.06,-63.00,0.00,0.00
05:00 - 05:15,25.99,63.52,5.78,-67.00,0.00,-10.00
05:15 - 05:30,76.04,68.34,5.29,-69.00,0.00,19.25
05:30 - 05:45,64.49,68.33,6.74,-67.00,0.00,9.63
05:45 - 06:00,74.11,75.08,7.70,-69.00,0.00,33.69
06:00 - 06:15,86.63,80.85,8.66,-66.00,0.00,24.06
06:15 - 06:30,78.91,78.93,9.63,-66.00,0.00,14.44
06:30 - 06:45,58.71,67.37,10.59,-66.00,0.00,28.88
06:45 - 07:00,37.54,51.01,11.55,-65.00,0.00,28.88
07:00 - 07:15,10.59,84.70,12.51,-49.00,0.00,19.25
07:15 - 07:30,0.00,64.48,13.48,-47.00,0.00,19.25
07:30 - 07:45,30.80,72.19,14.44,-15.00,0.00,24.06
07:45 - 08:00,31.76,75.08,15.40,-14.00,0.00,19.25
08:00 - 08:15,15.40,91.43,9.63,-30.00,0.00,9.63
08:15 - 08:30,8.66,85.66,10.11,-14.00,0.00,19.25
08:30 - 08:45,9.63,66.40,10.11,0.00,0.00,38.50
08:45 - 09:00,0.00,29.84,10.11,0.00,0.00,33.68
09:00 - 09:15,43.31,32.73,17.33,0.00,0.00,57.74
09:15 - 09:30,59.68,54.86,18.29,0.00,0.00,81.81
09:30 - 09:45,42.35,58.71,19.25,0.00,0.00,101.07
09:45 - 10:00,61.60,69.30,20.21,0.00,0.00,96.25
10:00 - 10:15,27.91,67.38,20.21,0.00,0.00,125.13
10:15 - 10:30,59.68,69.30,20.21,0.00,0.00,62.56
10:30 - 10:45,25.99,112.60,25.03,0.00,0.00,86.63
10:45 - 11:00,55.83,126.08,24.06,0.00,0.00,91.44
11:00 - 11:15,103.95,135.72,23.58,0.00,0.00,81.81
11:15 - 11:30,112.61,140.53,24.06,0.00,0.00,86.63
11:30 - 11:45,179.03,139.56,24.06,0.00,0.00,110.69
11:45 - 12:00,179.02,125.13,21.18,0.00,0.00,120.31
12:00 - 12:15,202.13,205.97,23.10,0.00,0.00,155.93
12:15 - 12:30,207.90,197.31,22.14,0.00,0.00,158.81
12:30 - 12:45,190.58,189.61,21.18,0.00,0.00,255.06
12:45 - 13:00,209.83,188.65,21.18,0.00,0.00,230.99
13:00 - 13:15,55.83,176.13,21.18,0.00,0.00,120.31
13:15 - 13:30,34.65,175.17,21.18,0.00,0.00,105.88
13:30 - 13:45,0.00,198.27,21.18,0.00,0.00,149.19
13:45 - 14:00,-21.00,193.46,21.18,0.00,0.00,134.75
14:00 - 14:15,-22.00,212.71,18.29,0.00,0.00,14.44
14:15 - 14:30,-25.00,195.39,18.29,0.00,0.00,57.75
14:30 - 14:45,0.00,223.30,16.84,0.00,0.00,86.63
14:45 - 15:00,0.00,259.88,15.88,0.00,0.00,84.70
15:00 - 15:15,40.43,230.99,16.36,0.00,0.00,167.48
15:15 - 15:30,33.69,234.85,16.36,0.00,0.00,174.21
15:30 - 15:45,25.99,249.29,16.84,-12.00,0.00,178.06
15:45 - 16:00,33.69,245.43,17.33,-16.00,0.00,176.14
16:00 - 16:15,59.68,197.31,11.07,-20.00,0.00,157.85
16:15 - 16:30,92.40,255.06,11.55,-25.00,0.00,150.15
16:30 - 16:45,91.44,228.11,11.55,-28.00,0.00,159.78
16:45 - 17:00,94.33,223.29,11.55,-31.00,0.00,133.79
17:00 - 17:15,113.58,168.44,13.48,-38.00,0.00,233.87
17:15 - 17:30,120.31,139.56,12.51,-49.00,0.00,235.81
17:30 - 17:45,139.56,131.86,10.59,-61.00,0.00,132.83
17:45 - 18:00,133.79,102.03,9.63,-74.00,0.00,135.70
18:00 - 18:15,168.43,63.53,7.70,-62.00,0.00,96.25
18:15 - 18:30,158.80,64.49,6.74,-75.00,0.00,67.38
18:30 - 18:45,126.09,81.81,6.74,-85.00,0.00,19.25
18:45 - 19:00,125.13,144.36,5.78,-92.00,0.00,110.69
19:00 - 19:15,72.19,6.74,5.78,0.00,0.00,134.74
19:15 - 19:30,85.66,81.81,5.78,0.00,0.00,178.06
19:30 - 19:45,98.18,93.36,4.81,0.00,0.00,115.50
19:45 - 20:00,80.85,90.48,4.81,0.00,0.00,115.50
20:00 - 20:15,55.83,93.36,6.74,0.00,0.00,115.50
20:15 - 20:30,68.34,102.99,6.74,-15.00,0.00,105.87
20:30 - 20:45,143.40,106.84,6.74,-15.00,0.00,48.13
20:45 - 21:00,179.02,102.99,6.74,-15.00,0.00,48.13
21:00 - 21:15,156.89,84.70,5.78,-15.00,0.00,81.81
21:15 - 21:30,223.29,96.25,5.78,-15.00,-8.30,91.44
21:30 - 21:45,295.48,125.13,5.78,-15.00,-8.30,120.31
21:45 - 22:00,321.46,125.13,5.78,-15.00,0.00,125.13
