Generator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Revision No,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT-Bawana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Schedule,764.6552,764.6552,879.8552,879.8552,808.6552,746.6552,796.6552,796.6552,586.6552,586.6552,543.0000,543.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0000,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,473.0001,505.0000,500.0000,505.0000,505.0000,493.0000,493.0000,493.0000,493.0000,473.0000,473.0000,473.0000,473.0000,485.0000,473.0000,473.0000,473.0000,513.0000,583.0000,513.0000,513.0000,513.0000,513.0000,513.0000,660.6552,606.6552,659.6552,733.6552,874.6552,863.6552,910.0000,880.0000,880.0000,880.0000,880.0000,880.0000,880.0000
DC Considered for Schedule,880.00,880.00,880.00,880.00,880.00,880.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,880.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00,910.00
