Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,38.46,73.06,3.85,-95.00,0.00,4.81
00:15 - 00:30,-28.00,74.99,3.85,-95.00,0.00,9.61
00:30 - 00:45,143.24,72.11,2.88,-99.00,0.00,24.04
00:45 - 01:00,193.25,76.91,2.88,-99.00,0.00,33.65
01:00 - 01:15,180.74,49.99,1.92,-99.00,0.00,38.46
01:15 - 01:30,214.39,54.80,1.92,-99.00,0.00,72.11
01:30 - 01:45,243.24,30.76,0.96,-99.00,0.00,57.68
01:45 - 02:00,265.35,60.57,0.96,-99.00,0.00,57.68
02:00 - 02:15,260.54,201.89,0.00,-90.00,0.00,67.30
02:15 - 02:30,301.88,225.93,0.00,-90.00,0.00,62.49
02:30 - 02:45,264.38,184.59,0.00,-90.00,0.00,72.11
02:45 - 03:00,240.35,139.40,0.00,-90.00,0.00,72.11
03:00 - 03:15,334.57,146.13,-1.00,-90.00,0.00,72.11
03:15 - 03:30,262.46,147.09,-1.00,-90.00,0.00,72.11
03:30 - 03:45,208.62,122.10,-1.00,-90.00,0.00,-90.00
03:45 - 04:00,148.05,81.72,-1.00,-90.00,0.00,-90.00
04:00 - 04:15,195.16,80.76,-2.00,-90.00,0.00,-85.00
04:15 - 04:30,140.36,81.72,-2.00,-90.00,0.00,-80.00
04:30 - 04:45,276.88,90.37,-2.00,-90.00,0.00,86.53
04:45 - 05:00,315.34,98.06,-2.00,-90.00,0.00,86.53
05:00 - 05:15,387.45,35.57,-1.00,-90.00,0.00,105.75
05:15 - 05:30,334.57,38.46,-1.00,-90.00,0.00,105.75
05:30 - 05:45,272.08,16.34,-1.00,-90.00,0.00,105.75
05:45 - 06:00,257.65,13.46,-1.00,-90.00,0.00,115.37
06:00 - 06:15,152.86,13.46,0.00,-90.00,0.00,134.60
06:15 - 06:30,178.82,21.15,0.00,-90.00,0.00,149.02
06:30 - 06:45,149.98,32.69,0.00,-90.00,0.00,163.43
06:45 - 07:00,146.13,26.92,0.00,-90.00,0.00,163.44
07:00 - 07:15,224.97,7.69,0.00,-90.00,0.00,129.79
07:15 - 07:30,88.45,31.73,0.00,-90.00,0.00,14.42
07:30 - 07:45,0.00,205.74,0.96,-90.00,0.00,28.84
07:45 - 08:00,47.11,224.97,1.92,-90.00,0.00,4.81
08:00 - 08:15,0.00,82.68,-7.00,-78.00,0.00,-25.00
08:15 - 08:30,0.00,100.95,-7.00,-64.00,0.00,0.00
