Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-37.00,-77.00,0.00,0.00,-8.00
00:15 - 00:30,-29.00,-42.00,0.00,0.00,-8.00
00:30 - 00:45,-17.00,-39.00,7.49,0.00,-17.00
00:45 - 01:00,-7.00,-48.00,7.30,0.00,-17.00
01:00 - 01:15,0.00,-10.00,7.11,0.00,-3.00
01:15 - 01:30,0.00,-10.00,6.91,0.00,-4.00
01:30 - 01:45,32.66,-22.00,6.72,0.00,-20.00
01:45 - 02:00,24.01,-25.00,6.53,0.00,-21.00
02:00 - 02:15,24.01,0.00,6.34,0.00,-2.00
02:15 - 02:30,22.09,0.00,6.15,0.00,1.92
02:30 - 02:45,18.25,0.00,5.95,0.00,-3.00
02:45 - 03:00,21.13,0.00,5.76,0.00,-1.00
03:00 - 03:15,28.82,5.76,5.76,0.00,-3.00
03:15 - 03:30,26.90,7.68,5.76,0.00,-1.00
03:30 - 03:45,24.01,0.00,5.76,0.00,-6.00
03:45 - 04:00,24.01,0.00,5.76,0.00,-6.00
04:00 - 04:15,-10.00,0.00,5.76,0.00,-26.00
04:15 - 04:30,-55.00,0.00,5.76,0.00,-26.00
04:30 - 04:45,-39.00,-16.00,5.76,0.00,-12.00
04:45 - 05:00,-19.00,-22.00,6.24,0.00,-10.00
05:00 - 05:15,0.00,-10.00,3.36,0.00,-12.00
05:15 - 05:30,8.64,13.45,4.51,0.00,-17.00
05:30 - 05:45,24.01,-41.00,-4.00,0.00,24.01
05:45 - 06:00,0.00,-24.00,-3.20,0.00,27.85
06:00 - 06:15,-25.00,-39.00,-2.70,0.00,-19.00
06:15 - 06:30,-25.00,7.68,-2.60,0.00,-14.00
06:30 - 06:45,-56.00,-6.00,-2.10,0.00,-42.00
06:45 - 07:00,-17.00,-39.00,-1.60,0.00,-39.00
07:00 - 07:15,0.00,-140.00,-1.00,0.00,-77.00
07:15 - 07:30,-30.00,-97.00,0.00,0.00,-79.00
07:30 - 07:45,0.00,-120.00,0.00,0.00,-79.00
07:45 - 08:00,0.00,-115.00,0.00,0.00,-74.00
08:00 - 08:15,0.00,-28.00,0.29,0.00,-76.00
08:15 - 08:30,0.00,-16.00,0.58,0.00,-50.00
08:30 - 08:45,25.93,-20.00,9.80,0.00,-14.00
08:45 - 09:00,40.34,-26.00,9.60,0.00,-18.00
09:00 - 09:15,62.43,0.00,5.76,0.00,-18.00
09:15 - 09:30,74.91,0.00,5.67,0.00,1.92
09:30 - 09:45,110.44,19.21,5.57,0.00,21.13
09:45 - 10:00,124.85,14.41,5.47,0.00,66.27
10:00 - 10:15,99.89,4.80,4.51,0.00,55.70
10:15 - 10:30,79.71,-37.00,4.42,0.00,62.43
10:30 - 10:45,40.34,-39.00,3.84,0.00,27.85
10:45 - 11:00,39.37,-33.00,3.27,0.00,36.50
11:00 - 11:15,55.70,-7.00,4.99,0.00,63.39
11:15 - 11:30,24.97,-35.00,4.90,0.00,39.37
11:30 - 11:45,20.17,-45.00,5.76,0.00,51.86
11:45 - 12:00,19.21,-35.00,5.76,0.00,49.94
12:00 - 12:15,20.17,-67.00,5.76,0.00,58.59
12:15 - 12:30,2.88,-68.00,5.47,0.00,57.63
12:30 - 12:45,-13.00,-47.00,5.47,0.00,48.98
12:45 - 13:00,-22.00,-50.00,5.28,0.00,48.02
13:00 - 13:15,4.80,-57.00,5.09,0.00,-2.00
13:15 - 13:30,32.66,-58.00,4.99,0.00,0.00
13:30 - 13:45,21.13,-62.00,4.80,0.00,8.64
13:45 - 14:00,11.52,-57.00,4.80,0.00,17.29
14:00 - 14:15,-5.00,-57.00,4.80,0.00,12.49
14:15 - 14:30,-11.00,-56.00,4.80,0.00,20.17
14:30 - 14:45,0.00,-56.00,4.80,0.00,16.33
14:45 - 15:00,0.00,-55.00,4.80,0.00,22.09
15:00 - 15:15,27.85,-56.00,4.80,0.00,60.51
15:15 - 15:30,17.29,-57.00,4.80,0.00,62.43
15:30 - 15:45,-14.00,-18.00,3.84,0.00,11.53
15:45 - 16:00,3.84,-20.00,4.32,0.00,57.63
16:00 - 16:15,-10.00,0.00,5.28,0.00,62.43
16:15 - 16:30,19.21,-29.00,6.43,0.00,62.43
16:30 - 16:45,-7.00,0.00,6.72,0.00,8.65
16:45 - 17:00,-8.00,0.00,7.40,0.00,-35.00
