Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,30.72,0.00,-1.50,15.26,0.00,-70.00
00:15 - 00:30,4.80,0.00,-1.50,14.40,0.00,-58.00
00:30 - 00:45,65.28,0.00,-1.50,14.40,0.00,-68.00
00:45 - 01:00,43.20,0.00,-1.50,14.40,0.00,-64.00
01:00 - 01:15,25.92,0.00,-1.50,14.21,0.00,-70.00
01:15 - 01:30,13.44,0.00,-1.50,14.02,0.00,-71.00
01:30 - 01:45,32.64,0.00,-1.50,14.02,0.00,-71.00
01:45 - 02:00,69.12,0.00,-1.50,14.02,0.00,-69.00
02:00 - 02:15,-12.00,0.00,-1.50,14.02,0.00,-56.00
02:15 - 02:30,51.84,0.00,-1.50,14.02,0.00,-57.00
02:30 - 02:45,47.04,0.00,-1.50,14.02,0.00,-59.00
02:45 - 03:00,39.36,0.00,-1.50,14.02,0.00,-60.00
03:00 - 03:15,-13.00,0.00,-1.50,13.73,0.00,-64.00
03:15 - 03:30,-16.00,0.00,-1.50,13.44,0.00,-66.00
03:30 - 03:45,-26.00,0.00,-1.50,13.44,0.00,-57.00
03:45 - 04:00,-30.00,0.00,-1.50,13.44,0.00,-58.00
04:00 - 04:15,-13.00,0.00,-1.50,13.44,0.00,-50.00
04:15 - 04:30,-21.00,0.00,-1.50,14.02,0.00,-53.00
04:30 - 04:45,-18.00,24.00,-1.50,14.02,0.00,-40.00
04:45 - 05:00,-13.00,0.00,-1.50,14.40,0.00,-40.00
05:00 - 05:15,-19.00,0.00,-1.50,14.40,0.00,-40.00
05:15 - 05:30,0.00,41.28,-1.50,15.36,0.00,-40.00
05:30 - 05:45,37.44,0.00,-1.50,15.36,0.00,-37.00
05:45 - 06:00,58.56,-30.00,-1.50,16.32,0.00,-39.00
06:00 - 06:15,0.00,-106.00,-1.50,16.32,0.00,-59.00
06:15 - 06:30,7.68,-80.00,-1.50,18.24,0.00,-118.00
06:30 - 06:45,-116.00,-51.00,-1.50,19.20,0.00,-49.00
06:45 - 07:00,-103.00,-32.00,-1.50,20.16,0.00,-80.00
07:00 - 07:15,-133.00,-24.00,-1.50,21.12,0.00,-73.00
07:15 - 07:30,-185.00,-36.00,-1.50,22.08,0.00,-82.00
07:30 - 07:45,-169.00,51.84,-1.50,24.00,0.00,-130.00
07:45 - 08:00,-144.00,48.00,-1.50,24.00,0.00,-93.00
08:00 - 08:15,0.00,121.92,-1.50,24.96,0.00,-101.00
08:15 - 08:30,0.00,119.04,-1.50,24.96,0.00,-82.00
08:30 - 08:45,36.48,112.32,-1.50,24.96,0.00,-92.00
08:45 - 09:00,24.96,105.60,-1.50,24.96,0.00,-94.00
09:00 - 09:15,0.00,109.44,-1.50,24.48,-20.00,-29.00
09:15 - 09:30,0.00,104.64,-1.50,24.00,-20.00,-26.00
09:30 - 09:45,-68.00,111.36,-1.50,24.00,-20.00,-63.00
09:45 - 10:00,-41.00,119.04,-1.50,23.04,-20.00,-66.00
10:00 - 10:15,-44.00,108.48,-1.00,23.04,-20.00,-45.00
10:15 - 10:30,-48.00,54.72,-1.00,22.08,-20.00,-27.00
10:30 - 10:45,-80.00,46.08,-1.00,22.08,-20.00,15.36
10:45 - 11:00,-10.00,38.40,0.00,21.12,0.00,-5.00
11:00 - 11:15,-79.00,49.92,-1.00,21.12,-20.00,-34.00
11:15 - 11:30,-82.00,48.96,-1.00,21.12,-20.00,-39.00
11:30 - 11:45,-100.00,30.72,-1.00,19.20,-20.00,-52.00
11:45 - 12:00,-101.00,32.64,-1.00,19.20,-20.00,-54.00
12:00 - 12:15,-113.00,0.00,-1.00,18.24,-20.00,-49.00
12:15 - 12:30,-119.00,0.00,-1.00,18.24,-20.00,-45.00
12:30 - 12:45,-111.00,0.00,-1.00,17.28,-20.00,-40.00
12:45 - 13:00,-122.00,0.00,-1.00,16.32,-20.00,-38.00
13:00 - 13:15,-118.00,0.00,-1.00,15.94,-20.00,-24.00
13:15 - 13:30,-120.00,0.00,-1.00,15.36,-15.00,-22.00
13:30 - 13:45,-99.00,6.72,-1.00,14.40,-15.00,9.60
13:45 - 14:00,-103.00,17.28,-1.00,13.82,-15.00,9.60
14:00 - 14:15,-90.00,7.68,-1.00,13.15,-15.00,17.28
14:15 - 14:30,-71.00,16.32,-1.00,12.96,-15.00,15.36
14:30 - 14:45,-98.00,15.36,-1.00,12.86,-15.00,0.96
14:45 - 15:00,-79.00,12.48,-1.00,11.23,-15.00,-1.00
15:00 - 15:15,-170.00,21.12,-1.00,11.04,-15.00,-28.00
15:15 - 15:30,-155.00,25.92,-1.00,12.19,-15.00,-44.00
15:30 - 15:45,-205.00,13.44,-1.00,12.19,-15.00,-69.00
15:45 - 16:00,-202.00,16.32,-1.00,12.77,-15.00,-84.00
16:00 - 16:15,-169.00,21.12,-1.00,13.15,-15.00,-57.00
16:15 - 16:30,-143.00,11.52,-1.00,13.15,-15.00,-63.00
16:30 - 16:45,-161.00,0.00,-1.00,14.40,-15.00,-107.00
16:45 - 17:00,-133.00,0.00,-1.00,15.36,-15.00,-127.00
17:00 - 17:15,-64.00,-14.00,-1.00,20.16,0.00,-107.00
17:15 - 17:30,-42.00,-22.00,-0.78,20.16,0.00,-109.00
17:30 - 17:45,-127.00,-39.00,-1.00,20.64,0.00,-110.00
17:45 - 18:00,-122.00,-31.00,-1.00,20.16,0.00,-105.00
18:00 - 18:15,-65.00,9.60,-1.00,20.16,0.00,-100.00
18:15 - 18:30,-80.00,-10.00,-1.00,21.12,0.00,-95.00
18:30 - 18:45,-30.00,0.00,-1.00,22.08,0.00,-120.00
18:45 - 19:00,-20.00,24.96,-1.00,23.04,0.00,-115.00
