Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,43.13,0.00,0.17,-1.50,5.61,-38.00,5.09,0.00,-82.00
00:15 - 00:30,9.88,0.00,0.18,-1.50,5.57,-39.00,4.13,0.00,-107.00
00:30 - 00:45,51.42,0.00,0.19,-1.50,5.82,-36.00,0.19,0.00,-95.00
00:45 - 01:00,49.48,0.00,0.19,-1.50,5.72,-37.00,0.00,0.00,-96.00
01:00 - 01:15,52.39,0.00,0.19,-1.50,5.53,-45.00,0.00,0.29,-112.00
01:15 - 01:30,53.36,0.00,0.19,-1.50,5.43,-44.00,0.00,0.29,-111.00
01:30 - 01:45,57.23,0.00,0.68,-1.50,5.24,-45.00,0.00,0.29,-77.00
01:45 - 02:00,80.52,0.00,0.68,-1.50,5.04,-45.00,0.00,0.29,-71.00
02:00 - 02:15,86.34,0.00,0.68,-1.50,4.85,-43.00,0.00,0.29,-70.00
02:15 - 02:30,91.19,0.00,0.68,-1.50,4.66,-44.00,0.00,0.29,-70.00
02:30 - 02:45,88.27,0.00,0.68,-1.50,4.37,-44.00,0.00,0.29,-75.00
02:45 - 03:00,65.96,0.00,0.68,-1.50,4.37,-44.00,0.00,0.29,-37.00
03:00 - 03:15,14.55,0.00,0.68,-1.50,4.17,-44.00,0.10,0.29,-27.00
03:15 - 03:30,11.64,0.00,0.68,-1.50,4.17,-43.00,0.00,0.29,-36.00
03:30 - 03:45,0.00,0.00,0.68,-1.50,4.07,-45.00,0.10,0.29,-34.00
03:45 - 04:00,-17.00,0.00,0.68,-1.50,3.98,-45.00,0.00,0.29,-36.00
04:00 - 04:15,32.01,0.00,0.68,-1.50,3.98,-46.00,0.00,0.29,-27.00
04:15 - 04:30,22.31,0.00,0.68,-1.50,4.07,-48.00,0.10,0.29,-32.00
04:30 - 04:45,25.23,0.00,0.68,-1.50,4.07,-47.00,0.00,0.29,-25.00
04:45 - 05:00,24.25,0.00,0.68,-1.50,4.27,-47.00,0.00,0.29,-24.00
05:00 - 05:15,25.22,0.00,0.68,-1.50,4.85,-46.00,0.00,0.29,-26.00
