Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-74.00,-30.00,11.08,-16.00,-140.00
00:15 - 00:30,-91.00,-10.00,10.89,-12.00,-130.00
00:30 - 00:45,-98.00,0.00,10.60,-11.00,-120.00
00:45 - 01:00,-86.00,0.00,10.31,-16.00,-100.00
01:00 - 01:15,-97.00,-10.00,10.31,-12.00,-110.00
01:15 - 01:30,-86.00,-10.00,10.12,-13.00,-105.00
01:30 - 01:45,-98.00,-35.00,9.93,-13.00,-100.00
01:45 - 02:00,-58.00,-50.00,9.64,-25.00,-100.00
02:00 - 02:15,129.15,0.00,8.67,-25.00,-105.00
02:15 - 02:30,133.97,0.00,8.67,-24.00,-100.00
02:30 - 02:45,98.31,19.28,8.67,-23.00,-100.00
02:45 - 03:00,101.20,21.20,7.71,-22.00,-115.00
03:00 - 03:15,214.93,61.68,6.75,-30.00,-105.00
03:15 - 03:30,200.47,63.61,6.75,-30.00,-110.00
03:30 - 03:45,178.30,48.19,6.75,-31.00,-90.00
03:45 - 04:00,168.66,51.08,6.75,-30.00,-100.00
04:00 - 04:15,153.25,57.83,5.78,-30.00,-15.00
04:15 - 04:30,164.81,60.72,5.78,-30.00,-15.00
04:30 - 04:45,120.48,81.92,5.78,-29.00,-5.00
04:45 - 05:00,68.43,81.92,5.78,-30.00,4.82
05:00 - 05:15,157.10,53.01,5.78,-30.00,19.28
05:15 - 05:30,154.21,53.01,5.78,-32.00,19.28
05:30 - 05:45,162.89,69.39,5.78,-33.00,14.46
05:45 - 06:00,149.39,63.61,5.78,-29.00,14.46
06:00 - 06:15,138.79,38.55,5.78,-32.00,-30.00
06:15 - 06:30,135.89,38.55,6.75,-31.00,-10.00
06:30 - 06:45,45.30,31.81,8.67,-30.00,12.53
06:45 - 07:00,44.33,24.10,8.67,-31.00,12.53
07:00 - 07:15,0.00,117.59,8.67,-33.00,-13.00
07:15 - 07:30,-14.00,105.06,8.67,-36.00,12.53
07:30 - 07:45,41.44,120.48,8.67,-40.00,12.53
07:45 - 08:00,90.60,110.84,8.19,-44.00,12.53
08:00 - 08:15,130.11,134.94,0.00,-47.00,28.91
08:15 - 08:30,145.54,134.93,-2.00,-41.00,43.37
08:30 - 08:45,163.85,144.57,0.96,-36.00,43.37
08:45 - 09:00,168.66,139.75,1.64,-22.00,53.01
09:00 - 09:15,232.27,149.39,2.60,-33.00,72.29
09:15 - 09:30,242.89,158.06,2.89,-18.00,77.10
09:30 - 09:45,247.70,160.95,3.86,-10.00,96.38
09:45 - 10:00,267.93,163.85,3.86,0.00,125.29
10:00 - 10:15,269.86,226.49,3.86,0.00,144.57
10:15 - 10:30,283.35,226.49,3.86,0.00,154.21
10:30 - 10:45,221.68,197.58,0.48,0.00,178.30
10:45 - 11:00,232.29,170.59,0.96,0.00,173.48
11:00 - 11:15,318.05,161.92,-3.00,0.00,154.21
11:15 - 11:30,323.84,165.77,-5.00,0.00,149.39
11:30 - 11:45,282.40,165.77,-6.00,0.00,134.93
11:45 - 12:00,294.92,156.14,-7.30,0.00,125.29
12:00 - 12:15,292.03,187.94,-6.00,0.00,24.10
12:15 - 12:30,306.48,192.76,-6.50,0.00,24.10
12:30 - 12:45,346.00,212.04,-7.00,0.00,19.28
12:45 - 13:00,362.38,216.86,-7.00,0.00,19.28
13:00 - 13:15,355.65,213.96,12.53,0.00,28.91
13:15 - 13:30,349.86,216.86,12.53,0.00,33.73
13:30 - 13:45,204.33,226.49,12.53,0.00,62.65
13:45 - 14:00,219.75,239.02,12.53,0.00,77.10
14:00 - 14:15,317.09,263.12,0.00,0.00,57.83
14:15 - 14:30,304.56,279.50,0.00,0.00,57.83
14:30 - 14:45,198.54,240.95,-1.00,0.00,-40.00
14:45 - 15:00,179.27,231.31,-1.00,0.00,-40.00
15:00 - 15:15,195.65,179.27,-3.00,0.00,-35.00
15:15 - 15:30,201.43,172.52,-3.00,0.00,-30.00
15:30 - 15:45,178.30,173.48,6.75,0.00,-125.00
15:45 - 16:00,186.98,168.67,5.78,0.00,-120.00
16:00 - 16:15,53.01,113.72,3.86,0.00,-120.00
16:15 - 16:30,65.54,113.73,2.89,0.00,-130.00
16:30 - 16:45,-18.00,86.74,1.93,0.00,-115.00
16:45 - 17:00,-66.00,57.83,1.93,0.00,-80.00
17:00 - 17:15,24.10,53.00,6.75,0.00,-48.00
17:15 - 17:30,45.30,62.65,6.26,0.00,-45.00
17:30 - 17:45,28.91,74.22,5.78,0.00,-20.00
17:45 - 18:00,47.23,70.36,5.78,-10.00,-15.00
18:00 - 18:15,138.79,134.93,5.78,-21.00,-20.00
18:15 - 18:30,139.75,130.11,8.67,-32.00,67.47
18:30 - 18:45,108.92,83.85,8.67,-26.00,51.08
18:45 - 19:00,122.41,122.40,10.60,-34.00,85.78
19:00 - 19:15,84.81,-10.00,13.49,-26.00,118.56
19:15 - 19:30,35.67,-45.00,13.15,-34.00,18.77
19:30 - 19:45,39.14,-46.00,12.45,-59.00,-2.00
19:45 - 20:00,0.00,-46.00,12.43,-59.00,-5.00
20:00 - 20:15,-84.00,-56.00,13.49,-55.00,-25.00
20:15 - 20:30,-153.00,-82.00,13.49,-52.00,-20.00
20:30 - 20:45,-134.00,-109.00,13.49,-57.00,-9.00
20:45 - 21:00,-115.00,-106.00,13.49,-57.00,-6.00
21:00 - 21:15,-80.00,-122.00,14.46,-55.00,-82.00
21:15 - 21:30,-38.00,-111.00,14.46,-53.00,-92.00
21:30 - 21:45,-63.00,-141.00,14.46,-54.00,-90.00
21:45 - 22:00,-69.00,-125.00,14.46,-55.00,-85.00
22:00 - 22:15,-82.00,-87.00,14.46,-52.00,-121.00
