Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-24.00,64.03,0.68,-1.50,6.31,-38.00,5.92,0.00,157.15
00:15 - 00:30,-23.00,57.24,0.68,-1.50,6.01,-39.00,9.51,0.00,152.30
00:30 - 00:45,-15.00,67.91,0.68,-1.50,5.82,-50.00,0.10,0.00,133.87
00:45 - 01:00,-22.00,56.27,0.68,-1.50,5.72,-50.00,0.10,0.00,115.44
01:00 - 01:15,-30.00,38.80,0.68,-1.50,5.53,-62.00,0.00,0.00,211.48
01:15 - 01:30,-28.00,38.80,0.68,-1.50,5.43,-61.00,0.00,0.00,212.46
01:30 - 01:45,11.64,40.74,0.68,-1.50,5.24,-63.00,0.00,0.29,207.61
01:45 - 02:00,0.00,37.83,0.68,-1.50,5.04,-62.00,0.00,0.29,207.61
02:00 - 02:15,0.00,135.81,0.68,-1.50,4.85,-61.00,0.00,0.29,335.66
02:15 - 02:30,0.00,121.26,0.68,-1.50,4.66,-60.00,0.00,0.29,337.59
02:30 - 02:45,0.00,96.04,0.68,-1.50,4.37,-61.00,0.00,0.29,207.60
02:45 - 03:00,9.70,88.28,0.68,-1.50,4.17,-60.00,0.00,0.29,186.26
03:00 - 03:15,22.31,65.97,0.68,-1.50,4.17,-60.00,0.00,0.29,164.92
03:15 - 03:30,17.46,49.48,0.68,-1.50,4.17,-60.00,0.00,0.29,150.36
03:30 - 03:45,18.43,24.25,0.68,-1.50,4.07,-61.00,0.00,0.29,138.73
03:45 - 04:00,0.00,9.70,0.68,-1.50,3.98,-68.00,0.00,0.29,123.20
04:00 - 04:15,0.00,0.00,0.68,-1.50,3.98,-65.00,0.00,0.29,108.65
04:15 - 04:30,0.00,0.00,0.68,-1.50,4.07,-62.00,0.00,0.29,95.07
04:30 - 04:45,0.00,0.00,0.68,-1.50,4.07,-60.00,0.00,0.27,84.40
04:45 - 05:00,0.00,0.00,0.68,-1.50,4.27,-60.00,0.00,0.16,75.66
05:00 - 05:15,14.55,0.00,0.68,-1.50,4.85,-57.00,0.00,0.29,71.79
05:15 - 05:30,31.04,0.00,0.68,-1.50,5.04,-55.00,0.10,0.00,63.06
05:30 - 05:45,46.56,19.40,0.68,-1.50,6.01,-56.00,0.10,0.29,57.24
05:45 - 06:00,30.08,0.00,0.68,-1.50,7.08,-58.00,0.00,0.29,25.22
06:00 - 06:15,42.69,0.00,0.68,-1.50,6.98,-60.00,0.00,0.29,0.00
06:15 - 06:30,26.19,0.00,0.68,-1.50,7.08,-62.00,0.00,0.29,-13.00
06:30 - 06:45,16.49,0.00,0.68,-1.50,7.28,-59.00,0.00,0.29,-17.00
06:45 - 07:00,30.07,0.00,0.68,-1.50,7.08,-58.00,0.00,0.29,-24.00
07:00 - 07:15,15.52,0.00,0.68,-1.50,6.89,-59.00,0.00,0.29,-11.00
07:15 - 07:30,14.55,0.00,0.68,-1.50,6.60,-61.00,0.00,0.00,-11.00
07:30 - 07:45,26.19,0.00,0.68,-1.50,7.08,-53.00,0.00,0.29,40.75
07:45 - 08:00,35.90,0.00,0.68,-1.50,7.95,-52.00,0.00,0.29,26.19
08:00 - 08:15,45.59,0.00,0.68,-1.50,7.47,-41.00,0.10,0.29,17.46
08:15 - 08:30,51.42,0.00,0.68,-1.50,8.44,-24.00,0.00,0.29,7.76
08:30 - 08:45,42.69,0.00,0.68,-1.50,9.31,0.00,0.00,0.29,0.97
08:45 - 09:00,7.76,0.00,0.68,-1.50,8.73,0.00,0.00,0.29,-13.00
09:00 - 09:15,0.00,0.00,0.68,-0.50,9.60,-35.00,0.00,0.29,39.78
09:15 - 09:30,0.00,0.00,0.68,-0.50,10.96,-20.00,0.00,0.29,109.62
09:30 - 09:45,16.49,0.00,0.68,-0.50,11.74,0.00,0.00,0.29,155.22
09:45 - 10:00,56.27,0.00,0.68,-0.50,13.10,0.00,0.00,0.29,140.66
10:00 - 10:15,0.00,0.00,0.68,-0.50,12.81,0.00,0.00,0.29,162.00
10:15 - 10:30,0.00,0.00,0.68,-0.50,13.00,0.00,0.00,0.29,186.26
10:30 - 10:45,0.00,0.00,0.68,-0.50,12.42,0.00,0.00,0.29,194.02
10:45 - 11:00,0.00,0.00,0.68,-0.50,11.64,0.00,0.00,0.29,198.87
11:00 - 11:15,8.73,0.00,0.68,-0.50,15.62,0.00,0.00,0.29,208.57
11:15 - 11:30,24.25,0.00,0.68,-0.50,15.91,0.00,0.00,0.29,227.98
11:30 - 11:45,54.33,0.00,0.68,-0.50,8.73,0.00,0.00,0.29,242.52
11:45 - 12:00,50.45,0.00,0.68,-0.50,9.41,0.00,0.00,0.29,247.37
12:00 - 12:15,38.80,9.70,0.68,-0.50,9.02,0.00,0.00,0.29,261.93
12:15 - 12:30,26.19,17.46,0.68,-0.50,9.99,0.00,0.00,0.29,266.78
12:30 - 12:45,24.25,18.43,0.68,-0.50,9.22,0.00,0.00,0.29,295.88
12:45 - 13:00,34.92,20.37,0.68,-0.50,9.80,0.00,0.00,0.29,276.48
13:00 - 13:15,0.00,9.70,0.68,-0.50,8.34,0.00,0.00,0.29,116.42
13:15 - 13:30,-11.00,0.00,0.68,-0.50,8.15,0.00,0.00,0.29,87.31
13:30 - 13:45,-9.00,0.00,0.68,-0.50,9.60,0.00,0.00,0.29,121.27
13:45 - 14:00,-18.00,0.00,0.68,-0.50,11.16,0.00,0.00,0.29,179.46
14:00 - 14:15,-52.00,0.00,0.68,-0.50,9.22,0.00,0.00,0.29,106.70
14:15 - 14:30,-59.00,0.00,0.68,-0.50,9.22,0.00,0.00,0.29,106.71
14:30 - 14:45,-18.00,24.25,0.68,-0.50,6.79,0.00,0.00,0.29,53.36
14:45 - 15:00,-12.00,40.75,0.68,-0.50,5.82,0.00,0.00,0.29,29.10
15:00 - 15:15,-20.00,68.88,0.68,-0.50,12.13,0.00,0.00,0.29,24.25
15:15 - 15:30,-22.00,77.60,0.68,-0.50,15.04,0.00,0.10,0.29,29.10
15:30 - 15:45,0.00,90.22,0.68,-0.50,14.94,0.00,0.00,0.29,43.65
15:45 - 16:00,0.00,99.93,0.68,-0.50,14.55,0.00,0.00,0.29,38.80
16:00 - 16:15,-25.00,111.56,0.68,-0.50,13.58,0.00,0.10,0.00,29.10
16:15 - 16:30,-36.00,121.27,0.68,-0.50,13.58,0.00,0.00,0.00,24.25
16:30 - 16:45,-32.00,130.97,0.68,-0.50,13.58,0.00,0.00,0.00,33.95
16:45 - 17:00,-52.00,157.16,0.68,-0.50,13.58,0.00,0.00,0.21,33.95
17:00 - 17:15,-7.00,149.40,0.19,-0.50,12.61,0.00,0.00,0.00,24.25
17:15 - 17:30,-18.00,170.74,0.19,-0.50,12.61,0.00,0.10,0.00,24.25
17:30 - 17:45,-11.00,130.00,0.19,-0.50,11.64,0.00,0.00,0.00,38.80
17:45 - 18:00,10.60,64.44,0.16,-0.50,9.79,0.00,3.18,0.00,32.61
18:00 - 18:15,35.06,107.42,0.15,-0.50,8.95,0.00,7.76,0.00,42.60
18:15 - 18:30,0.00,59.43,0.10,-0.50,5.75,0.00,4.60,0.00,10.74
18:30 - 18:45,0.00,55.32,0.08,-0.50,4.01,-10.00,3.13,0.00,19.15
18:45 - 19:00,0.00,41.24,0.06,-0.50,3.03,-10.00,1.98,0.00,18.33
19:00 - 19:15,-16.00,37.34,0.04,-0.50,2.35,-20.00,1.83,0.00,160.03
19:15 - 19:30,-33.00,34.95,0.04,-0.50,2.35,-25.00,1.53,0.00,177.54
19:30 - 19:45,-52.00,44.80,0.05,-0.50,2.68,-25.00,2.58,0.00,68.17
19:45 - 20:00,-47.00,52.57,0.06,-0.50,3.27,-25.00,2.79,0.00,83.16
20:00 - 20:15,-154.00,134.24,0.13,-0.50,6.99,-40.00,6.37,0.00,-90.00
20:15 - 20:30,-156.00,131.15,0.13,-0.50,6.80,-45.00,7.41,0.00,-110.00
20:30 - 20:45,-184.00,86.76,0.18,-0.50,9.57,-30.00,12.75,0.00,-100.00
20:45 - 21:00,-160.00,95.07,0.19,-0.50,9.99,-40.00,14.75,0.00,-110.00
21:00 - 21:15,-143.00,42.69,0.19,-0.50,9.70,-40.00,9.02,0.00,-170.00
21:15 - 21:30,-148.00,39.78,0.19,-0.50,9.41,-33.00,6.50,0.00,-160.00
21:30 - 21:45,-69.00,62.09,0.19,-0.50,9.02,-35.00,7.57,0.00,-100.00
21:45 - 22:00,-44.00,68.88,0.19,-0.50,8.73,-35.00,6.50,0.00,-90.00
22:00 - 22:15,-48.00,48.51,0.19,-1.50,8.44,-35.00,7.95,0.00,-80.00
22:15 - 22:30,-104.00,47.53,0.19,-1.50,8.25,-35.00,6.50,0.00,-80.00
22:30 - 22:45,-80.00,63.07,0.19,-1.50,7.95,-44.00,5.72,0.00,-60.00
22:45 - 23:00,-65.00,71.79,0.19,-1.50,7.76,-44.00,6.21,0.00,-50.00
23:00 - 23:15,-90.00,45.60,0.19,-1.50,7.57,-44.00,6.69,0.00,-68.00
23:15 - 23:30,-41.00,58.21,0.19,-1.50,7.37,-44.00,5.63,0.00,-55.00
23:30 - 23:45,12.61,36.87,0.19,-1.50,7.18,-50.00,3.88,0.00,-52.00
23:45 - 24:00,0.00,15.53,0.19,-1.50,6.98,-50.00,3.20,0.00,-64.00
