Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-194.00,-60.00,4.36,-30.00,1.71,-25.00,-112.00
00:15 - 00:30,-192.00,-55.00,4.51,-35.00,2.04,-25.00,-26.00
00:30 - 00:45,-118.00,-54.00,6.40,-40.00,0.86,-25.00,32.02
00:45 - 01:00,-73.00,-53.00,6.90,-40.00,0.00,-25.00,33.10
01:00 - 01:15,-163.00,-31.00,10.37,-40.00,0.00,-25.00,-5.00
01:15 - 01:30,-150.00,-36.00,11.19,-40.00,0.00,-25.00,-7.00
01:30 - 01:45,-131.00,-41.00,13.48,-40.00,0.00,0.00,26.00
01:45 - 02:00,-118.00,-55.00,13.00,-40.00,0.00,0.00,21.19
02:00 - 02:15,-66.00,-60.00,13.00,-67.00,0.00,0.00,-6.00
02:15 - 02:30,-15.00,-62.00,12.52,-67.00,0.00,0.00,-3.00
02:30 - 02:45,17.33,-67.00,12.52,-68.00,0.00,0.00,-3.00
02:45 - 03:00,15.41,-80.00,12.04,-69.00,0.00,0.00,-1.00
03:00 - 03:15,-19.00,-84.00,11.56,-68.00,0.00,0.00,14.44
03:15 - 03:30,-23.00,-88.00,11.07,-67.00,0.00,0.00,18.30
03:30 - 03:45,-26.00,-159.00,10.59,-66.00,2.79,0.00,39.49
03:45 - 04:00,-49.00,-160.00,10.59,-66.00,1.93,0.00,-14.00
04:00 - 04:15,-158.00,-174.00,10.59,-61.00,3.66,0.00,-31.00
04:15 - 04:30,34.67,-177.00,10.59,-63.00,4.82,0.00,-27.00
04:30 - 04:45,-70.00,-175.00,10.59,-62.00,4.82,0.00,22.15
04:45 - 05:00,-106.00,-178.00,10.59,-62.00,4.82,0.00,-87.00
05:00 - 05:15,-148.00,-116.00,10.59,-61.00,4.82,0.00,-69.00
05:15 - 05:30,-144.00,-96.00,11.07,-60.00,4.82,0.00,-45.00
05:30 - 05:45,-100.00,-146.00,11.55,-60.00,4.82,0.00,-39.00
05:45 - 06:00,12.51,-132.00,12.04,-60.00,4.82,0.00,-39.00
06:00 - 06:15,14.43,-98.00,12.52,-59.00,4.82,0.00,14.45
06:15 - 06:30,-80.00,-131.00,13.00,-59.00,4.82,0.00,-120.00
06:30 - 06:45,-95.00,-38.00,13.48,-59.00,4.82,0.00,-63.00
06:45 - 07:00,-106.00,-22.00,14.44,-58.00,4.82,0.00,-64.00
07:00 - 07:15,-236.00,-57.00,15.40,-58.00,4.82,0.00,-22.00
07:15 - 07:30,-132.00,-13.00,16.37,-57.00,4.82,0.00,-43.00
07:30 - 07:45,-150.00,0.00,17.04,-57.00,4.82,0.00,-88.00
07:45 - 08:00,-141.00,11.56,17.71,-57.00,4.82,0.00,-43.00
08:00 - 08:15,-117.00,34.67,10.59,-75.00,4.82,0.00,-50.00
08:15 - 08:30,-115.00,28.88,11.27,-77.00,4.82,0.00,-50.00
08:30 - 08:45,-103.00,23.10,12.04,-79.00,4.82,0.00,-64.00
08:45 - 09:00,-79.00,35.63,12.52,-78.00,4.82,0.00,-57.00
09:00 - 09:15,-73.00,0.00,11.55,-85.00,4.82,0.00,-71.00
09:15 - 09:30,-58.00,0.00,12.51,-85.00,4.82,0.00,-72.00
09:30 - 09:45,-58.00,9.63,13.48,-87.00,4.82,0.00,-73.00
09:45 - 10:00,-65.00,9.63,13.48,-88.00,4.82,0.00,-74.00
10:00 - 10:15,-41.00,0.00,12.51,-84.00,4.82,0.00,-11.00
10:15 - 10:30,-56.00,0.00,12.52,-74.00,4.82,0.00,7.70
10:30 - 10:45,-38.00,67.41,12.52,-61.00,4.72,0.00,15.41
10:45 - 11:00,-38.00,71.26,12.52,-55.00,4.53,0.00,19.26
11:00 - 11:15,0.00,67.41,11.56,-50.00,3.76,0.00,89.55
11:15 - 11:30,0.00,75.11,11.56,-44.00,3.27,0.00,100.16
11:30 - 11:45,11.56,20.22,20.22,-39.00,4.82,0.00,74.15
11:45 - 12:00,26.96,31.78,20.22,-37.00,4.82,0.00,84.75
12:00 - 12:15,8.67,40.45,20.22,-34.00,4.82,0.00,211.85
12:15 - 12:30,17.33,49.11,20.22,-36.00,4.82,0.00,227.27
12:30 - 12:45,47.19,53.93,20.22,-35.00,4.82,0.00,105.92
12:45 - 13:00,47.19,67.41,20.22,-40.00,4.82,0.00,125.19
13:00 - 13:15,19.26,52.00,20.22,-40.00,4.82,0.00,33.71
13:15 - 13:30,0.00,51.04,20.22,-40.00,4.82,0.00,-5.00
13:30 - 13:45,25.04,68.37,20.22,-40.00,4.82,0.00,-3.00
13:45 - 14:00,27.93,61.63,20.22,-40.00,4.82,0.00,64.52
14:00 - 14:15,65.48,66.45,23.11,-39.00,4.82,0.00,-15.00
14:15 - 14:30,52.97,84.73,23.11,-39.00,4.82,0.00,11.56
14:30 - 14:45,76.08,83.78,23.11,-38.00,4.82,0.00,32.74
14:45 - 15:00,98.23,105.93,23.11,-41.00,4.82,0.00,68.37
15:00 - 15:15,50.08,105.93,26.96,-36.00,4.82,0.00,-48.00
15:15 - 15:30,73.19,105.93,26.96,-36.00,4.82,0.00,-32.00
15:30 - 15:45,-14.00,134.82,26.96,-34.00,4.82,0.00,78.00
15:45 - 16:00,-23.00,38.52,26.00,-40.00,4.82,0.00,122.30
16:00 - 16:15,26.96,24.08,26.96,-43.00,4.82,0.00,125.19
16:15 - 16:30,43.34,24.08,26.00,-46.00,4.82,0.00,103.99
16:30 - 16:45,100.15,0.00,25.04,-50.00,4.82,0.00,93.41
16:45 - 17:00,106.89,0.00,25.04,-55.00,4.82,0.00,96.30
17:00 - 17:15,2.89,0.00,22.15,-12.00,4.82,0.00,63.55
17:15 - 17:30,-16.00,0.00,21.19,-25.00,4.82,0.00,69.33
17:30 - 17:45,8.67,0.00,18.30,-40.00,4.82,0.00,37.55
17:45 - 18:00,58.74,0.00,16.37,-49.00,4.82,0.00,36.59
18:00 - 18:15,0.00,-27.00,16.36,-67.00,4.82,0.00,5.78
18:15 - 18:30,-13.00,-11.00,16.37,-83.00,4.82,0.00,18.29
18:30 - 18:45,-95.00,-18.00,16.37,-84.00,4.14,0.00,-82.00
18:45 - 19:00,-149.00,-3.00,16.37,-91.00,4.82,0.00,-118.00
19:00 - 19:15,-185.00,-10.00,16.38,-81.00,5.87,0.00,-17.00
19:15 - 19:30,-210.00,-14.00,14.01,-82.00,6.91,-22.00,-17.00
19:30 - 19:45,-213.00,-13.00,12.61,-84.00,6.63,-22.00,-28.00
19:45 - 20:00,-201.00,-24.00,11.09,-84.00,7.98,-22.00,-20.00
20:00 - 20:15,-222.00,-54.00,11.08,-80.00,8.30,-22.00,-82.00
20:15 - 20:30,-228.00,-58.00,10.13,-82.00,6.75,-22.00,-95.00
20:30 - 20:45,-214.00,-58.00,10.52,-81.00,7.71,-8.00,-50.00
20:45 - 21:00,-216.00,-62.00,10.11,-82.00,7.18,-8.00,-60.00
21:00 - 21:15,-209.00,-44.00,9.06,-81.00,7.68,-8.00,-77.00
21:15 - 21:30,-221.00,-53.00,10.12,-83.00,6.67,-8.00,-109.00
21:30 - 21:45,-236.00,-27.00,8.41,-85.00,5.24,-8.00,-127.00
21:45 - 22:00,-243.00,-10.00,7.94,-86.00,3.31,-8.00,-134.00
22:00 - 22:15,-297.00,69.83,4.75,-86.00,2.26,-8.00,-109.00
22:15 - 22:30,-254.00,83.58,4.06,-87.00,1.86,-8.00,-114.00
22:30 - 22:45,-150.00,18.21,1.82,-85.00,1.04,-8.00,-100.00
22:45 - 23:00,-91.00,21.97,1.60,-84.00,1.40,0.00,-115.00
23:00 - 23:15,-84.00,47.54,1.09,-79.00,0.78,0.00,-100.00
23:15 - 23:30,-85.00,56.52,1.12,-81.00,0.82,0.00,-110.00
23:30 - 23:45,-85.00,64.41,0.81,-78.00,0.39,0.00,-150.00
23:45 - 24:00,-104.00,59.24,0.89,-77.00,0.46,0.00,-150.00
