Generator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Revision No,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCGT-Bawana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Schedule,340.0000,277.6198,277.9326,340.0000,340.0000,340.0000,330.0002,380.0000,450.0002,591.0000,591.0000,591.0000,590.9999,590.9999,590.9999,590.9999,590.9999,590.9999,590.9999,590.9999,590.9999,590.9999,590.9999,590.9999,591.0000,591.0000,591.0000,591.0000,555.0000,555.0000,555.0000,555.0000,555.0000,555.0000,555.0000,555.0000,390.0002,304.9999,484.9999,484.9999,485.0000,485.0000,485.0000,485.0000,485.0000,485.0000,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,470.0001,476.0000,529.0000,560.0000,539.0000,576.8060,576.8060,576.8060,536.8100,531.8100,519.8100,492.8100
DC Considered for Schedule,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,980.00,1010.00,1010.00,1010.00,1010.00,1010.00,1010.00
