Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,281.81,129.84,11.54,-8.00,0.00,153.89
00:15 - 00:30,231.80,119.26,11.54,-22.00,0.00,134.65
00:30 - 00:45,198.12,115.42,10.58,-41.00,0.00,115.42
00:45 - 01:00,143.31,112.53,10.58,-41.00,0.00,100.99
01:00 - 01:15,-42.00,89.45,10.58,-43.00,0.00,120.22
01:15 - 01:30,-93.00,78.87,10.58,-41.00,0.00,134.65
01:30 - 01:45,-156.00,34.62,10.58,-42.00,0.00,76.95
01:45 - 02:00,-123.00,9.62,10.58,-42.00,0.00,76.94
02:00 - 02:15,-97.00,145.23,9.62,-53.00,0.00,28.85
02:15 - 02:30,-37.00,129.85,9.62,-52.00,0.00,28.85
02:30 - 02:45,-193.00,77.90,9.62,-53.00,0.00,19.24
02:45 - 03:00,-179.00,62.51,9.62,-53.00,0.00,19.24
03:00 - 03:15,42.32,57.71,9.62,-53.00,0.00,-10.00
03:15 - 03:30,7.69,52.90,9.62,-53.00,0.00,-60.00
03:30 - 03:45,42.32,52.90,9.62,-37.00,0.00,-50.00
03:45 - 04:00,47.13,52.89,8.66,-37.00,0.00,-20.00
04:00 - 04:15,64.44,60.59,4.81,-32.00,0.00,83.68
04:15 - 04:30,57.71,65.40,4.81,-32.00,0.00,62.52
04:30 - 04:45,86.56,62.52,4.81,-32.00,0.00,38.47
04:45 - 05:00,33.66,58.67,4.81,-32.00,0.00,19.24
05:00 - 05:15,15.39,41.36,4.81,-32.00,0.00,-5.00
05:15 - 05:30,42.31,29.82,4.81,-32.00,0.00,-15.00
05:30 - 05:45,141.38,56.75,4.81,-32.00,0.00,-5.00
05:45 - 06:00,120.23,60.59,4.81,-32.00,0.00,4.81
06:00 - 06:15,125.03,62.52,4.81,-30.00,0.00,-13.00
06:15 - 06:30,110.61,47.13,5.77,-30.00,0.00,-21.00
06:30 - 06:45,96.18,65.40,5.77,-30.00,0.00,9.62
