Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,61.12,58.21,-1.80,3.88,-30.00,0.58,0.29,-155.00
00:15 - 00:30,18.43,38.80,-1.80,3.88,-30.00,0.10,0.29,-160.00
00:30 - 00:45,8.73,32.02,-1.80,3.88,-30.00,0.00,0.29,-150.00
00:45 - 01:00,11.64,32.02,-1.80,3.88,-30.00,0.00,0.29,-140.00
01:00 - 01:15,9.70,4.85,-1.80,2.91,-45.00,0.10,0.29,-10.00
01:15 - 01:30,10.67,6.79,-1.80,2.91,-44.00,0.00,0.29,29.11
01:30 - 01:45,25.22,25.22,-0.10,2.91,-45.00,0.00,0.29,38.81
01:45 - 02:00,8.73,9.70,-0.10,1.94,-45.00,0.00,0.29,38.81
02:00 - 02:15,0.00,-15.00,-0.10,1.94,-43.00,0.00,0.29,43.66
02:15 - 02:30,0.00,-18.00,-0.10,1.94,-44.00,0.00,0.29,43.66
02:30 - 02:45,-25.00,0.00,-0.10,1.94,-44.00,0.00,0.29,48.51
02:45 - 03:00,-19.00,-5.00,-0.10,1.94,-44.00,0.00,0.29,53.36
03:00 - 03:15,55.29,0.00,-0.10,1.94,-44.00,0.00,0.29,53.36
03:15 - 03:30,57.23,0.00,-0.10,1.94,-43.00,0.00,0.29,53.36
03:30 - 03:45,51.42,0.00,-0.10,1.94,-45.00,0.00,0.29,33.95
03:45 - 04:00,55.29,0.00,-0.10,1.94,-45.00,0.00,0.29,48.51
04:00 - 04:15,21.34,0.00,-0.10,1.94,-46.00,0.00,0.29,33.96
04:15 - 04:30,25.22,0.00,-0.10,1.94,-48.00,0.00,0.29,58.21
04:30 - 04:45,38.80,0.00,-0.10,2.91,-47.00,0.00,0.29,53.36
04:45 - 05:00,43.66,0.00,-0.10,2.91,-47.00,0.00,0.29,38.80
05:00 - 05:15,44.63,0.00,-0.10,2.91,-46.00,0.10,0.29,38.80
05:15 - 05:30,46.57,0.00,-0.10,3.88,-46.00,0.10,0.29,29.10
05:30 - 05:45,37.83,0.00,-0.10,4.85,-45.00,0.00,0.29,43.66
05:45 - 06:00,33.95,0.00,-0.10,4.85,-48.00,0.00,0.29,38.81
06:00 - 06:15,20.37,0.00,-0.10,5.82,-47.00,0.00,0.29,4.85
06:15 - 06:30,25.22,-10.00,-0.10,5.82,-47.00,0.00,0.29,0.00
06:30 - 06:45,-9.00,0.00,-0.10,5.82,-45.00,0.00,0.29,-35.00
06:45 - 07:00,-26.00,-20.00,-0.10,5.82,-50.00,0.00,0.29,-25.00
07:00 - 07:15,-7.00,0.00,-0.10,6.79,-50.00,0.00,0.29,4.85
07:15 - 07:30,-8.00,0.00,-0.10,6.79,-48.00,0.00,0.29,29.10
07:30 - 07:45,3.88,0.00,-0.10,6.79,-37.00,0.00,0.29,14.55
07:45 - 08:00,33.95,0.00,-0.10,7.76,-47.00,0.10,0.29,-5.00
08:00 - 08:15,-23.00,0.00,-0.10,6.79,-45.00,0.10,0.29,0.00
08:15 - 08:30,-24.00,0.00,-0.10,7.76,-28.00,0.00,0.29,4.85
08:30 - 08:45,9.70,-10.00,-0.10,8.73,0.00,0.00,0.29,-40.00
08:45 - 09:00,-34.00,-13.00,-0.10,8.73,0.00,0.00,0.29,-60.00
09:00 - 09:15,33.96,0.00,-0.10,8.73,-35.00,0.00,0.29,-35.00
09:15 - 09:30,64.03,20.37,-0.10,8.73,-20.00,0.00,0.29,14.55
09:30 - 09:45,27.17,10.67,-0.10,8.73,-10.00,0.00,0.29,24.25
09:45 - 10:00,27.16,4.85,-0.10,9.70,-13.00,0.00,0.29,53.36
10:00 - 10:15,28.13,0.00,-0.10,10.67,0.00,0.00,0.29,67.91
10:15 - 10:30,20.37,0.00,-0.10,10.67,0.00,0.00,0.29,82.46
10:30 - 10:45,11.64,-30.00,-0.10,11.06,0.00,0.00,0.29,72.76
10:45 - 11:00,18.43,-20.00,-0.10,10.67,0.00,0.00,0.29,-15.00
11:00 - 11:15,24.25,-35.00,-0.10,9.70,0.00,0.00,0.29,-110.00
11:15 - 11:30,22.32,-32.00,-0.10,9.70,0.00,0.00,0.29,14.55
11:30 - 11:45,14.55,-15.00,-0.10,7.57,0.00,0.00,0.29,-45.00
11:45 - 12:00,21.34,-15.00,-0.10,7.18,0.00,0.00,0.29,0.00
12:00 - 12:15,23.29,0.00,-0.10,7.08,0.00,0.00,0.29,-32.00
12:15 - 12:30,23.28,0.00,-0.10,6.79,0.00,0.00,0.29,-32.00
12:30 - 12:45,28.13,0.00,-0.10,6.21,0.00,0.00,0.29,-30.00
12:45 - 13:00,22.31,0.00,-0.10,5.82,0.00,0.00,0.29,-40.00
13:00 - 13:15,7.76,0.00,-0.10,5.34,0.00,0.00,0.29,-90.00
13:15 - 13:30,20.37,0.00,-0.10,5.63,0.00,0.00,0.29,-90.00
13:30 - 13:45,73.73,0.00,-0.10,5.82,0.00,0.00,0.29,-125.00
13:45 - 14:00,80.52,0.00,-0.10,5.82,0.00,0.00,0.29,-30.00
14:00 - 14:15,29.10,0.00,-0.10,5.82,0.00,0.00,0.29,242.53
14:15 - 14:30,23.28,0.00,-0.10,5.82,0.00,0.00,0.29,38.81
14:30 - 14:45,12.62,0.00,-0.10,6.01,0.00,0.00,0.29,9.70
14:45 - 15:00,29.11,0.00,-0.10,6.40,0.00,0.00,0.29,9.70
15:00 - 15:15,-74.00,-30.00,-0.10,6.79,0.00,0.00,0.29,97.01
15:15 - 15:30,-14.00,-42.00,-0.10,7.28,0.00,0.00,0.29,97.01
15:30 - 15:45,0.00,-33.00,-0.10,7.76,0.00,0.00,0.29,87.31
15:45 - 16:00,53.36,-25.00,-0.10,8.73,0.00,0.00,0.29,87.31
16:00 - 16:15,0.00,0.00,-0.10,9.22,0.00,0.00,0.29,-75.00
16:15 - 16:30,-14.00,0.00,-0.10,9.41,0.00,0.00,0.29,-170.00
16:30 - 16:45,0.00,9.70,-0.10,9.70,0.00,0.00,0.29,-250.00
16:45 - 17:00,0.00,4.85,-0.10,10.09,0.00,0.00,0.29,-250.00
17:00 - 17:15,-84.00,0.00,-0.10,10.58,0.00,0.00,0.29,-265.00
17:15 - 17:30,-52.00,33.96,-0.10,10.67,0.00,0.00,0.29,-260.00
17:30 - 17:45,22.32,2.91,-0.10,10.67,0.00,3.78,0.29,-145.00
17:45 - 18:00,21.34,-29.00,-0.10,9.70,0.00,9.90,0.00,-35.00
18:00 - 18:15,-21.00,36.87,-0.10,9.70,0.00,15.13,0.00,0.00
18:15 - 18:30,-34.00,20.37,-0.10,10.19,0.00,9.60,0.00,-20.00
