Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-283.00,-135.00,8.66,0.00,-475.00
00:15 - 00:30,-225.00,-154.00,8.66,0.00,-225.00
00:30 - 00:45,-65.00,-127.00,8.66,-55.00,-160.00
00:45 - 01:00,-16.00,-138.00,8.66,-45.00,-165.00
01:00 - 01:15,-39.00,-165.00,7.69,-48.00,-130.00
01:15 - 01:30,-83.00,-182.00,7.69,-45.00,-140.00
01:30 - 01:45,-128.00,-149.00,6.73,-45.00,-80.00
01:45 - 02:00,-155.00,-151.00,6.73,-45.00,-75.00
02:00 - 02:15,-9.00,0.00,7.69,-44.00,-75.00
02:15 - 02:30,-15.00,-35.00,7.69,-45.00,-75.00
02:30 - 02:45,-25.00,0.00,7.41,-45.00,-55.00
02:45 - 03:00,-25.00,0.00,7.21,-45.00,-55.00
03:00 - 03:15,125.04,0.00,7.02,-45.00,-120.00
03:15 - 03:30,151.01,0.00,6.73,-45.00,-5.00
03:30 - 03:45,99.06,0.00,6.35,-45.00,-75.00
03:45 - 04:00,57.71,0.00,6.25,-45.00,-75.00
04:00 - 04:15,29.82,10.58,5.96,-46.00,33.66
04:15 - 04:30,15.39,27.89,5.48,-45.00,0.00
04:30 - 04:45,0.00,0.00,5.29,-45.00,-20.00
04:45 - 05:00,-19.00,0.00,5.10,-45.00,-25.00
05:00 - 05:15,92.33,0.00,4.52,-45.00,-20.00
05:15 - 05:30,78.87,0.00,4.23,-45.00,-20.00
05:30 - 05:45,54.82,-36.00,3.85,-46.00,-26.00
05:45 - 06:00,27.89,-105.00,3.37,-45.00,-44.00
06:00 - 06:15,-16.00,-93.00,2.89,-46.00,-55.00
06:15 - 06:30,-27.00,-45.00,2.40,-46.00,-50.00
06:30 - 06:45,-6.00,-33.00,2.89,-46.00,-46.00
06:45 - 07:00,-40.00,-36.00,3.17,-46.00,-57.00
07:00 - 07:15,0.00,-40.00,3.56,-46.00,-60.00
07:15 - 07:30,-26.00,-45.00,3.85,-46.00,-100.00
07:30 - 07:45,-71.00,-15.00,3.85,-46.00,-105.00
07:45 - 08:00,-50.00,-10.00,3.85,-46.00,-105.00
08:00 - 08:15,-30.00,0.00,0.96,-45.00,-77.00
08:15 - 08:30,-32.00,0.00,0.00,-44.00,-67.00
08:30 - 08:45,-21.00,0.00,0.00,-44.00,-65.00
08:45 - 09:00,-11.00,0.00,0.00,-45.00,-60.00
09:00 - 09:15,0.00,14.43,0.00,-85.00,-19.00
09:15 - 09:30,0.00,20.20,0.00,-82.00,-18.00
09:30 - 09:45,0.00,-19.00,0.00,-71.00,0.00
09:45 - 10:00,0.00,-30.00,-0.80,-68.00,28.85
10:00 - 10:15,0.00,-15.00,-1.10,-63.00,52.90
10:15 - 10:30,0.00,53.86,-0.70,-58.00,67.33
10:30 - 10:45,-54.00,0.00,-0.70,-53.00,52.90
10:45 - 11:00,-50.00,0.00,-1.00,-48.00,67.33
11:00 - 11:15,0.00,24.05,-1.00,-45.00,57.70
11:15 - 11:30,0.00,33.66,-1.30,-42.00,48.09
11:30 - 11:45,36.55,77.91,-1.50,-46.00,28.85
11:45 - 12:00,50.98,90.41,-2.00,-47.00,33.66
12:00 - 12:15,0.00,60.59,-2.00,-50.00,76.95
12:15 - 12:30,0.00,73.10,-2.20,-47.00,76.94
12:30 - 12:45,0.00,64.44,-2.30,-50.00,62.52
12:45 - 13:00,10.58,69.25,-2.40,-48.00,62.52
13:00 - 13:15,-75.00,88.49,2.40,-47.00,14.43
13:15 - 13:30,-53.00,100.03,2.40,-41.00,14.43
