Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,24.97,0.00,6.72,0.00,0.00
00:15 - 00:30,9.61,-10.00,6.72,0.00,-15.00
00:30 - 00:45,0.00,-24.00,6.72,0.00,-40.00
00:45 - 01:00,0.00,-20.00,5.76,0.00,-40.00
01:00 - 01:15,6.73,-25.00,5.76,0.00,-40.00
01:15 - 01:30,35.54,-28.00,5.76,0.00,-40.00
01:30 - 01:45,15.37,-28.00,5.76,0.00,-30.00
01:45 - 02:00,13.45,-30.00,5.76,0.00,-35.00
02:00 - 02:15,29.78,9.60,5.76,0.00,-91.00
02:15 - 02:30,28.81,-10.00,5.76,0.00,-83.00
02:30 - 02:45,29.77,-24.00,5.76,0.00,-85.00
02:45 - 03:00,31.70,-22.00,5.76,0.00,-77.00
03:00 - 03:15,28.81,-17.00,5.76,0.00,-79.00
03:15 - 03:30,21.13,-22.00,5.76,0.00,-78.00
03:30 - 03:45,-9.00,-27.00,5.76,0.00,-81.00
03:45 - 04:00,-6.00,-30.00,5.76,0.00,-84.00
04:00 - 04:15,-41.00,-22.00,5.76,0.00,-78.00
04:15 - 04:30,-39.00,-23.00,5.76,0.00,-76.00
04:30 - 04:45,-12.00,-31.00,5.76,0.00,-75.00
04:45 - 05:00,16.33,-28.00,7.68,0.00,-78.00
05:00 - 05:15,20.17,-10.00,7.68,0.00,-79.00
05:15 - 05:30,14.41,-24.00,8.64,0.00,-81.00
05:30 - 05:45,21.13,-32.00,9.60,0.00,-71.00
05:45 - 06:00,37.46,-34.00,11.52,0.00,0.00
06:00 - 06:15,-78.00,-47.00,12.49,0.00,-40.00
06:15 - 06:30,-55.00,-57.00,13.45,0.00,-40.00
06:30 - 06:45,6.72,-115.00,14.41,0.00,-30.00
06:45 - 07:00,27.85,-129.00,14.41,0.00,-30.00
07:00 - 07:15,12.49,-176.00,15.36,0.00,-60.00
07:15 - 07:30,11.52,-154.00,15.37,0.00,-70.00
07:30 - 07:45,21.28,-187.00,14.80,0.00,-120.00
07:45 - 08:00,32.31,-171.00,15.20,0.00,-130.00
08:00 - 08:15,-29.00,-142.00,16.32,0.10,-150.00
08:15 - 08:30,-29.00,-152.00,16.33,0.00,-150.00
08:30 - 08:45,0.00,-138.00,16.33,0.00,-130.00
08:45 - 09:00,21.13,-137.00,16.33,0.00,-120.00
09:00 - 09:15,0.00,-120.00,12.49,0.00,-100.00
09:15 - 09:30,0.00,-90.00,11.52,0.00,-110.00
09:30 - 09:45,21.13,-40.00,11.52,0.00,-60.00
09:45 - 10:00,20.17,-28.00,11.52,0.00,-60.00
10:00 - 10:15,0.00,0.00,9.60,0.00,0.00
10:15 - 10:30,-6.00,0.00,9.60,0.00,0.00
10:30 - 10:45,0.00,0.00,8.64,0.00,-30.00
10:45 - 11:00,0.00,0.00,7.68,0.00,-30.00
11:00 - 11:15,39.38,0.00,5.76,0.00,-25.00
11:15 - 11:30,29.77,0.00,5.76,0.00,-25.00
11:30 - 11:45,26.89,0.00,5.76,0.00,-25.00
11:45 - 12:00,36.50,0.00,5.09,0.00,-30.00
12:00 - 12:15,32.66,0.00,7.68,0.00,-30.00
12:15 - 12:30,31.70,0.00,7.68,0.00,-65.00
12:30 - 12:45,18.25,-5.00,7.68,0.00,-30.00
12:45 - 13:00,15.37,-5.00,7.68,0.00,-30.00
13:00 - 13:15,32.66,0.00,7.68,0.00,-5.00
13:15 - 13:30,30.74,0.00,7.68,0.00,-45.00
13:30 - 13:45,17.29,0.00,6.72,0.00,-60.00
13:45 - 14:00,15.37,0.00,6.72,0.00,-40.00
