Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-51.00,-110.00,4.26,-40.00,-25.00
00:15 - 00:30,-63.00,-124.00,4.26,-40.00,-25.00
00:30 - 00:45,-64.00,-50.00,4.16,-40.00,-20.00
00:45 - 01:00,-64.00,-15.00,4.06,-40.00,-20.00
01:00 - 01:15,0.00,21.28,3.97,-40.00,9.67
01:15 - 01:30,32.89,26.12,3.87,-40.00,14.51
01:30 - 01:45,9.67,17.41,3.87,-78.00,24.19
01:45 - 02:00,-17.00,17.41,3.68,-77.00,19.35
02:00 - 02:15,-55.00,-11.00,3.58,-77.00,-95.00
02:15 - 02:30,-28.00,-13.00,3.39,-77.00,-80.00
02:30 - 02:45,39.67,-14.00,3.19,-77.00,-50.00
02:45 - 03:00,32.89,-25.00,2.90,-77.00,-75.00
03:00 - 03:15,54.18,-40.00,2.90,-125.00,-115.00
03:15 - 03:30,24.19,106.41,2.61,-101.00,-140.00
03:30 - 03:45,56.11,114.15,2.42,-101.00,-170.00
03:45 - 04:00,43.53,108.35,2.13,-101.00,-190.00
04:00 - 04:15,12.58,178.97,1.93,-101.00,0.00
04:15 - 04:30,39.66,178.97,1.45,-101.00,0.00
04:30 - 04:45,43.53,166.39,0.97,-101.00,0.00
04:45 - 05:00,0.00,159.62,0.48,-101.00,0.00
05:00 - 05:15,12.58,87.06,0.00,-100.00,0.00
05:15 - 05:30,9.67,91.91,0.48,-100.00,-30.00
05:30 - 05:45,29.99,72.55,0.97,-100.00,-30.00
05:45 - 06:00,-17.00,62.88,1.45,-100.00,0.00
06:00 - 06:15,76.42,125.77,1.93,-100.00,24.19
06:15 - 06:30,11.61,91.90,2.42,-100.00,14.51
06:30 - 06:45,30.96,149.94,2.71,-101.00,-75.00
06:45 - 07:00,10.64,149.95,3.19,-100.00,-70.00
07:00 - 07:15,17.41,154.79,3.48,-37.00,-90.00
07:15 - 07:30,20.32,154.78,3.87,-36.00,-100.00
07:30 - 07:45,-88.00,174.13,4.26,-33.00,-75.00
07:45 - 08:00,-66.00,169.29,4.55,-22.00,-75.00
08:00 - 08:15,-16.00,193.48,12.29,-35.00,-75.00
08:15 - 08:30,0.00,198.31,12.58,-34.00,-75.00
08:30 - 08:45,11.61,146.08,12.77,-33.00,-65.00
08:45 - 09:00,33.86,127.70,13.06,-11.00,-65.00
09:00 - 09:15,17.41,130.61,13.25,-47.00,-60.00
09:15 - 09:30,17.41,129.64,13.93,-30.00,-50.00
09:30 - 09:45,-34.00,129.63,14.80,-32.00,-35.00
09:45 - 10:00,7.74,129.63,15.48,-16.00,-30.00
10:00 - 10:15,25.15,148.98,16.06,-16.00,-20.00
10:15 - 10:30,37.73,148.01,16.45,0.00,14.51
10:30 - 10:45,0.00,130.60,16.64,0.00,31.92
10:45 - 11:00,0.00,143.18,16.93,0.00,62.88
11:00 - 11:15,126.73,187.68,17.12,0.00,49.34
11:15 - 11:30,124.79,208.97,17.12,0.00,58.04
11:30 - 11:45,0.00,262.17,17.22,0.00,77.39
11:45 - 12:00,0.00,262.16,17.12,0.00,72.56
12:00 - 12:15,0.00,246.69,17.41,0.00,62.88
12:15 - 12:30,27.09,256.36,17.41,0.00,62.88
12:30 - 12:45,27.09,231.20,20.32,0.00,43.53
12:45 - 13:00,5.80,224.44,19.35,0.00,43.53
13:00 - 13:15,30.96,220.56,18.38,0.00,38.70
13:15 - 13:30,61.91,237.02,17.41,0.00,29.02
13:30 - 13:45,72.56,234.11,15.96,0.00,-15.00
