Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,91.81,44.01,-1.50,8.80,0.00,0.00,-5.00
00:15 - 00:30,87.94,52.95,-1.50,9.91,0.00,0.00,-5.00
00:30 - 00:45,100.81,17.58,-1.50,10.73,0.00,0.00,-5.00
00:45 - 01:00,120.47,31.80,-1.50,10.60,0.00,0.00,-5.00
01:00 - 01:15,102.15,28.91,-1.50,10.60,-9.00,0.00,0.00
01:15 - 01:30,105.04,26.98,-1.50,10.22,-9.00,0.00,0.00
01:30 - 01:45,71.31,51.08,-1.50,10.22,-9.00,0.00,0.00
01:45 - 02:00,73.24,28.91,-1.50,10.22,-9.00,0.00,-55.00
02:00 - 02:15,33.73,21.20,-1.50,10.22,-12.00,0.00,33.73
02:15 - 02:30,33.73,19.27,-1.50,10.22,-12.00,0.00,19.27
02:30 - 02:45,0.00,-10.00,-1.50,10.22,-11.00,0.00,-50.00
02:45 - 03:00,0.00,-11.00,-1.50,10.22,-11.00,0.00,-20.00
03:00 - 03:15,-25.00,-15.00,-1.50,10.22,-11.00,0.00,-15.00
03:15 - 03:30,-30.00,-17.00,-1.50,10.22,-11.00,0.00,-20.00
03:30 - 03:45,-22.00,-10.00,-1.50,10.22,-12.00,0.00,-25.00
03:45 - 04:00,-15.00,-13.00,-1.50,10.22,-12.00,0.00,-25.00
04:00 - 04:15,30.84,0.00,-1.50,10.60,-11.00,0.00,-25.00
04:15 - 04:30,33.73,0.00,-1.50,10.60,-11.00,0.00,-65.00
04:30 - 04:45,19.28,16.38,-1.50,11.08,-12.00,0.00,4.82
04:45 - 05:00,20.24,-101.00,-1.50,11.56,-12.00,0.00,-140.00
05:00 - 05:15,0.00,-3.00,-1.50,12.14,-11.00,0.00,28.91
05:15 - 05:30,0.00,-9.00,-1.50,13.11,-11.00,0.00,-20.00
05:30 - 05:45,-82.00,-14.00,-1.50,14.26,-11.00,0.00,-50.00
05:45 - 06:00,-79.00,-11.00,-1.50,15.23,-11.00,0.00,-85.00
06:00 - 06:15,-43.00,-42.00,-1.50,15.42,-9.00,0.00,-55.00
06:15 - 06:30,-57.00,-37.00,-1.50,16.19,-18.00,0.00,-55.00
06:30 - 06:45,0.00,-22.00,-1.50,17.15,-16.00,0.00,-80.00
06:45 - 07:00,25.06,-22.00,-1.50,17.92,-12.00,0.00,-80.00
07:00 - 07:15,0.00,-125.00,-1.50,18.41,-22.00,0.00,-165.00
07:15 - 07:30,0.00,-100.00,-1.50,18.98,-17.00,0.00,-55.00
07:30 - 07:45,0.00,-30.00,-1.50,20.24,-12.00,0.00,-50.00
07:45 - 08:00,38.55,-36.00,-1.50,20.72,-6.00,0.00,-35.00
08:00 - 08:15,0.00,-44.00,-1.50,21.20,-9.00,0.00,-10.00
08:15 - 08:30,0.00,-45.00,-1.50,21.68,0.00,0.00,43.37
08:30 - 08:45,-21.00,-50.00,-1.50,22.17,0.00,0.00,-35.00
08:45 - 09:00,-41.00,-55.00,-1.50,22.65,0.00,0.00,-55.00
09:00 - 09:15,-62.00,-42.00,-1.50,23.13,-28.00,0.00,-50.00
09:15 - 09:30,-51.00,-44.00,-1.50,23.61,-24.00,0.00,19.27
09:30 - 09:45,-19.00,-48.00,-1.50,23.13,-18.00,0.00,53.00
09:45 - 10:00,0.00,-40.00,-1.50,22.65,-13.00,0.00,77.09
10:00 - 10:15,27.95,-35.00,-1.00,22.17,-7.00,0.00,48.18
10:15 - 10:30,18.31,-39.00,-1.00,22.17,0.00,0.00,24.09
10:30 - 10:45,46.26,-36.00,-1.00,22.17,0.00,0.00,24.09
10:45 - 11:00,52.03,-36.00,-1.00,22.17,0.00,0.00,33.73
11:00 - 11:15,14.46,-53.00,-1.00,21.96,-13.00,0.00,9.64
11:15 - 11:30,18.31,-56.00,-1.00,21.97,-11.00,0.00,9.64
11:30 - 11:45,12.53,-55.00,-1.00,22.17,-10.00,0.00,33.72
11:45 - 12:00,16.38,-50.00,-1.00,22.17,-9.00,0.00,67.46
12:00 - 12:15,24.09,-13.00,-1.00,22.17,-9.00,0.00,72.28
12:15 - 12:30,36.62,-5.00,-1.00,22.17,-8.00,0.00,67.45
12:30 - 12:45,70.36,-15.00,-1.00,21.20,-6.00,0.00,53.00
12:45 - 13:00,69.39,-9.00,-1.00,21.20,-7.00,0.00,24.09
13:00 - 13:15,18.31,-9.00,-1.00,20.72,-4.00,0.00,-35.00
13:15 - 13:30,-6.00,1.93,-1.00,20.72,-6.00,0.00,-90.00
13:30 - 13:45,-13.00,0.00,-1.00,19.27,-8.00,0.00,-60.00
13:45 - 14:00,-29.00,0.00,-1.00,19.27,-9.00,0.00,0.00
14:00 - 14:15,-46.00,6.75,-1.00,18.31,-9.00,0.00,19.27
14:15 - 14:30,-35.00,4.82,-1.00,18.31,-7.00,0.00,48.18
14:30 - 14:45,0.00,12.53,-1.00,17.35,-7.00,0.00,77.09
14:45 - 15:00,5.78,9.64,-1.00,17.35,-4.00,0.00,57.82
15:00 - 15:15,-67.00,-8.00,-1.00,17.35,-5.00,0.00,0.00
15:15 - 15:30,-53.00,-12.00,-1.00,17.35,-3.00,0.00,-25.00
15:30 - 15:45,-73.00,-38.00,-1.00,18.31,-3.00,0.00,-20.00
15:45 - 16:00,-67.00,-35.00,-1.00,18.31,-5.00,0.00,-30.00
16:00 - 16:15,-83.00,-40.00,-1.00,18.31,-5.00,0.00,-55.00
16:15 - 16:30,-98.00,-37.00,-1.00,19.27,-8.00,0.00,-45.00
16:30 - 16:45,-60.00,-44.00,-1.00,19.27,-9.00,0.00,-35.00
16:45 - 17:00,-67.00,-91.00,-1.00,19.27,-15.00,0.00,-20.00
17:00 - 17:15,-189.00,-125.00,-1.00,19.28,0.00,0.00,2.89
17:15 - 17:30,-15.00,-82.00,-1.00,19.27,0.00,0.00,39.52
17:30 - 17:45,-98.00,-67.00,-1.00,20.24,0.00,0.00,-33.00
17:45 - 18:00,-164.00,-46.00,-1.00,20.24,0.00,0.00,-40.00
18:00 - 18:15,-95.00,-17.00,-1.00,20.24,0.00,0.00,-22.00
18:15 - 18:30,-94.00,-25.00,-1.00,20.24,0.00,0.00,-64.00
