Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,83.85,16.38,1.06,-1.50,7.71,-10.00,0.29,-22.00
00:15 - 00:30,70.36,21.20,1.06,-1.50,7.71,-10.00,0.29,-12.00
00:30 - 00:45,79.03,33.73,1.06,-1.50,7.71,-10.00,0.29,-7.00
00:45 - 01:00,77.10,32.77,1.06,-1.50,7.52,-10.00,0.29,-9.00
01:00 - 01:15,69.39,27.95,1.06,-1.50,6.75,-10.00,0.29,-29.00
01:15 - 01:30,63.60,29.88,1.06,-1.50,6.75,-10.00,0.29,-28.00
01:30 - 01:45,92.52,27.95,1.06,-1.50,6.75,-10.00,0.29,-18.00
01:45 - 02:00,47.22,26.99,1.06,-1.50,6.75,-10.00,0.29,-19.00
02:00 - 02:15,0.00,-18.00,1.06,-1.50,6.75,-10.00,0.29,-28.00
02:15 - 02:30,-37.00,-30.00,1.06,-1.50,6.75,-10.00,0.29,-27.00
02:30 - 02:45,0.00,-22.00,1.06,-1.50,6.75,-10.00,0.29,-9.00
02:45 - 03:00,37.58,-23.00,1.06,-1.50,6.75,-10.00,0.29,-25.00
03:00 - 03:15,39.51,0.00,1.06,-1.50,6.75,-10.00,0.29,-41.00
03:15 - 03:30,39.51,0.00,1.06,-1.50,6.75,-10.00,0.29,-50.00
03:30 - 03:45,46.26,-10.00,1.06,-1.50,6.75,-10.00,0.29,-14.00
03:45 - 04:00,46.26,-15.00,1.06,-1.50,6.75,-10.00,0.29,-16.00
04:00 - 04:15,41.44,0.00,1.06,-1.50,6.75,-10.00,0.29,18.31
04:15 - 04:30,40.47,0.00,1.06,-1.50,6.75,-10.00,0.29,9.64
04:30 - 04:45,40.47,0.00,1.06,-1.50,6.75,-10.00,0.29,11.57
04:45 - 05:00,40.48,0.00,1.06,-1.50,7.71,-10.00,0.29,12.53
05:00 - 05:15,35.66,-11.00,1.06,-1.50,9.64,-10.00,0.29,20.24
05:15 - 05:30,35.66,-11.00,1.06,-1.50,9.64,-10.00,0.29,27.95
05:30 - 05:45,43.37,-12.00,1.06,-1.50,12.53,-10.00,0.29,7.71
05:45 - 06:00,44.33,-13.00,1.06,-1.50,14.46,-10.00,0.29,11.57
06:00 - 06:15,44.33,-10.00,1.06,-1.50,14.46,-10.00,0.29,10.60
06:15 - 06:30,53.97,-7.00,1.06,-1.50,14.46,-10.00,0.29,14.46
06:30 - 06:45,26.99,-16.00,1.06,-1.50,15.42,-10.00,0.29,27.95
06:45 - 07:00,25.06,-23.00,1.06,-1.50,15.42,-10.00,0.29,37.59
07:00 - 07:15,40.48,-9.00,1.06,-1.50,15.42,-10.00,0.29,55.90
07:15 - 07:30,37.59,-11.00,1.06,-1.50,15.32,-10.00,0.29,56.87
07:30 - 07:45,36.62,-14.00,1.06,-1.50,14.94,-10.00,0.29,27.95
07:45 - 08:00,36.63,-12.00,1.06,-1.50,14.07,-10.00,0.29,20.24
08:00 - 08:15,35.66,0.00,1.06,-1.50,14.46,-10.00,0.29,38.55
