Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,127.51,88.21,-1.10,2.45,-35.00,0.08,0.00,0.00
00:15 - 00:30,139.85,106.24,-1.10,2.58,-35.00,0.00,0.00,0.00
00:30 - 00:45,88.96,200.37,-1.10,5.10,-36.00,0.00,-12.00,-10.00
00:45 - 01:00,112.14,331.01,-1.10,7.55,-36.00,0.00,-12.00,-18.00
01:00 - 01:15,123.98,94.89,-1.10,12.53,-32.00,0.00,-12.00,-26.00
01:15 - 01:30,131.57,129.71,-1.10,16.89,-32.00,0.00,-12.00,-23.00
01:30 - 01:45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01:45 - 02:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
02:00 - 02:15,70.41,112.29,-1.40,15.24,-32.00,0.00,0.00,-2.00
02:15 - 02:30,77.00,123.20,-1.40,15.50,-32.00,0.00,0.00,-2.00
02:30 - 02:45,116.45,109.73,-1.40,15.50,-32.00,0.00,0.00,0.00
02:45 - 03:00,101.06,100.10,-1.40,15.50,-32.00,0.00,0.00,0.00
03:00 - 03:15,106.84,121.27,-1.40,15.50,-32.00,0.00,0.00,0.00
03:15 - 03:30,90.48,126.08,-1.40,15.50,-32.00,0.00,0.00,0.00
03:30 - 03:45,62.56,82.77,-1.40,15.50,-32.00,0.00,0.00,-25.00
03:45 - 04:00,43.31,88.55,-1.40,15.50,-32.00,0.00,0.00,-10.00
04:00 - 04:15,33.69,81.81,-1.40,15.50,-32.00,0.00,0.00,0.00
04:15 - 04:30,21.18,84.69,-1.40,16.46,-32.00,0.00,0.00,9.63
04:30 - 04:45,0.00,69.30,-1.40,16.94,-32.00,0.00,0.00,-15.00
04:45 - 05:00,0.00,64.49,-1.40,17.42,-32.00,0.00,0.00,-15.00
05:00 - 05:15,-22.00,56.79,-1.40,17.90,-32.00,0.00,0.00,-9.00
05:15 - 05:30,-15.00,60.64,-1.40,18.38,-32.00,0.00,-28.00,-7.00
05:30 - 05:45,-9.00,57.72,-1.40,19.43,-32.00,0.00,-28.00,-4.00
05:45 - 06:00,-5.00,55.40,-1.40,19.26,-32.00,0.00,-28.00,-6.00
06:00 - 06:15,15.47,45.25,-1.40,12.71,-32.00,0.35,-28.00,0.00
06:15 - 06:30,23.78,36.76,-1.40,10.03,-32.00,0.99,-28.00,0.00
06:30 - 06:45,12.00,22.62,-1.40,5.35,-32.00,0.48,-28.00,0.00
06:45 - 07:00,0.00,34.36,-1.40,8.23,-32.00,0.20,-28.00,0.00
07:00 - 07:15,39.99,45.56,-1.40,12.75,-36.00,0.00,-35.00,10.13
07:15 - 07:30,47.02,61.48,-1.40,18.95,-36.00,0.00,-35.00,-90.00
07:30 - 07:45,-42.00,116.46,-1.40,26.18,-36.00,0.00,0.00,-158.00
07:45 - 08:00,-11.00,103.95,-1.18,27.14,-30.38,0.00,0.00,-245.00
08:00 - 08:15,35.61,70.26,-1.40,24.45,-36.00,0.00,0.00,-239.00
08:15 - 08:30,88.55,65.45,-1.40,24.93,-36.00,0.00,0.00,-123.00
08:30 - 08:45,92.40,65.45,-1.40,25.41,-36.00,0.00,0.00,0.00
08:45 - 09:00,72.19,66.41,-1.40,25.89,-35.00,0.00,0.00,0.00
09:00 - 09:15,51.98,75.06,-0.40,23.58,-24.00,0.00,0.00,-200.00
09:15 - 09:30,73.15,79.89,-0.40,23.58,-12.00,0.00,0.00,-185.00
09:30 - 09:45,98.18,85.66,-0.40,24.06,0.00,0.00,0.00,-191.00
09:45 - 10:00,115.51,77.96,-0.40,24.06,0.00,0.00,0.00,-167.00
10:00 - 10:15,137.64,73.15,-0.40,22.23,0.00,0.00,0.00,-110.00
10:15 - 10:30,140.53,74.11,-0.40,22.23,0.00,0.00,0.00,-90.00
10:30 - 10:45,118.39,43.31,-0.40,22.23,0.00,0.00,0.00,-85.00
10:45 - 11:00,128.98,43.31,-0.40,22.23,11.55,0.00,0.00,-40.00
11:00 - 11:15,150.15,64.49,-0.40,22.23,13.48,0.00,0.00,-20.00
11:15 - 11:30,162.67,66.41,-0.40,22.23,15.40,0.00,0.00,4.81
11:30 - 11:45,198.29,62.56,-0.40,22.23,35.61,0.00,0.00,62.56
11:45 - 12:00,197.32,65.45,-0.40,22.23,35.61,0.00,0.00,57.75
12:00 - 12:15,216.55,65.45,-0.40,22.62,37.54,0.00,0.00,28.88
12:15 - 12:30,208.86,65.45,-0.40,22.62,38.50,0.00,0.00,19.25
12:30 - 12:45,193.46,57.75,-0.40,22.62,39.46,0.00,0.00,0.00
12:45 - 13:00,183.84,57.75,-0.40,22.62,38.50,0.00,0.00,0.00
13:00 - 13:15,126.09,19.25,-0.40,22.14,38.50,0.00,0.00,-160.00
13:15 - 13:30,124.16,19.25,-0.40,22.14,38.50,0.00,0.00,-120.00
13:30 - 13:45,138.61,19.25,-0.40,24.06,20.21,0.00,0.00,-130.00
13:45 - 14:00,153.04,17.33,-0.40,24.06,19.25,0.00,0.00,-100.00
14:00 - 14:15,190.57,16.36,-0.40,21.18,25.99,0.00,0.00,-100.00
14:15 - 14:30,209.83,16.36,-0.40,21.18,27.91,0.00,0.00,-100.00
14:30 - 14:45,221.37,25.99,-0.40,20.21,29.84,0.00,0.00,-85.00
14:45 - 15:00,229.08,30.80,-0.40,20.21,31.76,0.00,0.00,-90.00
15:00 - 15:15,222.34,20.21,-0.40,22.14,31.76,0.00,0.00,-70.00
15:15 - 15:30,209.82,58.71,-0.40,22.14,32.73,0.00,0.00,-40.00
15:30 - 15:45,56.78,24.06,-0.40,22.14,32.73,0.00,0.00,-55.00
15:45 - 16:00,36.57,26.95,-0.40,22.14,30.80,0.00,0.00,-25.00
16:00 - 16:15,81.80,44.28,-0.40,25.03,25.99,0.00,0.00,-25.00
16:15 - 16:30,47.16,93.36,-0.40,25.03,0.00,0.00,-25.00,-15.00
16:30 - 16:45,51.98,102.97,-0.40,25.03,6.75,0.00,0.00,13.48
