Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,82.91,74.23,0.67,-2.00,5.88,0.00,0.00,0.29,-10.00
00:15 - 00:30,66.52,70.37,0.67,-2.00,5.69,0.00,0.00,0.29,-10.00
00:30 - 00:45,66.52,80.98,0.67,-2.00,5.30,0.00,0.00,0.29,21.21
00:45 - 01:00,66.52,78.09,0.67,-2.00,5.30,0.00,0.00,0.29,15.42
01:00 - 01:15,66.52,62.66,0.67,-2.00,5.30,0.00,0.00,0.29,19.28
01:15 - 01:30,65.56,62.66,0.67,-2.00,5.30,0.00,0.00,0.29,17.35
01:30 - 01:45,63.63,57.84,0.67,-2.00,5.30,0.00,0.00,0.29,18.32
01:45 - 02:00,62.66,57.84,0.67,-2.00,5.21,0.00,0.00,0.29,12.53
02:00 - 02:15,0.00,0.00,0.67,-2.00,5.11,0.00,0.00,0.29,0.00
02:15 - 02:30,39.53,0.00,0.67,-2.00,5.11,0.00,0.00,0.29,0.00
02:30 - 02:45,37.60,0.00,0.67,-2.00,5.01,0.00,0.00,0.29,0.00
02:45 - 03:00,35.67,0.00,0.67,-2.00,4.92,0.00,0.00,0.29,0.00
03:00 - 03:15,76.16,0.00,0.67,-2.00,4.92,0.00,0.00,0.29,0.00
03:15 - 03:30,83.87,0.00,0.67,-2.00,4.82,0.00,0.00,0.29,0.00
03:30 - 03:45,84.84,0.00,0.67,-2.00,4.82,0.00,0.00,0.29,0.00
03:45 - 04:00,45.31,0.00,0.67,-2.00,4.82,0.00,0.00,0.29,0.00
04:00 - 04:15,28.92,0.00,0.67,-2.00,4.92,0.00,0.00,0.29,0.00
04:15 - 04:30,27.00,0.00,0.67,-2.00,5.01,0.00,0.00,0.29,0.00
04:30 - 04:45,22.18,0.00,0.67,-2.00,5.30,0.00,0.00,0.29,-12.00
04:45 - 05:00,25.07,0.00,0.67,-2.00,5.69,0.00,0.00,0.29,-15.00
05:00 - 05:15,36.64,0.00,0.67,-2.00,6.17,0.00,0.00,0.29,0.00
05:15 - 05:30,31.81,0.00,0.67,-2.00,7.62,0.00,0.00,0.29,0.00
05:30 - 05:45,47.23,0.00,0.67,-2.00,8.97,0.00,0.00,0.29,23.14
05:45 - 06:00,30.85,0.00,0.67,-2.00,10.41,0.00,0.00,0.29,13.50
06:00 - 06:15,37.60,38.56,0.67,-2.00,11.66,0.00,0.00,0.29,28.92
06:15 - 06:30,29.88,41.46,0.67,-2.00,12.15,0.00,0.00,0.29,34.70
06:30 - 06:45,39.53,0.00,0.67,-2.00,12.34,0.00,0.00,0.29,26.99
06:45 - 07:00,35.67,0.00,0.67,-2.00,12.92,0.00,0.00,0.29,35.67
07:00 - 07:15,56.88,0.00,0.67,-2.00,13.01,0.00,0.00,0.29,76.16
07:15 - 07:30,72.30,0.00,0.67,-2.00,12.34,0.00,0.00,0.29,89.66
07:30 - 07:45,89.66,-16.00,0.67,-2.00,12.82,0.00,0.00,0.29,69.41
07:45 - 08:00,60.73,-19.00,0.67,-2.00,12.24,0.00,0.00,0.29,52.06
08:00 - 08:15,87.73,0.00,0.67,-2.00,11.18,0.00,0.00,0.29,63.62
08:15 - 08:30,48.20,0.00,0.67,-2.00,10.31,0.00,0.00,0.29,54.96
08:30 - 08:45,0.00,0.00,0.67,-2.00,9.35,0.00,0.00,0.29,43.38
08:45 - 09:00,48.21,0.00,0.67,-2.00,12.24,0.00,0.00,0.29,41.45
09:00 - 09:15,68.45,-14.00,0.67,-1.00,10.70,0.00,0.00,0.29,39.52
09:15 - 09:30,85.79,-10.00,0.67,-1.00,11.09,0.00,0.00,0.29,40.49
09:30 - 09:45,88.69,-15.00,0.67,-1.00,9.64,0.00,0.00,0.29,47.24
09:45 - 10:00,69.42,-18.00,0.67,-1.00,10.31,0.00,0.00,0.29,38.56
10:00 - 10:15,61.69,-20.00,0.67,-1.00,11.09,0.00,0.00,0.29,32.78
10:15 - 10:30,49.17,-20.00,0.67,-1.00,11.28,0.00,0.00,0.29,31.81
10:30 - 10:45,30.85,0.00,0.67,-1.00,11.76,0.00,0.00,0.29,19.28
10:45 - 11:00,23.14,0.00,0.67,-1.00,9.64,0.00,0.00,0.29,24.10
11:00 - 11:15,43.38,19.28,0.67,-1.00,8.68,0.00,0.00,0.29,4.82
11:15 - 11:30,40.50,25.06,0.67,-1.00,9.25,0.00,0.00,0.29,0.00
