Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,19.24,20.20,-1.00,6.06,0.00,40.39
00:15 - 00:30,25.97,18.27,-1.00,5.77,0.00,38.48
00:30 - 00:45,58.66,0.00,-1.00,5.29,0.00,24.05
00:45 - 01:00,46.16,0.00,-1.00,5.10,0.00,14.43
01:00 - 01:15,34.62,0.00,-1.00,4.33,0.00,10.58
01:15 - 01:30,19.24,0.00,-1.00,3.85,0.00,21.15
01:30 - 01:45,41.35,0.00,-1.00,3.37,0.00,5.77
01:45 - 02:00,34.63,0.00,-1.00,3.17,0.00,3.85
02:00 - 02:15,0.00,0.00,-1.00,3.17,0.00,5.77
02:15 - 02:30,0.00,0.00,-1.00,3.18,0.00,1.92
02:30 - 02:45,0.00,0.00,-1.00,2.89,0.00,-7.00
02:45 - 03:00,0.00,0.00,-1.00,3.08,0.00,-15.00
03:00 - 03:15,-2.00,0.00,-1.00,3.08,0.00,-33.00
03:15 - 03:30,-3.00,0.00,-1.00,3.17,0.00,-30.00
03:30 - 03:45,-15.00,0.00,-1.00,3.37,0.00,-29.00
03:45 - 04:00,-6.00,0.00,-1.00,3.37,0.00,-34.00
04:00 - 04:15,0.00,0.00,-1.00,3.85,0.00,-29.00
04:15 - 04:30,0.00,0.00,-1.00,4.81,0.00,-22.00
04:30 - 04:45,-22.00,-20.00,-1.00,4.81,0.00,-6.00
04:45 - 05:00,-39.00,-20.00,-1.00,5.29,0.00,11.54
05:00 - 05:15,-31.00,-26.00,-1.00,3.17,0.00,-3.00
05:15 - 05:30,0.00,-19.00,-1.00,3.85,0.00,6.73
05:30 - 05:45,25.97,-22.00,-1.00,0.00,0.00,1.92
05:45 - 06:00,0.00,-27.00,-1.00,1.25,0.00,8.66
06:00 - 06:15,-18.00,-20.00,-1.00,4.81,0.00,-48.00
06:15 - 06:30,0.00,-15.00,-1.00,6.73,0.00,-120.00
06:30 - 06:45,16.35,-9.00,-1.00,8.66,0.00,-156.00
06:45 - 07:00,0.00,-18.00,-1.00,11.54,0.00,-13.00
07:00 - 07:15,-21.00,-56.00,-1.00,13.47,0.00,-10.00
07:15 - 07:30,-24.00,-50.00,-1.00,13.47,0.00,-34.00
07:30 - 07:45,46.80,-32.00,-1.00,10.96,0.73,-42.00
07:45 - 08:00,87.10,-30.00,-1.00,12.55,2.59,-7.00
08:00 - 08:15,83.26,-20.00,-1.00,8.70,0.55,21.77
08:15 - 08:30,106.28,-24.00,-1.00,9.29,2.33,29.04
08:30 - 08:45,83.76,-16.00,-1.00,13.96,1.66,34.37
08:45 - 09:00,114.89,-19.00,-1.00,22.29,0.00,60.02
09:00 - 09:15,66.14,-21.00,-0.30,19.29,0.10,23.89
09:15 - 09:30,61.55,-27.00,-0.30,19.24,0.00,21.16
09:30 - 09:45,71.17,-15.00,-0.30,19.24,0.00,28.85
09:45 - 10:00,50.01,-25.00,-0.30,18.27,0.00,25.01
10:00 - 10:15,33.66,-15.00,-0.30,15.68,0.00,33.66
10:15 - 10:30,19.23,-14.00,-0.30,15.39,0.00,19.24
10:30 - 10:45,8.66,9.62,-0.30,15.19,0.00,-60.00
10:45 - 11:00,6.73,29.81,-0.30,14.43,0.00,24.05
11:00 - 11:15,15.39,44.24,-0.30,14.43,0.00,67.32
11:15 - 11:30,18.27,29.82,-0.30,14.43,0.00,62.51
11:30 - 11:45,81.75,17.31,-0.30,13.47,0.00,91.37
11:45 - 12:00,132.73,8.66,-0.30,11.54,0.00,91.37
12:00 - 12:15,197.17,0.00,-0.30,13.47,0.00,81.75
12:15 - 12:30,210.64,-8.00,-0.30,12.50,0.00,76.94
12:30 - 12:45,224.11,11.54,-0.30,12.50,0.00,81.75
12:45 - 13:00,203.91,-19.00,-0.30,11.54,0.00,86.56
13:00 - 13:15,146.19,-26.00,-0.30,12.50,0.00,62.52
13:15 - 13:30,137.54,-3.00,-0.30,12.50,0.00,57.71
13:30 - 13:45,98.10,-19.00,-0.30,10.58,0.00,52.90
13:45 - 14:00,115.41,0.00,-0.30,9.62,0.00,62.52
14:00 - 14:15,84.64,-7.00,-0.30,10.58,0.00,57.71
14:15 - 14:30,70.21,4.81,-0.30,9.62,0.00,62.52
14:30 - 14:45,86.56,19.24,-0.30,9.62,0.00,48.09
14:45 - 15:00,91.36,24.05,-0.30,9.62,0.00,52.90
15:00 - 15:15,74.05,25.01,-0.30,9.62,0.00,52.90
15:15 - 15:30,36.55,24.05,-0.30,9.62,0.00,67.32
15:30 - 15:45,5.77,-27.00,-0.30,9.62,0.00,0.00
15:45 - 16:00,18.27,-24.00,-0.30,9.62,0.00,-55.00
16:00 - 16:15,13.47,-15.00,-0.30,11.54,0.00,-100.00
16:15 - 16:30,11.54,-48.00,-0.30,11.54,0.00,43.28
16:30 - 16:45,14.43,-95.00,-0.30,12.50,0.00,9.62
16:45 - 17:00,25.35,-105.00,-0.30,12.24,0.00,17.49
17:00 - 17:15,63.38,-68.00,-0.30,7.39,0.00,-109.00
17:15 - 17:30,60.12,-45.00,-0.30,5.79,0.66,15.14
17:30 - 17:45,-70.00,-36.00,-0.30,3.50,0.98,-20.00
17:45 - 18:00,7.17,-41.00,-0.30,4.21,0.62,-64.00
18:00 - 18:15,22.79,-16.00,-0.30,3.09,1.15,52.89
18:15 - 18:30,55.17,-6.00,-0.30,3.74,1.13,91.63
18:30 - 18:45,62.45,-23.00,-0.30,4.40,0.88,29.69
18:45 - 19:00,63.37,-13.00,-0.30,5.95,0.74,-96.00
19:00 - 19:15,126.00,-20.00,-0.30,18.27,0.00,-66.00
19:15 - 19:30,126.96,-20.00,-0.30,17.31,0.00,-57.00
19:30 - 19:45,71.18,-19.00,-0.30,17.31,0.00,-59.00
19:45 - 20:00,52.90,-17.00,-0.30,18.27,0.00,-51.00
20:00 - 20:15,29.82,8.66,-0.30,18.27,0.00,-26.00
20:15 - 20:30,45.21,16.35,-0.30,18.27,0.00,-111.00
