Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,135.35,24.17,5.88,-20.00,0.00,-35.00,201.43
00:15 - 00:30,13.44,-7.00,7.01,-20.00,0.00,-35.00,191.95
00:30 - 00:45,-22.00,-15.00,7.01,-15.00,0.00,0.00,43.19
00:45 - 01:00,-19.00,-22.00,7.01,-15.00,0.00,0.00,39.35
01:00 - 01:15,23.04,-15.00,7.01,-25.00,0.00,0.00,57.58
01:15 - 01:30,52.79,-15.00,7.01,-25.00,0.00,0.00,-106.00
01:30 - 01:45,73.90,0.00,7.01,-25.00,0.00,0.00,-105.00
01:45 - 02:00,71.98,-40.00,7.01,-25.00,0.00,0.00,-142.00
02:00 - 02:15,0.00,-25.00,6.72,-35.00,0.00,0.00,-81.00
02:15 - 02:30,0.00,-23.00,6.72,-35.00,0.00,0.00,-8.00
02:30 - 02:45,-12.00,0.00,6.72,-35.00,0.00,0.00,36.47
02:45 - 03:00,16.32,0.00,6.72,-35.00,0.00,0.00,38.39
03:00 - 03:15,1.92,0.00,6.72,-35.00,0.00,0.00,47.99
03:15 - 03:30,0.96,0.00,5.76,-30.00,0.00,0.00,52.79
03:30 - 03:45,31.67,0.00,5.76,-30.00,0.00,0.00,43.19
03:45 - 04:00,31.67,0.00,5.76,-30.00,0.00,0.00,43.19
04:00 - 04:15,16.32,0.00,5.95,-30.00,0.00,0.00,34.55
04:15 - 04:30,17.28,0.00,5.28,-30.00,0.00,0.00,34.55
04:30 - 04:45,25.91,0.00,5.28,-30.00,0.00,0.00,40.32
04:45 - 05:00,40.31,0.00,4.99,-30.00,0.00,0.00,43.19
05:00 - 05:15,40.31,22.08,4.99,-36.00,0.00,0.00,62.38
05:15 - 05:30,17.28,18.24,5.28,-37.00,0.00,0.00,71.98
05:30 - 05:45,11.52,91.18,5.47,-37.00,0.00,0.00,59.51
05:45 - 06:00,-35.00,78.70,5.95,-37.00,0.00,0.00,-12.00
06:00 - 06:15,24.00,81.58,15.84,-38.00,0.00,0.00,139.17
06:15 - 06:30,38.39,76.78,16.32,-37.00,1.63,0.00,57.59
06:30 - 06:45,50.87,54.71,16.32,-36.00,0.00,0.00,38.39
06:45 - 07:00,69.11,38.39,17.28,-36.00,0.00,0.00,28.79
07:00 - 07:15,102.70,43.19,17.28,-36.00,0.00,0.00,-230.00
07:15 - 07:30,139.17,-15.00,17.28,-35.00,0.00,0.00,-125.00
07:30 - 07:45,102.70,-10.00,18.04,-35.00,0.00,0.00,-5.00
07:45 - 08:00,88.30,14.40,17.18,-34.00,0.00,0.00,-65.00
08:00 - 08:15,70.06,63.35,16.32,-22.00,0.00,0.00,-48.00
08:15 - 08:30,64.30,60.47,14.40,-10.00,0.00,0.00,-15.00
08:30 - 08:45,91.18,86.38,18.24,-10.00,0.00,0.00,-25.00
08:45 - 09:00,102.70,88.30,19.20,-10.00,0.00,0.00,-20.00
09:00 - 09:15,57.59,102.69,18.24,-10.00,0.00,0.00,6.72
09:15 - 09:30,84.46,105.57,18.24,-10.00,0.00,0.00,19.20
09:30 - 09:45,132.45,129.57,17.28,0.00,0.00,0.00,-20.00
09:45 - 10:00,119.02,123.81,17.28,0.00,0.00,0.00,-20.00
10:00 - 10:15,54.71,82.53,18.24,0.00,0.00,0.00,14.40
10:15 - 10:30,53.75,70.06,19.20,0.00,0.00,0.00,4.80
