Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,113.34,-10.00,0.47,0.00,0.00,0.00,29.58
00:15 - 00:30,119.71,-25.00,0.49,0.00,0.00,0.00,10.16
00:30 - 00:45,0.00,-30.00,0.77,0.00,0.00,0.00,0.00
00:45 - 01:00,0.00,-50.00,0.56,0.00,0.00,0.00,0.00
01:00 - 01:15,-107.00,2.72,0.87,0.00,0.00,0.00,-50.00
01:15 - 01:30,-151.00,-60.00,1.07,0.00,0.00,0.00,-55.00
01:30 - 01:45,-73.00,-105.00,0.68,0.00,0.00,0.00,-50.00
01:45 - 02:00,-94.00,-110.00,0.75,0.00,0.00,0.00,-30.00
02:00 - 02:15,-100.00,6.00,0.83,0.00,0.00,-7.20,-45.00
02:15 - 02:30,-26.00,8.41,0.92,0.00,0.00,-15.00,-45.00
02:30 - 02:45,-89.00,12.32,1.19,-40.00,0.00,-20.10,-25.00
02:45 - 03:00,-169.00,-50.00,1.48,-40.00,0.00,-20.10,3.88
03:00 - 03:15,45.38,93.24,1.74,-40.00,0.00,-30.00,-10.00
03:15 - 03:30,51.47,55.16,2.02,-40.00,0.00,-30.00,-10.00
03:30 - 03:45,81.09,42.56,3.10,-40.00,0.00,-1.00,-10.00
03:45 - 04:00,111.77,37.88,3.30,-40.00,0.00,-9.20,-5.00
04:00 - 04:15,31.93,115.22,3.47,-40.00,0.00,-6.00,-1.00
04:15 - 04:30,26.46,78.78,2.83,-40.00,0.00,-15.40,-3.00
04:30 - 04:45,-43.00,69.24,2.29,-40.00,0.00,-15.40,0.00
04:45 - 05:00,-81.00,68.93,2.38,-40.00,0.00,-15.40,-5.00
05:00 - 05:15,206.79,0.00,3.38,-40.00,0.00,0.00,-30.00
05:15 - 05:30,149.78,0.00,1.93,-40.00,0.00,0.00,-10.00
05:30 - 05:45,-20.00,-10.00,0.97,-40.00,0.00,0.00,-34.00
05:45 - 06:00,-15.00,-16.00,0.00,-42.00,0.00,0.00,-32.00
06:00 - 06:15,-50.00,-27.00,0.97,-46.00,0.00,0.00,0.00
06:15 - 06:30,-47.00,-40.00,1.26,-45.00,0.00,0.00,-5.00
06:30 - 06:45,-35.00,-31.00,1.45,-46.00,0.00,0.00,-16.00
06:45 - 07:00,-40.00,-32.00,1.55,-46.00,0.00,0.00,-30.00
07:00 - 07:15,-72.00,-63.00,2.42,-54.00,0.00,0.00,48.31
07:15 - 07:30,-55.00,-110.00,3.19,-53.00,0.00,0.00,28.99
07:30 - 07:45,-51.00,73.44,4.25,-53.00,0.10,0.00,-5.00
07:45 - 08:00,-42.00,72.47,5.80,-52.00,0.00,0.00,-30.00
08:00 - 08:15,-15.00,67.64,1.93,-54.00,0.00,0.00,-14.00
08:15 - 08:30,-19.00,57.98,3.19,-53.00,0.00,0.00,-35.00
08:30 - 08:45,0.00,56.05,4.54,-53.00,0.00,0.00,-85.00
08:45 - 09:00,0.00,45.41,5.80,-52.00,0.00,0.00,-100.00
09:00 - 09:15,67.64,134.32,13.91,-85.00,0.00,0.00,-52.00
09:15 - 09:30,41.55,132.38,15.17,-69.00,0.00,0.00,0.00
09:30 - 09:45,80.20,136.25,15.46,-54.00,0.00,0.00,-25.00
09:45 - 10:00,71.51,133.34,16.43,-62.00,0.00,0.00,-25.00
10:00 - 10:15,108.23,131.42,13.91,-58.00,0.00,0.00,-9.00
10:15 - 10:30,90.83,130.45,14.01,-51.00,0.00,0.00,-25.00
10:30 - 10:45,86.00,169.11,17.10,-45.00,0.00,0.00,0.00
10:45 - 11:00,84.07,176.83,17.10,-37.00,0.00,0.00,-20.00
11:00 - 11:15,139.15,200.02,17.30,-21.00,0.00,0.00,-75.00
11:15 - 11:30,157.51,215.49,17.68,-43.00,0.00,0.00,-55.00
11:30 - 11:45,166.20,149.78,17.88,-19.00,0.00,0.00,-30.00
11:45 - 12:00,158.48,135.28,18.84,-15.00,0.00,0.00,-25.00
12:00 - 12:15,180.69,154.61,19.33,-11.00,0.00,0.00,19.33
12:15 - 12:30,183.59,154.61,19.33,-11.00,0.00,0.00,28.99
12:30 - 12:45,203.88,126.59,19.33,-13.00,0.00,0.00,43.48
12:45 - 13:00,222.24,131.42,19.33,-10.00,0.00,0.00,62.81
13:00 - 13:15,197.12,136.25,23.19,-7.00,0.00,0.00,0.00
13:15 - 13:30,175.87,137.21,23.19,-6.00,0.00,0.00,0.00
13:30 - 13:45,235.78,175.87,23.19,-18.00,0.00,0.00,-20.00
13:45 - 14:00,285.06,207.75,23.19,-9.00,0.00,0.00,-20.00
14:00 - 14:15,235.77,223.22,23.19,-9.00,0.00,0.00,-40.00
14:15 - 14:30,160.41,226.11,23.19,-9.00,0.00,0.00,-40.00
14:30 - 14:45,154.61,241.57,20.78,-9.00,0.00,0.00,9.66
14:45 - 15:00,254.14,238.68,20.87,-9.00,0.00,0.00,-40.00
15:00 - 15:15,37.69,212.58,23.19,-9.00,0.00,0.00,-50.00
15:15 - 15:30,64.74,217.42,23.19,-9.00,0.00,0.00,-60.00
15:30 - 15:45,45.42,142.04,23.19,0.00,0.00,0.00,-50.00
15:45 - 16:00,50.25,128.52,23.19,0.00,0.00,0.00,-30.00
16:00 - 16:15,23.19,-10.00,16.91,0.00,0.00,0.00,-90.00
16:15 - 16:30,48.32,-30.00,16.91,0.00,0.00,0.00,-90.00
16:30 - 16:45,36.72,-40.00,16.91,0.00,0.00,0.00,-129.00
16:45 - 17:00,41.56,14.49,16.91,-17.00,0.00,0.00,-134.00
17:00 - 17:15,0.00,14.49,14.50,-17.00,0.00,0.00,-200.00
17:15 - 17:30,0.00,14.49,13.53,-17.00,0.00,0.00,-200.00
17:30 - 17:45,-160.00,-15.00,14.98,-17.00,0.00,0.00,-128.00
17:45 - 18:00,-177.00,-20.00,14.49,-32.00,0.00,0.00,-36.00
18:00 - 18:15,-63.00,-35.00,13.91,-48.00,0.00,0.00,-26.00
18:15 - 18:30,-107.00,-40.00,13.05,-55.00,0.00,0.00,-49.00
18:30 - 18:45,-142.00,-28.00,8.72,-62.00,0.00,0.00,-50.00
18:45 - 19:00,-155.00,-34.00,7.03,-63.00,0.00,0.00,-64.00
19:00 - 19:15,-463.00,0.00,3.37,-50.00,0.00,0.00,-106.00
19:15 - 19:30,-514.00,0.00,2.75,-50.00,0.19,0.00,-184.00
19:30 - 19:45,-423.00,0.00,1.48,-50.00,0.59,0.00,-242.00
19:45 - 20:00,-412.00,4.58,1.31,-50.00,0.45,0.00,-223.00
20:00 - 20:15,-348.00,1.78,1.06,-50.00,0.45,0.00,-200.00
20:15 - 20:30,-331.00,5.47,1.09,-50.00,0.28,0.00,-180.00
20:30 - 20:45,-270.00,7.27,0.84,-50.00,0.20,0.00,-135.00
20:45 - 21:00,-167.00,7.01,0.80,-50.00,0.27,0.00,-100.00
21:00 - 21:15,-73.00,8.90,0.73,-25.00,0.03,0.00,-36.00
