timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP
1,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,31.0837,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.2760,0.0000,0.0000,5.2832,0.0000,30.4465,50.7155,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.1548,16.5805,15.6120,0.0000,0.0000,0.0000,2.6792,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.8288,0.0000,0.0000,0.0000,13.1801,8.1166,10.7061,6.7026,2.4631,0.0000,12.4047,3.5608,12.9870,0.6198,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.5000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,36.6700,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
2,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,21.6862,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0626,0.0000,0.0000,5.2832,0.0000,30.4465,50.7155,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.1548,16.5805,15.6120,0.0000,0.0000,0.0000,1.3396,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.8288,0.0000,0.0000,0.0000,13.1801,8.1166,10.7061,6.7026,2.4631,0.0000,12.4047,3.5608,12.9870,0.6198,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,36.3300,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
3,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0626,0.0000,0.0000,4.6228,0.0000,30.4465,50.7155,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.1548,16.5805,15.6120,0.0000,0.0000,0.0000,1.3396,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.9787,0.0000,0.0000,0.0000,13.1801,8.1166,7.1374,6.7026,2.4631,0.0000,12.4047,3.5608,12.9870,0.6198,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,35.6700,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
4,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,95.0626,0.0000,0.0000,4.6228,0.0000,30.4465,50.7155,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.1548,16.5805,15.6120,0.0000,0.0000,0.0000,1.3396,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.9787,0.0000,0.0000,0.0000,13.1801,8.1166,7.1374,6.7026,2.4631,0.0000,12.4047,3.5608,12.9870,0.6198,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
5,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.8370,0.0000,0.0000,4.6228,0.0000,30.4465,39.1614,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.4232,16.5805,15.6120,0.0000,0.0000,0.0000,1.3396,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.9787,0.0000,0.0000,0.0000,13.3198,8.1166,7.1374,6.7026,2.4631,0.0000,12.4047,3.5608,12.9870,0.3581,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,34.3300,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
6,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.8370,0.0000,0.0000,4.6228,0.0000,30.4465,39.1614,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.4232,16.5805,15.6120,0.0000,0.0000,0.0000,1.3396,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.9787,0.0000,0.0000,0.0000,13.3198,8.1166,7.1374,3.3513,2.4631,0.0000,12.4047,3.5608,12.9870,0.3581,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,34.0000,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
7,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.8370,0.0000,0.0000,4.6228,0.0000,30.4465,39.1614,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.4232,16.5805,15.6120,0.0000,0.0000,0.0000,1.3396,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.9787,0.0000,0.0000,0.0000,13.3198,8.1166,7.1374,3.3513,2.4631,0.0000,12.4047,3.5608,12.9870,0.3581,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,33.3300,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
8,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,81.8370,0.0000,0.0000,4.6228,0.0000,30.4465,39.1614,292.4271,71.6446,5.3396,10.7972,6.7792,11.6408,37.6682,0.0000,10.4232,16.5805,15.6120,0.0000,0.0000,0.0000,1.1868,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,1.9787,0.0000,0.0000,0.0000,13.3198,8.1166,7.1374,3.3513,2.4631,0.0000,12.4047,3.5608,12.9870,0.3581,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3300,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,33.3300,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
9,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1530,0.0000,0.0000,4.6228,0.0000,30.4465,39.1614,292.4271,71.6446,5.3396,10.7948,6.7792,11.6408,37.6682,0.0000,10.5574,16.5805,15.6120,0.0000,0.0000,0.0000,1.1082,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,2.2758,0.0000,0.0000,0.0000,13.3198,8.1166,6.7996,3.3513,2.4631,0.0000,12.4047,3.5608,12.9870,0.3581,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5000,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,33.3300,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
10,72EnBYPL2025/06/06,BYPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.3404,0.0000,17.7372,46.6030,0.0000,0.0000,0.0000,0.0000,22.9108,65.1395,16.8682,0.0000,54.0000,0.0000,0.0000,0.0000,104.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,164.1530,0.0000,0.0000,4.6228,0.0000,30.4465,39.1614,292.4271,71.6446,5.3396,10.7948,6.7792,11.6408,37.6682,0.0000,10.5574,16.5805,15.6120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1186,2.2758,0.0000,0.0000,0.0000,13.3198,8.1166,6.7818,3.3513,2.4631,0.0000,12.4047,3.5608,12.9870,0.3581,1.6561,0.0000,0.0000,0.0000,171.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1700,0.0000,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,33.3300,0.0000,0.0000,0.0000,0.0000,2.8463,0.0000,300.0000,0.0000,200.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,1.6988,0.0000,0.0000,4.3540,0.0000
