Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pride_Hotels_Limited,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,63.06,81.49,-1.50,9.41,-38.00,0.00,0.29,-75.00
00:15 - 00:30,85.37,87.31,-1.50,9.31,-39.00,0.00,0.29,-85.00
00:30 - 00:45,92.16,96.04,-1.50,9.12,-36.00,0.00,0.29,-30.00
00:45 - 01:00,96.04,97.99,-1.50,8.92,-37.00,0.00,0.29,-30.00
01:00 - 01:15,75.67,90.22,-1.50,8.73,-45.00,0.00,0.29,19.40
01:15 - 01:30,61.12,83.43,-1.50,8.54,-44.00,0.00,0.29,38.80
01:30 - 01:45,53.36,141.62,-1.50,8.54,-45.00,0.00,0.29,48.51
01:45 - 02:00,51.42,140.65,-1.50,8.25,-45.00,0.00,0.29,48.51
02:00 - 02:15,62.09,174.61,-1.50,8.05,-43.00,0.00,0.29,48.51
02:15 - 02:30,61.12,158.12,-1.50,8.05,-44.00,0.00,0.29,53.36
02:30 - 02:45,56.27,138.72,-1.50,7.95,-44.00,0.00,0.29,58.21
02:45 - 03:00,54.33,125.13,-1.50,7.86,-44.00,0.00,0.29,58.21
03:00 - 03:15,57.24,123.20,-1.50,7.76,-44.00,0.00,0.29,82.46
03:15 - 03:30,63.06,108.65,-1.50,7.66,-43.00,0.00,0.29,87.31
03:30 - 03:45,60.15,110.59,-1.50,7.66,-45.00,0.00,0.29,72.76
03:45 - 04:00,58.21,97.00,-1.50,7.57,-45.00,0.00,0.29,82.46
04:00 - 04:15,57.24,77.61,-1.50,7.57,-46.00,0.00,0.29,101.85
04:15 - 04:30,63.06,66.94,-1.50,7.57,-48.00,0.00,0.29,92.15
04:30 - 04:45,78.58,32.01,-1.50,7.57,-47.00,0.00,0.29,77.61
04:45 - 05:00,79.55,28.13,-1.50,7.76,-47.00,0.00,0.29,67.91
05:00 - 05:15,65.00,31.04,-1.50,8.92,-46.00,0.00,0.29,53.36
05:15 - 05:30,52.38,38.80,-1.50,9.22,-46.00,0.00,0.29,48.51
05:30 - 05:45,45.60,38.80,-1.50,10.19,-45.00,0.00,0.29,38.80
05:45 - 06:00,57.24,37.83,-1.50,11.64,-48.00,0.00,0.29,14.55
06:00 - 06:15,39.78,31.04,-1.50,11.64,-47.00,0.00,0.29,9.70
06:15 - 06:30,31.04,30.07,-1.50,12.61,-47.00,0.00,0.29,33.96
06:30 - 06:45,41.71,24.25,-1.50,12.61,-45.00,0.00,0.29,63.07
06:45 - 07:00,82.46,0.00,-1.50,12.61,-50.00,0.00,0.29,48.51
07:00 - 07:15,65.96,0.00,-1.50,12.61,-50.00,0.00,0.29,48.51
07:15 - 07:30,60.15,7.76,-1.50,11.64,-48.00,0.00,0.29,63.06
07:30 - 07:45,81.49,0.00,-1.50,11.64,-37.00,0.00,0.29,48.51
07:45 - 08:00,78.58,0.00,-1.50,11.64,-36.00,0.00,0.29,38.80
08:00 - 08:15,43.66,0.00,-1.50,11.64,-25.00,0.00,0.29,38.80
08:15 - 08:30,31.04,0.00,-1.50,11.64,-10.00,0.00,0.29,33.96
08:30 - 08:45,-14.00,0.00,-1.50,11.64,0.00,0.00,0.29,0.00
08:45 - 09:00,-9.00,0.00,-1.50,11.64,0.00,0.00,0.29,-10.00
09:00 - 09:15,0.00,0.00,-0.50,12.13,-24.00,0.00,0.29,29.10
09:15 - 09:30,0.00,0.00,-0.50,12.13,-15.00,0.00,0.29,87.31
09:30 - 09:45,0.00,-38.00,-0.50,12.13,0.00,0.00,0.29,111.56
09:45 - 10:00,0.00,-36.00,-0.50,12.13,0.00,0.00,0.29,111.56
10:00 - 10:15,8.73,0.00,-0.50,16.49,0.00,0.00,0.29,116.42
10:15 - 10:30,-26.00,0.00,-0.50,16.49,9.70,0.00,0.29,106.71
10:30 - 10:45,-47.00,0.00,-0.50,17.95,19.40,0.00,0.29,93.13
10:45 - 11:00,3.88,0.00,-0.50,16.49,19.40,0.00,0.29,99.93
11:00 - 11:15,-4.00,0.00,-0.50,14.07,19.40,0.00,0.29,103.80
11:15 - 11:30,-19.00,0.00,-0.50,15.52,19.40,0.00,0.29,104.78
11:30 - 11:45,-14.00,5.82,-0.50,11.64,19.40,0.00,0.29,41.72
11:45 - 12:00,-13.00,29.10,-0.50,11.64,19.40,0.00,0.29,33.96
12:00 - 12:15,-23.00,2.91,-0.50,5.63,19.40,0.00,0.29,33.95
12:15 - 12:30,-33.00,15.52,-0.50,6.60,19.40,0.00,0.29,41.72
12:30 - 12:45,-31.00,0.00,-0.50,10.87,19.40,0.00,0.29,0.00
12:45 - 13:00,-27.00,0.00,-0.50,11.93,19.41,0.00,0.29,0.00
13:00 - 13:15,-87.00,0.00,-0.50,9.70,19.40,0.00,0.29,-15.00
13:15 - 13:30,-83.00,0.00,-0.50,8.83,19.40,0.00,0.29,-16.00
13:30 - 13:45,-74.00,9.70,-0.50,12.03,19.40,0.00,0.29,-3.00
13:45 - 14:00,-85.00,24.26,-0.50,11.93,19.40,0.00,0.29,0.97
14:00 - 14:15,-132.00,36.87,-0.50,11.74,19.40,0.00,0.29,5.82
14:15 - 14:30,-60.00,56.27,-0.50,12.03,19.40,0.00,0.29,12.61
14:30 - 14:45,-134.00,68.88,-0.50,12.32,19.40,0.00,0.29,17.46
14:45 - 15:00,-131.00,86.34,-0.50,12.81,19.40,0.00,0.29,8.73
15:00 - 15:15,-134.00,100.89,-0.50,13.10,19.40,0.00,0.29,-82.00
15:15 - 15:30,-126.00,115.45,-0.50,12.61,19.40,0.00,0.29,29.10
15:30 - 15:45,-136.00,106.71,-0.50,13.39,19.40,0.00,0.29,86.34
15:45 - 16:00,-136.00,111.56,-0.50,12.61,19.40,0.00,0.07,75.67
16:00 - 16:15,-122.00,140.67,-0.50,13.00,19.40,0.00,0.29,87.31
16:15 - 16:30,-139.00,153.28,-0.50,13.58,19.40,0.00,0.29,77.61
16:30 - 16:45,-108.00,179.47,-0.50,13.58,19.40,0.00,0.29,111.56
16:45 - 17:00,-106.00,196.94,-0.50,13.58,19.40,0.00,0.29,111.56
17:00 - 17:15,-35.00,208.57,-0.50,14.55,29.10,0.00,0.00,48.51
17:15 - 17:30,-64.00,238.65,-0.50,14.55,24.25,0.00,0.00,43.65
17:30 - 17:45,5.82,177.53,-0.50,13.58,14.55,0.00,0.00,-50.00
17:45 - 18:00,-18.00,88.28,-0.50,12.61,0.00,0.00,0.00,-50.00
18:00 - 18:15,-43.00,92.16,-0.50,12.61,0.00,11.74,0.00,9.70
18:15 - 18:30,-111.00,104.77,-0.50,12.61,0.00,8.05,0.00,-110.00
18:30 - 18:45,-90.00,42.01,-0.50,4.42,0.00,3.20,0.00,-15.00
18:45 - 19:00,-83.00,35.49,-0.50,3.67,-10.00,2.20,0.00,0.00
19:00 - 19:15,-30.00,39.09,-0.50,1.39,-16.00,0.90,0.00,7.98
19:15 - 19:30,-35.00,35.39,-0.50,1.46,-21.00,1.14,0.00,8.97
19:30 - 19:45,-18.00,22.84,-0.50,1.17,-26.00,0.99,0.00,98.03
19:45 - 20:00,0.00,20.26,-0.50,1.05,-31.00,0.99,0.00,86.93
20:00 - 20:15,-57.00,38.29,-0.50,1.26,-37.00,1.45,0.00,17.25
20:15 - 20:30,-54.00,47.24,-0.50,1.42,-42.00,1.42,0.00,19.31
20:30 - 20:45,-53.00,126.41,-0.50,2.44,-35.00,3.03,0.00,33.38
20:45 - 21:00,-46.00,156.94,-0.50,3.04,-39.00,3.54,0.00,0.00
21:00 - 21:15,-44.00,188.54,-0.50,5.68,-38.00,4.60,0.00,0.00
21:15 - 21:30,-7.00,163.94,-0.50,5.01,-31.00,4.01,0.00,36.43
21:30 - 21:45,-9.00,124.80,-0.50,9.04,-33.00,8.87,0.00,34.82
21:45 - 22:00,-28.00,140.28,-0.50,9.60,-35.00,7.68,0.00,36.99
22:00 - 22:15,-68.00,81.49,-1.50,8.73,-37.00,5.82,0.00,0.00
22:15 - 22:30,-81.00,88.28,-1.50,8.73,-37.00,4.75,0.00,9.70
22:30 - 22:45,-81.00,107.68,-1.50,8.73,-38.00,6.31,0.00,77.61
22:45 - 23:00,-85.00,113.50,-1.50,8.73,-39.00,6.50,0.00,77.61
23:00 - 23:15,-86.00,123.20,-1.50,8.54,-41.00,6.69,0.00,201.78
23:15 - 23:30,-22.00,129.99,-1.50,8.34,-43.00,5.24,0.00,215.37
23:30 - 23:45,-22.00,87.31,-1.50,8.15,-45.00,3.78,0.00,181.41
23:45 - 24:00,0.00,77.61,-1.50,7.95,-48.00,1.84,0.00,157.16
