Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,39.28,-30.00,-1.00,19.54,0.00,-45.00
00:15 - 00:30,12.45,-25.00,-1.00,18.88,0.00,-46.00
00:30 - 00:45,23.95,0.00,-1.00,18.97,0.00,-26.00
00:45 - 01:00,28.74,0.00,-1.00,18.78,0.00,-12.00
01:00 - 01:15,12.45,34.49,-1.00,18.59,0.00,-15.00
01:15 - 01:30,17.24,32.58,-1.00,18.39,0.00,-18.00
01:30 - 01:45,8.62,40.24,-1.00,15.71,0.00,-12.00
01:45 - 02:00,-7.00,32.57,-1.00,15.62,0.00,-2.00
02:00 - 02:15,6.71,34.48,-1.00,15.62,0.00,-17.00
02:15 - 02:30,9.58,38.32,-1.00,15.62,0.00,-14.00
02:30 - 02:45,10.54,38.31,-1.00,15.62,0.00,-11.00
02:45 - 03:00,10.54,38.32,-1.00,15.71,0.00,-10.00
03:00 - 03:15,0.00,11.50,-1.00,15.90,0.00,-9.00
03:15 - 03:30,26.82,21.08,-1.00,16.00,0.00,-5.00
03:30 - 03:45,25.87,21.08,-1.00,16.09,0.00,-14.00
03:45 - 04:00,25.87,17.24,-1.00,16.29,0.00,-14.00
04:00 - 04:15,15.33,4.79,-1.00,16.28,0.00,-10.00
04:15 - 04:30,16.29,12.45,-1.00,16.96,0.00,-10.00
04:30 - 04:45,16.29,0.00,-1.00,17.62,0.00,-14.00
04:45 - 05:00,13.41,4.79,-1.00,18.97,0.00,-16.00
05:00 - 05:15,-64.00,0.00,-1.00,13.89,0.00,-10.00
05:15 - 05:30,-66.00,-6.00,-1.00,14.85,0.00,-14.00
05:30 - 05:45,-40.00,-4.00,-1.00,17.73,0.00,3.83
05:45 - 06:00,-24.00,-42.00,-1.00,21.08,0.00,-36.00
06:00 - 06:15,0.00,5.75,-1.00,23.56,0.00,9.58
06:15 - 06:30,0.00,8.62,-1.00,26.54,0.00,-69.00
06:30 - 06:45,-13.00,-15.00,-1.00,28.36,0.00,-4.00
06:45 - 07:00,-115.00,-27.00,-1.00,30.37,0.00,-32.00
07:00 - 07:15,40.24,-16.00,-1.00,31.90,0.00,83.34
07:15 - 07:30,14.27,8.92,-1.00,30.69,0.09,39.26
07:30 - 07:45,29.03,8.07,-1.00,19.79,0.33,0.00
07:45 - 08:00,38.37,11.03,-1.00,16.77,0.31,0.00
08:00 - 08:15,82.51,3.63,-1.00,11.63,0.15,12.09
08:15 - 08:30,96.01,13.17,-1.00,11.42,0.53,21.66
08:30 - 08:45,2.10,30.37,-1.00,9.21,0.21,14.71
08:45 - 09:00,-16.00,34.35,-1.00,9.74,0.00,17.42
09:00 - 09:15,-72.00,-38.00,-1.00,10.46,0.00,-11.00
09:15 - 09:30,-76.00,-24.00,-1.00,11.55,0.00,-35.00
09:30 - 09:45,-104.00,-25.00,-1.00,18.26,0.00,-277.00
09:45 - 10:00,-100.00,-15.00,-1.00,24.64,0.00,-307.00
10:00 - 10:15,-136.00,-71.00,0.00,34.87,0.00,87.18
10:15 - 10:30,-290.00,-117.00,0.00,34.87,0.00,82.39
10:30 - 10:45,11.50,-75.00,0.00,34.49,0.00,53.64
10:45 - 11:00,-125.00,-33.00,0.00,34.20,0.00,55.56
11:00 - 11:15,-105.00,-47.00,0.00,31.81,0.00,95.80
11:15 - 11:30,-113.00,-40.00,0.00,31.04,0.00,57.48
11:30 - 11:45,-165.00,-76.00,0.00,30.18,0.00,52.69
11:45 - 12:00,-143.00,-72.00,0.00,29.31,0.00,57.48
12:00 - 12:15,-51.00,-23.00,0.00,26.82,0.00,62.27
12:15 - 12:30,-9.00,-11.00,0.00,26.82,0.00,49.82
12:30 - 12:45,15.33,0.00,0.00,26.82,0.00,86.22
12:45 - 13:00,77.60,0.00,0.00,26.82,0.00,129.33
13:00 - 13:15,108.25,14.37,0.00,20.12,0.00,38.32
13:15 - 13:30,125.50,0.00,0.00,19.16,0.00,38.32
13:30 - 13:45,134.12,0.00,0.00,17.24,0.00,43.11
13:45 - 14:00,103.46,13.41,0.00,16.29,0.00,19.16
14:00 - 14:15,62.27,26.82,0.00,16.29,0.00,114.96
14:15 - 14:30,49.82,26.82,0.00,15.33,0.00,158.07
14:30 - 14:45,54.61,9.58,0.00,13.41,0.00,95.80
14:45 - 15:00,-42.00,0.00,0.00,12.93,0.00,81.43
15:00 - 15:15,-48.00,-10.00,0.00,12.45,0.00,78.56
15:15 - 15:30,-23.00,-9.00,0.00,12.45,0.00,91.01
15:30 - 15:45,-22.00,-12.00,0.00,12.45,0.00,106.34
15:45 - 16:00,0.00,-16.00,0.00,12.45,0.00,101.55
16:00 - 16:15,0.00,11.50,0.00,14.37,0.00,100.59
16:15 - 16:30,-89.00,11.50,0.00,14.37,0.00,38.32
16:30 - 16:45,-124.00,40.24,0.00,14.37,0.00,33.53
16:45 - 17:00,-26.00,-31.00,0.00,14.37,0.00,110.17
17:00 - 17:15,5.75,-16.00,0.00,17.24,0.00,123.58
17:15 - 17:30,10.54,-48.00,0.00,17.24,0.00,117.84
17:30 - 17:45,7.78,-40.00,0.00,15.55,0.00,80.09
17:45 - 18:00,8.72,-38.00,0.00,12.20,0.00,57.53
18:00 - 18:15,1.50,-10.00,0.00,6.91,1.11,-40.00
18:15 - 18:30,10.56,8.85,0.00,3.57,0.68,-5.00
18:30 - 18:45,31.16,9.41,0.00,2.83,0.41,30.58
18:45 - 19:00,22.71,10.13,0.00,3.47,0.40,47.74
19:00 - 19:15,22.81,-10.00,0.00,5.47,1.25,0.00
19:15 - 19:30,21.00,-30.00,0.00,6.91,1.24,-10.00
19:30 - 19:45,65.10,31.59,0.00,15.17,4.04,37.92
19:45 - 20:00,64.18,28.74,0.00,22.99,6.04,19.16
20:00 - 20:15,41.20,0.00,0.00,22.99,0.00,14.37
20:15 - 20:30,41.19,9.58,0.00,22.99,0.00,122.63
20:30 - 20:45,66.10,0.00,0.00,22.03,0.00,95.81
20:45 - 21:00,52.69,0.00,0.00,22.03,0.00,58.44
21:00 - 21:15,-84.00,-25.00,0.00,20.12,0.00,19.16
21:15 - 21:30,-10.00,0.00,0.00,19.16,0.00,43.11
21:30 - 21:45,22.99,-10.00,0.00,18.20,0.00,114.96
21:45 - 22:00,37.36,-16.00,0.00,16.29,0.00,106.34
22:00 - 22:15,-23.00,-10.00,-0.50,15.14,0.00,68.97
22:15 - 22:30,-39.00,-10.00,-0.50,13.41,0.00,54.61
22:30 - 22:45,-48.00,0.00,-0.50,11.98,0.00,27.78
22:45 - 23:00,-58.00,0.00,-0.50,11.78,0.00,-11.00
23:00 - 23:15,0.00,0.00,-0.50,10.54,0.00,24.91
23:15 - 23:30,-11.00,0.00,-0.50,8.43,0.00,29.70
23:30 - 23:45,-17.00,0.00,-0.50,7.47,0.00,17.25
23:45 - 24:00,-27.00,-7.00,-0.50,6.23,0.00,-21.00
