Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),Caddie_Hotels_Private_Limited,GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited,Vodafone_Idea_limited_Okhla
00:00 - 00:15,25.97,-49.00,0.00,7.12,0.00,-15.00,0.00
00:15 - 00:30,0.00,-40.00,0.00,6.73,0.00,-42.00,0.00
00:30 - 00:45,0.00,-5.00,0.00,6.25,0.00,-55.00,0.00
00:45 - 01:00,16.35,-5.00,0.00,6.06,0.00,-55.00,0.00
01:00 - 01:15,25.01,-18.00,0.00,5.87,0.00,-55.00,0.00
01:15 - 01:30,0.00,-16.00,0.00,5.48,0.00,-60.00,0.00
01:30 - 01:45,-16.00,-40.00,0.00,5.29,0.00,-70.00,0.00
01:45 - 02:00,-24.00,-45.00,0.00,5.19,0.00,-72.00,0.00
02:00 - 02:15,-39.00,-43.00,0.00,5.10,0.00,-70.00,0.00
02:15 - 02:30,-49.00,-39.00,0.00,5.00,0.00,-52.00,0.00
02:30 - 02:45,-54.00,-11.00,0.00,4.91,0.00,-42.00,0.00
02:45 - 03:00,-56.00,-10.00,0.00,4.81,0.00,-44.00,0.00
03:00 - 03:15,-48.00,-7.00,0.00,4.62,0.00,-54.00,0.00
03:15 - 03:30,-46.00,-6.00,0.00,4.43,0.00,-61.00,0.00
03:30 - 03:45,-39.00,-27.00,0.00,4.23,0.00,-69.00,0.00
03:45 - 04:00,-32.00,-27.00,0.00,4.81,0.00,-66.00,0.00
04:00 - 04:15,-18.00,-22.00,0.00,5.58,0.00,-64.00,0.00
04:15 - 04:30,0.00,-21.00,0.00,6.35,0.00,-62.00,0.00
04:30 - 04:45,0.00,-67.00,0.00,6.83,0.00,-50.00,0.00
04:45 - 05:00,-24.00,-82.00,0.00,8.18,0.00,-55.00,0.00
05:00 - 05:15,40.40,-23.00,0.00,6.45,0.00,-55.00,0.00
05:15 - 05:30,50.99,-11.00,0.00,7.60,0.00,-44.00,0.00
05:30 - 05:45,46.18,-25.00,0.00,0.00,0.00,-5.00,0.00
05:45 - 06:00,124.10,-25.00,0.00,2.79,0.00,-22.00,0.00
06:00 - 06:15,-92.00,-50.00,0.00,4.81,0.00,21.16,0.00
06:15 - 06:30,-39.00,-80.00,0.00,6.83,0.00,4.81,0.00
