Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,15.42,0.00,-1.30,6.75,-17.00
00:15 - 00:30,36.63,0.00,-1.30,6.75,-9.00
00:30 - 00:45,50.13,0.00,-1.30,6.56,-1.00
00:45 - 01:00,42.42,0.00,-1.30,6.46,-5.00
01:00 - 01:15,-18.00,0.00,-1.30,6.36,-15.00
01:15 - 01:30,-8.00,0.00,-1.30,6.36,-25.00
01:30 - 01:45,32.78,0.00,-1.30,6.36,-59.00
01:45 - 02:00,13.50,0.00,-1.30,6.36,-39.00
02:00 - 02:15,33.75,0.00,-1.30,6.36,-47.00
02:15 - 02:30,23.14,0.00,-1.30,6.36,-46.00
02:30 - 02:45,-6.00,0.00,-1.30,6.27,-47.00
02:45 - 03:00,27.96,0.00,-1.30,6.27,-52.00
03:00 - 03:15,37.60,0.00,-1.30,6.27,-51.00
03:15 - 03:30,39.52,0.00,-1.30,6.27,-48.00
03:30 - 03:45,27.96,0.00,-1.30,6.36,-44.00
03:45 - 04:00,33.74,0.00,-1.30,6.75,-44.00
04:00 - 04:15,19.29,0.00,-1.30,7.13,-33.00
04:15 - 04:30,31.82,0.00,-1.30,7.71,-39.00
04:30 - 04:45,53.03,0.00,-1.30,8.19,-43.00
04:45 - 05:00,60.74,0.00,-1.30,8.68,-45.00
05:00 - 05:15,24.10,0.00,-1.30,9.64,-55.00
05:15 - 05:30,29.89,-14.00,-1.30,10.12,-54.00
05:30 - 05:45,50.13,-27.00,-1.30,10.32,-81.00
05:45 - 06:00,72.31,-25.00,-1.30,10.89,-83.00
06:00 - 06:15,-82.00,-43.00,-1.30,11.28,-92.00
06:15 - 06:30,-48.00,-51.00,-1.30,11.38,-99.00
06:30 - 06:45,-34.00,-58.00,-1.30,11.76,-107.00
06:45 - 07:00,-11.00,-58.00,-1.30,11.67,-106.00
07:00 - 07:15,-7.00,-33.00,-1.30,11.76,-115.00
07:15 - 07:30,30.85,-11.00,-1.30,11.86,-112.00
07:30 - 07:45,9.64,-7.00,-1.30,12.15,-44.00
07:45 - 08:00,38.56,-5.00,-1.30,12.34,-61.00
08:00 - 08:15,38.56,8.68,-1.30,12.53,-8.00
08:15 - 08:30,38.57,14.46,-1.30,12.53,17.35
08:30 - 08:45,103.16,34.71,-1.30,12.73,43.38
08:45 - 09:00,94.49,19.28,-1.30,12.92,38.56
09:00 - 09:15,107.98,28.92,-0.30,9.64,4.82
09:15 - 09:30,118.58,20.25,-0.30,9.64,16.39
09:30 - 09:45,134.97,48.21,-0.30,9.64,11.57
09:45 - 10:00,139.79,48.21,-0.30,9.64,16.39
10:00 - 10:15,161.00,48.21,-0.30,8.58,-28.00
10:15 - 10:30,130.16,45.31,-0.30,8.29,-9.00
10:30 - 10:45,120.51,51.10,-0.30,8.10,0.00
10:45 - 11:00,107.98,40.49,-0.30,7.62,0.00
11:00 - 11:15,80.98,23.14,-0.30,5.50,19.28
11:15 - 11:30,62.66,18.32,-0.30,5.50,28.92
11:30 - 11:45,52.06,14.46,0.00,5.50,14.46
11:45 - 12:00,60.74,4.82,0.00,5.50,14.46
12:00 - 12:15,51.09,0.00,-0.30,5.50,14.46
12:15 - 12:30,39.52,0.00,-0.30,5.50,14.46
12:30 - 12:45,17.35,0.00,-0.30,5.50,19.28
12:45 - 13:00,0.00,0.00,-0.30,5.50,19.28
13:00 - 13:15,-28.00,0.00,-0.30,-2.00,19.28
13:15 - 13:30,-44.00,0.00,-0.30,-2.00,14.46
13:30 - 13:45,-52.00,-5.00,-0.30,-2.00,28.92
13:45 - 14:00,-48.00,0.00,-0.30,-2.00,28.92
14:00 - 14:15,-41.00,-17.00,-0.30,-2.00,33.74
14:15 - 14:30,-21.00,-13.00,-0.30,0.96,33.75
14:30 - 14:45,15.43,0.00,-0.30,2.41,38.56
14:45 - 15:00,37.60,0.00,-0.30,2.60,19.28
15:00 - 15:15,29.89,0.00,-0.30,2.41,-20.00
15:15 - 15:30,56.88,0.00,-0.30,2.12,-15.00
15:30 - 15:45,55.92,-6.00,-0.30,2.89,-35.00
15:45 - 16:00,0.00,-6.00,-0.30,3.37,-25.00
16:00 - 16:15,15.43,-30.00,-0.30,4.82,-45.00
16:15 - 16:30,66.52,-37.00,-0.30,5.11,-45.00
16:30 - 16:45,54.96,-47.00,-0.30,6.07,-40.00
16:45 - 17:00,70.38,-46.00,-0.30,6.75,-40.00
17:00 - 17:15,72.31,-50.00,-0.30,9.54,21.21
17:15 - 17:30,53.03,-7.00,-0.30,10.12,-56.00
17:30 - 17:45,-41.00,18.31,-0.30,10.61,-79.00
17:45 - 18:00,-59.00,8.68,-0.30,11.08,-94.00
18:00 - 18:15,-33.00,14.46,-0.30,12.05,-88.00
18:15 - 18:30,-22.00,-15.00,-0.30,12.53,-79.00
18:30 - 18:45,12.53,0.00,-0.30,12.54,-72.00
18:45 - 19:00,12.53,0.00,-0.30,13.50,-80.00
19:00 - 19:15,14.47,-25.00,-0.30,12.53,12.53
19:15 - 19:30,16.39,-10.00,-0.30,11.57,-64.00
19:30 - 19:45,-7.00,0.00,-0.30,10.61,-7.00
19:45 - 20:00,-14.00,0.00,-0.30,10.61,0.00
20:00 - 20:15,-25.00,0.00,-0.30,10.61,-10.00
20:15 - 20:30,-24.00,0.00,-0.30,10.61,-15.00
20:30 - 20:45,-28.00,0.00,-0.30,10.61,-20.00
20:45 - 21:00,-27.00,0.00,-0.30,10.61,-30.00
21:00 - 21:15,37.60,0.00,-0.30,9.64,-76.00
21:15 - 21:30,37.60,0.00,-0.30,9.64,-76.00
21:30 - 21:45,46.27,0.00,-0.30,8.68,-35.00
21:45 - 22:00,46.28,0.00,-0.30,8.68,14.46
22:00 - 22:15,65.55,24.10,-1.30,8.68,8.68
22:15 - 22:30,66.52,13.50,-1.30,8.68,11.57
22:30 - 22:45,57.85,0.00,-1.30,7.71,-1.00
22:45 - 23:00,57.85,0.00,-1.30,7.71,-2.00
23:00 - 23:15,53.99,-25.00,-1.30,7.71,-1.00
23:15 - 23:30,53.02,-25.00,-1.30,6.75,-2.00
23:30 - 23:45,49.17,0.00,-1.30,6.75,-12.00
23:45 - 24:00,49.17,0.00,-1.30,6.75,-13.00
