NOAR ID,Time Block,Time Desc,GNA Approved,GNA Schedule,GNA-RE Approved,GNA-RE Schedule,T-GNA Approved,T-GNA Schedule,T-GNA-RE Approved,T-GNA-RE Schedule
N0RDD100283,82,20:15-20:30,2015,1327.56,0,0,0,0,0,0
N0RDD100283,83,20:30-20:45,2015,1323.19,0,0,0,0,0,0
N0RDD100283,84,20:45-21:00,2015,1207.19,0,0,0,0,0,0
N0RDD100283,85,21:00-21:15,2015,1300.41,0,0,0,0,0,0
N0RDD100283,86,21:15-21:30,2015,1300.38,0,0,0,0,0,0
N0RDD100283,87,21:30-21:45,2015,1218.05,0,0,0,0,0,0
N0RDD100283,88,21:45-22:00,2015,1147.84,0,0,0,0,0,0
N0RDD100283,89,22:00-22:15,2015,1103.06,0,0,0,0,0,0
N0RDD100283,90,22:15-22:30,2015,1074.42,0,0,0,0,0,0
N0RDD100283,91,22:30-22:45,2015,1066.84,0,0,0,0,0,0
N0RDD100283,92,22:45-23:00,2015,1063.44,0,0,0,0,0,0
N0RDD100283,93,23:00-23:15,2015,1122.39,0,0,0,0,0,0
N0RDD100283,94,23:15-23:30,2015,1118.15,0,0,0,0,0,0
N0RDD100283,95,23:30-23:45,2015,1122.18,0,0,0,0,0,0
N0RDD100283,96,23:45-24:00,2015,1120.98,0,0,0,0,0,0
N0RDD200327,1,00:00-00:15,1081,706.86,0,0,0,0,0,0
N0RDD200327,2,00:15-00:30,1081,697.75,0,0,0,0,0,0
N0RDD200327,3,00:30-00:45,1081,697.24,0,0,0,0,0,0
N0RDD200327,4,00:45-01:00,1081,696.74,0,0,0,0,0,0
N0RDD200327,5,01:00-01:15,1081,696.4,0,0,0,0,0,0
N0RDD200327,6,01:15-01:30,1081,696.07,0,0,0,0,0,0
N0RDD200327,7,01:30-01:45,1081,703.9,0,0,0,0,0,0
N0RDD200327,8,01:45-02:00,1081,703.41,0,0,0,0,0,0
N0RDD200327,9,02:00-02:15,1081,681.24,0,0,0,0,0,0
N0RDD200327,10,02:15-02:30,1081,681.91,0,0,0,0,0,0
N0RDD200327,11,02:30-02:45,1081,683.93,0,0,0,0,0,0
N0RDD200327,12,02:45-03:00,1081,683.26,0,0,0,0,0,0
N0RDD200327,13,03:00-03:15,1081,694.26,0,0,0,0,0,0
N0RDD200327,14,03:15-03:30,1081,693.43,0,0,0,0,0,0
N0RDD200327,15,03:30-03:45,1081,683.18,0,0,0,0,0,0
N0RDD200327,16,03:45-04:00,1081,689.22,0,0,0,0,0,0
N0RDD200327,17,04:00-04:15,1081,676.89,0,0,0,0,0,0
N0RDD200327,18,04:15-04:30,1081,676.22,0,0,0,0,0,0
N0RDD200327,19,04:30-04:45,1081,668.55,0,0,0,0,0,0
N0RDD200327,20,04:45-05:00,1081,673.69,0,0,0,0,0,0
N0RDD200327,21,05:00-05:15,1081,678.99,0,0,0,0,0,0
N0RDD200327,22,05:15-05:30,1081,672.13,0,0,0,0,0,0
N0RDD200327,23,05:30-05:45,1081,670.4,0,0,0,0,0,0
N0RDD200327,24,05:45-06:00,1081,670.03,0,0,0,0,0,0
N0RDD200327,25,06:00-06:15,1081,760.68,0,0,0,0,0,0
