Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,45.20,0.00,-1.00,2.50,-15.00,0.00,-95.00
00:15 - 00:30,36.54,0.00,-1.00,2.50,-15.00,0.00,-60.00
00:30 - 00:45,59.62,0.00,-1.00,2.21,-15.00,0.00,-5.00
00:45 - 01:00,55.77,0.00,-1.00,2.12,-15.00,0.00,-5.00
01:00 - 01:15,25.00,9.62,-1.00,1.92,-15.00,0.00,4.81
01:15 - 01:30,19.23,9.62,-1.00,1.92,-15.00,0.00,4.81
01:30 - 01:45,0.00,-7.00,-1.00,1.92,-15.00,0.00,4.81
01:45 - 02:00,-16.00,-11.00,-1.00,1.73,-15.00,0.00,4.81
02:00 - 02:15,-39.00,-18.00,-1.00,1.73,-15.00,0.00,-55.00
02:15 - 02:30,-44.00,-19.00,-1.00,1.54,-15.00,0.00,-56.00
02:30 - 02:45,-41.00,-39.00,-1.00,1.54,-15.00,0.00,-65.00
02:45 - 03:00,-45.00,-36.00,-1.00,1.54,-15.00,0.00,-65.00
03:00 - 03:15,-20.00,0.00,-1.00,1.54,-15.00,0.00,-53.00
03:15 - 03:30,-24.00,0.00,-1.00,1.54,-15.00,0.00,-53.00
03:30 - 03:45,-30.00,0.00,-1.00,1.54,-15.00,0.00,-55.00
03:45 - 04:00,-29.00,0.00,-1.00,1.92,-15.00,0.00,-56.00
04:00 - 04:15,-84.00,-8.00,-1.00,1.92,-15.00,0.00,-60.00
04:15 - 04:30,-88.00,-12.00,-1.00,2.88,-15.00,0.00,-60.00
04:30 - 04:45,-108.00,-25.00,-1.00,3.85,-15.00,0.00,-61.00
04:45 - 05:00,-113.00,-27.00,-1.00,5.58,-15.00,0.00,-17.00
05:00 - 05:15,-118.00,-42.00,-1.00,0.96,-15.00,0.00,-40.00
05:15 - 05:30,-112.00,-50.00,-1.00,3.85,-15.00,0.00,-35.00
05:30 - 05:45,-77.00,-33.00,-1.00,7.21,-15.00,0.00,-70.00
05:45 - 06:00,-80.00,-68.00,-1.00,10.58,-15.00,0.00,-150.00
06:00 - 06:15,-20.00,16.35,-1.00,13.46,-15.00,0.00,-20.00
06:15 - 06:30,9.62,45.20,-1.00,14.42,-15.00,0.00,0.00
06:30 - 06:45,0.00,17.10,-1.00,8.31,-15.00,2.49,-60.00
06:45 - 07:00,0.00,29.70,-1.00,7.64,-15.00,1.48,-65.00
07:00 - 07:15,-71.00,6.89,-1.00,1.77,0.00,0.41,-100.00
07:15 - 07:30,-66.00,14.19,-1.00,1.42,0.00,0.29,-98.00
07:30 - 07:45,-52.00,27.35,-1.00,0.89,0.00,0.21,-120.00
07:45 - 08:00,-61.00,20.51,-1.00,0.88,0.00,0.21,-130.00
08:00 - 08:15,-45.00,-6.00,-1.00,0.97,0.00,0.22,-120.00
08:15 - 08:30,-10.00,1.89,-1.00,0.85,0.00,0.12,-110.00
08:30 - 08:45,2.47,2.07,-1.00,1.20,0.00,0.22,-75.00
08:45 - 09:00,6.65,2.46,-1.00,1.19,0.00,0.08,-40.00
09:00 - 09:15,57.52,5.33,-1.00,3.19,0.00,0.00,-20.00
09:15 - 09:30,104.96,22.25,-1.00,4.45,0.00,0.00,-30.00
09:30 - 09:45,126.93,29.81,-1.00,10.39,0.00,0.00,-18.00
09:45 - 10:00,87.51,18.27,-1.00,10.39,0.00,0.00,8.65
10:00 - 10:15,148.09,42.31,-0.50,8.65,0.00,0.00,-20.00
10:15 - 10:30,144.24,63.47,-0.50,8.46,0.00,0.00,-20.00
10:30 - 10:45,45.20,57.69,-0.50,7.69,0.00,0.00,4.81
10:45 - 11:00,50.01,43.27,-0.50,6.73,0.00,0.00,-8.00
11:00 - 11:15,91.35,40.39,-0.50,4.42,-15.00,0.00,9.62
11:15 - 11:30,88.47,12.50,-0.50,3.65,-15.00,0.00,9.62
11:30 - 11:45,55.78,-19.00,-0.50,2.69,-15.00,0.00,0.00
11:45 - 12:00,59.62,-43.00,-0.50,2.69,-15.00,0.00,0.00
12:00 - 12:15,85.58,-21.00,-0.50,0.96,-15.00,0.10,4.81
12:15 - 12:30,52.89,-26.00,-0.50,0.00,-15.00,0.00,0.00
12:30 - 12:45,54.81,-9.00,-0.50,-3.50,-15.00,0.00,-19.00
12:45 - 13:00,46.16,-6.00,-0.50,-5.00,-15.00,0.00,-15.00
13:00 - 13:15,30.77,-50.00,-0.50,-4.00,-25.00,0.00,-10.00
13:15 - 13:30,-10.00,-50.00,-0.50,-4.00,-25.00,0.00,-10.00
13:30 - 13:45,-29.00,-38.00,-0.50,-5.00,-25.00,0.00,41.35
13:45 - 14:00,-33.00,-42.00,-0.50,-5.00,-25.00,0.00,48.08
14:00 - 14:15,-33.00,-48.00,-0.50,-5.00,-25.00,0.00,10.58
14:15 - 14:30,-38.00,-33.00,-0.50,-6.00,-25.00,0.00,6.73
14:30 - 14:45,-41.00,-56.00,-0.50,-6.00,-25.00,0.00,-23.00
14:45 - 15:00,-45.00,-55.00,-0.50,-6.00,-25.00,0.00,-19.00
15:00 - 15:15,-54.00,-38.00,-0.50,-5.00,-25.00,0.00,-25.00
15:15 - 15:30,-55.00,-42.00,-0.50,-5.00,-25.00,0.00,-15.00
15:30 - 15:45,-58.00,-29.00,-0.50,-5.00,-25.00,0.00,-35.00
15:45 - 16:00,-52.00,-26.00,-0.50,-5.00,-25.00,0.00,-25.00
16:00 - 16:15,-47.00,-29.00,-0.50,-3.00,-25.00,0.00,-40.00
16:15 - 16:30,-38.00,-31.00,-0.50,-2.50,-25.00,0.00,-112.00
16:30 - 16:45,26.92,-64.00,-0.50,-2.50,-15.00,0.00,-158.00
16:45 - 17:00,-51.00,-128.00,-0.50,-2.50,-15.00,0.00,18.27
17:00 - 17:15,0.00,-87.00,-0.50,-0.50,-15.00,0.00,-10.00
17:15 - 17:30,0.00,-154.00,-0.50,0.48,-15.00,0.00,-20.00
17:30 - 17:45,0.00,-150.00,-0.50,2.40,-15.00,0.00,-30.00
17:45 - 18:00,50.77,-60.00,-0.50,2.31,-15.00,0.00,-60.00
18:00 - 18:15,-133.00,29.02,-0.50,3.56,-15.00,0.00,-40.00
18:15 - 18:30,-84.00,24.29,-0.50,1.75,-15.00,0.38,-40.00
18:30 - 18:45,-61.00,12.46,-0.50,0.71,-15.00,0.18,-40.00
18:45 - 19:00,-8.00,-8.00,-0.50,0.70,-15.00,0.09,-30.00
19:00 - 19:15,-48.00,-43.00,-0.50,1.16,-15.00,0.29,-40.00
19:15 - 19:30,-56.00,-32.00,-0.50,1.52,-15.00,1.07,-35.00
19:30 - 19:45,-60.00,-38.00,-0.50,6.06,-15.00,4.45,-50.00
19:45 - 20:00,-99.00,-45.00,-0.50,7.88,-15.00,7.12,-45.00
20:00 - 20:15,-64.00,-49.00,-0.50,7.60,-15.00,6.54,-60.00
20:15 - 20:30,-109.00,-52.00,-0.50,7.31,-15.00,0.00,-60.00
20:30 - 20:45,-108.00,0.00,-0.50,7.21,-15.00,0.00,-60.00
20:45 - 21:00,-2.00,0.00,-0.50,6.83,-15.00,0.00,-70.00
21:00 - 21:15,-18.00,0.00,-0.50,6.44,-15.00,0.00,-97.00
21:15 - 21:30,-14.00,0.00,-0.50,5.38,-15.00,0.00,-47.00
21:30 - 21:45,-22.00,0.00,-0.50,4.33,-15.00,0.00,-30.00
21:45 - 22:00,-2.00,0.00,-0.50,3.85,-15.00,0.00,-26.00
22:00 - 22:15,39.42,0.00,-0.50,1.54,-15.00,0.00,-26.00
22:15 - 22:30,50.96,0.00,-0.50,0.00,-15.00,0.00,-30.00
22:30 - 22:45,43.27,0.00,-0.50,-1.00,-15.00,0.00,-26.00
22:45 - 23:00,0.00,0.00,-0.50,-2.50,-15.00,0.00,-33.00
23:00 - 23:15,-17.00,0.00,-0.50,-3.20,-15.00,0.00,-41.00
23:15 - 23:30,-66.00,0.00,-0.50,-4.20,-15.00,0.00,-30.00
23:30 - 23:45,-49.00,0.00,-0.50,-5.10,-15.00,0.00,-31.00
23:45 - 24:00,-81.00,0.00,-0.50,-5.30,-15.00,0.00,-32.00
