Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-344.00,52.93,-1.10,15.40,-26.00,-215.00
00:15 - 00:30,-192.00,52.94,-1.10,15.40,-25.00,-165.00
00:30 - 00:45,-69.00,37.54,-1.10,15.40,-15.00,-25.00
00:45 - 01:00,-64.00,20.21,-1.10,14.44,-22.00,-15.00
01:00 - 01:15,-86.00,-5.00,-1.10,14.44,-21.00,38.50
01:15 - 01:30,-67.00,-25.00,-1.10,14.44,-23.00,48.12
01:30 - 01:45,27.91,-72.00,-1.10,14.44,-23.00,48.13
01:45 - 02:00,43.31,-69.00,-1.10,14.44,-17.00,67.38
02:00 - 02:15,0.00,-16.00,-1.40,14.44,-23.00,86.62
02:15 - 02:30,29.84,-23.00,-1.40,13.48,-22.00,62.55
02:30 - 02:45,0.00,-30.00,-1.40,13.48,-22.00,24.06
02:45 - 03:00,-48.00,-33.00,-1.40,13.48,-23.00,0.00
03:00 - 03:15,-168.00,-92.00,-1.40,13.48,-42.00,-40.00
03:15 - 03:30,-151.00,-96.00,-1.40,13.48,-42.00,-60.00
03:30 - 03:45,-159.00,-82.00,-1.40,13.48,-46.00,-85.00
03:45 - 04:00,-147.00,-84.00,-1.40,13.48,-46.00,-110.00
04:00 - 04:15,-118.00,-71.00,-1.40,13.48,-44.00,-135.00
04:15 - 04:30,-110.00,-46.00,-1.40,13.48,-43.00,-150.00
04:30 - 04:45,-30.00,8.66,-1.40,13.48,-43.00,-130.00
04:45 - 05:00,-23.00,13.48,-1.40,13.47,-42.00,-125.00
05:00 - 05:15,-126.00,-95.00,-1.40,14.15,-43.00,-165.00
05:15 - 05:30,0.00,-28.00,-1.40,15.21,-43.00,-155.00
05:30 - 05:45,34.65,-15.00,-1.40,16.36,-29.00,-160.00
05:45 - 06:00,66.42,-18.00,-1.40,16.36,-26.00,-160.00
06:00 - 06:15,113.57,17.33,-1.40,16.36,-25.00,-145.00
06:15 - 06:30,157.84,32.73,-1.40,17.33,-24.00,-140.00
06:30 - 06:45,93.36,9.63,-1.40,18.29,-24.00,-140.00
06:45 - 07:00,95.29,0.00,-1.40,18.29,-25.00,-150.00
07:00 - 07:15,-138.00,-32.00,-1.40,18.29,-27.00,-200.00
07:15 - 07:30,-114.00,-34.00,-1.40,18.29,-25.00,0.00
07:30 - 07:45,-135.00,-13.00,-1.40,18.29,-40.00,-120.00
07:45 - 08:00,-103.00,9.63,-1.40,19.25,-37.00,-90.00
08:00 - 08:15,-71.00,-60.00,-1.40,16.36,-45.00,-80.00
08:15 - 08:30,-106.00,-65.00,-1.40,16.36,-44.00,-70.00
08:30 - 08:45,-90.00,-66.00,-1.40,17.33,-34.00,-40.00
08:45 - 09:00,-134.00,-128.00,-1.40,17.33,-28.00,-30.00
09:00 - 09:15,-96.00,-117.00,-0.40,14.44,-46.00,0.00
09:15 - 09:30,-119.00,-110.00,-0.40,14.44,-39.00,0.00
09:30 - 09:45,-118.00,-140.00,-0.40,15.40,-30.00,0.00
09:45 - 10:00,-137.00,-135.00,-0.40,15.40,-23.00,-15.00
10:00 - 10:15,-127.00,-129.00,0.00,13.48,0.00,-40.00
