Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-116.00,17.71,8.85,-70.00,0.09,108.90
00:15 - 00:30,-44.00,9.59,9.40,-70.00,0.00,101.74
00:30 - 00:45,-31.00,4.82,9.25,-66.00,0.00,81.87
00:45 - 01:00,-46.00,-11.00,9.06,-68.00,0.00,52.98
01:00 - 01:15,-74.00,-30.00,8.86,-67.00,0.00,28.90
01:15 - 01:30,-54.00,9.64,8.67,-65.00,0.00,9.63
01:30 - 01:45,-39.00,-5.00,10.02,-65.00,0.00,55.87
01:45 - 02:00,-47.00,-5.00,9.83,-64.00,0.00,53.94
02:00 - 02:15,-49.00,0.00,8.86,-66.00,0.00,49.13
02:15 - 02:30,-85.00,0.00,8.48,-67.00,0.00,50.09
02:30 - 02:45,-131.00,-5.00,12.91,-67.00,0.00,49.13
02:45 - 03:00,-162.00,-5.00,12.72,-67.00,0.00,52.98
03:00 - 03:15,-144.00,-10.00,12.52,-64.00,0.00,57.80
03:15 - 03:30,-97.00,-10.00,12.33,-62.00,0.00,69.36
03:30 - 03:45,-71.00,-31.00,12.14,-65.00,0.00,67.43
03:45 - 04:00,-43.00,-43.00,11.94,-63.00,0.00,66.47
04:00 - 04:15,-16.00,-128.00,11.75,-62.00,0.00,62.62
04:15 - 04:30,-29.00,-123.00,11.56,-62.00,0.00,62.61
04:30 - 04:45,-76.00,-43.00,11.56,-61.00,0.00,62.61
04:45 - 05:00,-60.00,-38.00,11.56,-61.00,0.00,57.80
05:00 - 05:15,-66.00,-30.00,6.55,-71.00,0.00,57.80
05:15 - 05:30,-77.00,-23.00,7.03,-68.00,0.00,62.62
05:30 - 05:45,-55.00,-19.00,7.51,-69.00,0.00,57.80
05:45 - 06:00,-82.00,-15.00,8.00,-69.00,0.00,52.98
06:00 - 06:15,-91.00,-10.00,8.48,-69.00,0.00,48.16
06:15 - 06:30,-95.00,-15.00,8.96,-69.00,0.00,38.53
06:30 - 06:45,-123.00,-8.00,9.44,-69.00,0.00,38.53
06:45 - 07:00,-175.00,-15.00,9.92,-69.00,0.00,33.72
07:00 - 07:15,-142.00,-40.00,10.40,-75.00,0.00,-105.00
07:15 - 07:30,-187.00,-110.00,10.89,-70.00,0.00,52.98
07:30 - 07:45,-200.00,-81.00,11.37,-95.00,0.00,-55.00
07:45 - 08:00,-189.00,-77.00,11.85,-85.00,0.00,-5.00
08:00 - 08:15,-168.00,-65.00,14.45,-83.00,0.00,20.23
08:15 - 08:30,-143.00,-65.00,14.93,-105.00,0.00,15.41
08:30 - 08:45,-145.00,-60.00,15.41,-91.00,0.00,24.09
08:45 - 09:00,-135.00,-130.00,15.89,-75.00,0.00,26.01
09:00 - 09:15,-140.00,-129.00,13.68,-60.00,0.00,14.45
09:15 - 09:30,-126.00,-67.00,14.16,-46.00,0.00,28.90
09:30 - 09:45,-93.00,-63.00,15.22,-33.00,0.00,4.82
09:45 - 10:00,-93.00,-65.00,16.18,-24.00,0.00,43.35
10:00 - 10:15,-72.00,-103.00,15.22,-10.00,0.00,38.53
10:15 - 10:30,-91.00,-115.00,16.18,-14.00,0.00,19.27
10:30 - 10:45,-122.00,-137.00,17.15,0.00,0.00,29.86
10:45 - 11:00,-121.00,-135.00,18.11,0.00,0.00,26.01
11:00 - 11:15,-138.00,-147.00,18.50,0.00,0.00,0.00
11:15 - 11:30,-126.00,-144.00,18.50,0.00,0.00,0.00
11:30 - 11:45,-136.00,-137.00,17.34,0.00,0.00,26.97
11:45 - 12:00,-139.00,-131.00,17.34,0.00,0.00,51.05
12:00 - 12:15,-120.00,-100.00,15.41,0.00,0.00,41.42
12:15 - 12:30,-122.00,-79.00,15.41,0.00,0.00,55.87
12:30 - 12:45,-106.00,-64.00,14.45,0.00,0.00,76.10
12:45 - 13:00,-94.00,-64.00,14.45,0.00,0.00,59.72
13:00 - 13:15,-116.00,-71.00,14.45,0.00,0.00,-20.00
13:15 - 13:30,-104.00,-66.00,14.45,0.00,0.00,-34.00
13:30 - 13:45,-89.00,-61.00,14.45,0.00,0.00,11.56
13:45 - 14:00,-101.00,-58.00,14.45,0.00,0.00,73.21
14:00 - 14:15,-69.00,-17.00,17.34,0.00,0.00,91.51
14:15 - 14:30,-2.00,0.00,17.34,0.00,0.00,101.15
14:30 - 14:45,-48.00,0.00,17.34,0.00,0.00,59.72
14:45 - 15:00,-20.00,0.00,17.34,0.00,0.00,77.06
15:00 - 15:15,11.56,-15.00,18.30,0.00,0.00,82.85
15:15 - 15:30,0.00,0.00,18.30,0.00,0.00,93.44
15:30 - 15:45,0.00,0.00,18.30,0.00,0.00,77.07
15:45 - 16:00,15.41,0.00,18.30,0.00,0.00,93.45
16:00 - 16:15,-87.00,-39.00,20.23,0.00,0.00,96.33
16:15 - 16:30,-72.00,-29.00,19.27,0.00,0.00,105.96
16:30 - 16:45,-105.00,-29.00,18.30,0.00,0.00,105.97
16:45 - 17:00,-117.00,-23.00,17.34,-14.00,0.00,86.70
17:00 - 17:15,-81.00,-43.00,19.27,-25.00,0.00,106.92
17:15 - 17:30,-64.00,-26.00,17.34,-37.00,0.00,105.00
17:30 - 17:45,36.61,0.00,17.34,-63.00,0.00,108.85
17:45 - 18:00,40.46,0.00,17.34,-72.00,0.00,84.77
18:00 - 18:15,15.41,-10.00,11.56,-58.00,0.00,-15.00
18:15 - 18:30,26.97,-10.00,11.56,-56.00,0.00,32.75
18:30 - 18:45,38.53,38.53,13.97,-60.00,0.00,-38.00
18:45 - 19:00,0.00,14.45,14.94,-60.00,0.48,3.85
19:00 - 19:15,-37.00,-6.00,15.41,-62.00,2.99,3.85
19:15 - 19:30,-35.00,-7.00,15.25,-61.00,2.96,20.01
19:30 - 19:45,-25.00,0.00,14.67,-62.00,4.77,55.00
19:45 - 20:00,-21.00,0.00,14.91,-62.00,6.52,65.27
20:00 - 20:15,31.79,-5.00,15.41,-61.00,6.74,68.40
20:15 - 20:30,43.35,-5.00,15.41,-65.00,7.42,76.10
20:30 - 20:45,72.25,-10.00,13.49,-62.00,6.45,66.47
20:45 - 21:00,78.99,-10.00,13.49,-62.00,7.71,53.94
21:00 - 21:15,69.35,0.00,13.49,-61.00,6.94,63.58
21:15 - 21:30,91.51,0.00,13.49,-61.00,5.49,55.87
21:30 - 21:45,74.18,0.00,13.49,-57.00,2.50,24.08
21:45 - 22:00,77.06,0.00,12.52,-56.98,0.10,19.27
22:00 - 22:15,69.26,0.00,12.00,-62.00,0.37,15.70
22:15 - 22:30,61.29,-10.00,9.72,-62.00,3.14,14.20
22:30 - 22:45,196.12,-30.00,8.72,-67.00,4.43,33.42
22:45 - 23:00,185.52,-25.00,8.25,-64.00,1.78,57.03
23:00 - 23:15,126.56,-30.00,8.89,-51.00,1.50,71.82
23:15 - 23:30,96.87,-10.00,9.47,-53.00,2.19,87.40
23:30 - 23:45,131.36,-7.00,11.16,-55.00,1.71,98.73
23:45 - 24:00,110.78,-15.00,11.56,-63.00,0.00,93.44
