Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-149.00,-84.00,4.34,-10.00,0.00,-85.00
00:15 - 00:30,-107.00,-87.00,4.34,-10.00,0.00,-85.00
00:30 - 00:45,-60.00,-71.00,4.34,-10.00,0.00,-74.00
00:45 - 01:00,-9.00,-74.00,4.34,-10.00,0.00,-75.00
01:00 - 01:15,0.00,-72.00,4.34,-10.00,0.00,-95.00
01:15 - 01:30,-7.00,-60.00,4.34,-10.00,0.00,-95.00
01:30 - 01:45,-28.00,14.45,4.34,-10.00,0.00,8.67
01:45 - 02:00,-26.00,26.98,3.85,-10.00,0.00,7.71
02:00 - 02:15,-45.00,0.00,3.85,0.00,0.00,-10.00
02:15 - 02:30,-42.00,0.00,3.85,0.00,0.00,-27.00
02:30 - 02:45,-36.00,-8.00,3.85,0.00,0.00,7.71
02:45 - 03:00,-43.00,-15.00,3.85,0.00,0.00,36.62
03:00 - 03:15,0.00,-14.00,3.37,0.00,0.00,18.31
03:15 - 03:30,0.00,-28.00,3.37,0.00,0.00,5.78
03:30 - 03:45,0.00,-37.00,3.37,0.00,0.00,6.75
03:45 - 04:00,0.00,-46.00,3.37,0.00,0.00,33.72
04:00 - 04:15,11.56,-12.00,3.37,0.00,0.00,32.76
04:15 - 04:30,10.60,-15.00,2.89,0.00,0.00,12.52
04:30 - 04:45,20.23,-22.99,2.89,0.00,0.00,7.71
04:45 - 05:00,34.69,-30.00,2.89,0.00,0.00,0.96
05:00 - 05:15,38.54,-25.00,2.89,0.00,0.00,0.00
05:15 - 05:30,26.02,-29.00,2.89,0.00,0.00,-2.00
05:30 - 05:45,22.16,-25.00,2.89,0.00,0.00,-14.00
05:45 - 06:00,17.34,-27.00,2.89,0.00,0.00,-26.00
06:00 - 06:15,7.71,-20.00,11.08,0.00,0.00,-31.00
06:15 - 06:30,-2.00,-15.00,12.53,0.00,0.00,15.41
06:30 - 06:45,26.98,-23.00,12.04,0.00,0.00,-19.00
06:45 - 07:00,15.42,-35.00,12.04,0.00,0.00,-54.00
07:00 - 07:15,21.20,-56.00,11.56,0.00,0.00,14.45
07:15 - 07:30,19.27,-60.00,10.60,0.00,0.00,-22.00
07:30 - 07:45,9.64,0.00,10.59,0.00,0.00,-32.00
07:45 - 08:00,-26.00,0.00,9.64,0.00,0.00,-55.00
08:00 - 08:15,26.97,-6.00,9.64,0.00,0.00,-85.00
08:15 - 08:30,0.00,-15.00,7.71,0.00,0.00,-80.00
08:30 - 08:45,-53.00,-20.00,10.60,0.00,0.00,-28.00
08:45 - 09:00,-75.00,-85.00,10.60,0.00,0.00,-39.00
09:00 - 09:15,-10.00,-17.00,9.64,0.00,0.00,-30.00
09:15 - 09:30,0.00,-75.00,9.06,0.00,0.00,-21.00
09:30 - 09:45,0.00,0.00,9.83,0.00,0.00,12.52
09:45 - 10:00,0.00,0.00,9.15,0.00,0.00,33.73
10:00 - 10:15,39.50,-78.00,9.06,0.00,0.00,34.69
10:15 - 10:30,50.10,-72.00,9.25,0.00,0.00,49.14
10:30 - 10:45,0.00,-19.00,5.68,0.00,0.00,72.27
10:45 - 11:00,0.00,-10.00,4.82,0.00,0.00,81.90
11:00 - 11:15,186.91,37.58,3.47,0.00,0.00,96.35
11:15 - 11:30,269.77,76.12,1.93,0.00,0.00,105.99
11:30 - 11:45,318.92,132.00,0.00,0.00,0.00,57.81
11:45 - 12:00,326.63,143.56,0.00,0.00,0.00,24.09
12:00 - 12:15,282.30,179.21,0.00,0.00,0.00,81.90
12:15 - 12:30,257.25,184.03,0.00,0.00,0.00,77.08
12:30 - 12:45,221.61,236.05,-5.00,0.00,0.00,96.35
12:45 - 13:00,235.09,240.88,-5.50,0.00,0.00,134.89
13:00 - 13:15,207.15,233.17,4.82,0.00,0.00,72.26
13:15 - 13:30,213.90,231.23,4.82,0.00,0.00,81.90
13:30 - 13:45,251.47,185.96,4.82,0.00,0.00,134.89
13:45 - 14:00,258.22,204.26,4.82,0.00,0.00,96.35
14:00 - 14:15,265.93,223.53,4.82,0.00,0.00,38.54
14:15 - 14:30,227.38,180.17,4.82,0.00,0.00,67.45
14:30 - 14:45,144.53,141.63,4.82,0.00,0.00,96.35
14:45 - 15:00,143.56,138.74,4.82,0.00,0.00,96.35
15:00 - 15:15,284.23,121.40,3.85,0.00,0.00,86.72
15:15 - 15:30,353.61,136.82,3.85,0.00,0.00,96.35
15:30 - 15:45,224.49,163.80,3.85,0.00,0.00,86.72
15:45 - 16:00,173.43,172.47,3.85,0.00,0.00,86.72
16:00 - 16:15,144.53,157.04,9.35,0.00,0.00,28.91
16:15 - 16:30,134.89,157.05,9.35,0.00,0.00,-10.00
16:30 - 16:45,129.11,140.66,9.35,-13.00,0.00,9.64
16:45 - 17:00,127.18,147.42,11.27,-10.00,0.00,19.27
17:00 - 17:15,158.02,146.45,3.85,-10.00,0.00,-5.00
17:15 - 17:30,154.16,154.16,4.82,-10.00,0.00,0.00
17:30 - 17:45,153.20,94.42,5.78,-10.00,0.00,24.09
17:45 - 18:00,153.21,107.91,6.74,-10.00,0.00,33.72
18:00 - 18:15,146.45,79.97,6.74,-10.00,0.00,28.91
18:15 - 18:30,138.74,47.21,9.64,-10.00,0.00,-20.00
18:30 - 18:45,155.12,40.47,11.56,-10.00,0.00,-40.00
18:45 - 19:00,159.94,43.36,13.49,-10.00,0.00,-40.00
19:00 - 19:15,207.15,12.53,15.99,-10.00,0.00,134.89
19:15 - 19:30,273.34,0.00,15.28,-10.00,0.00,64.42
19:30 - 19:45,328.56,0.00,15.99,-35.00,0.00,-5.00
19:45 - 20:00,364.21,0.00,15.99,-39.00,0.00,-5.00
20:00 - 20:15,316.42,-69.00,15.82,-42.00,3.82,5.72
20:15 - 20:30,293.74,-82.00,15.53,-41.00,3.74,-2.00
20:30 - 20:45,237.98,-90.00,15.99,-41.00,2.89,28.91
20:45 - 21:00,152.23,-78.00,15.99,-41.00,2.89,28.91
21:00 - 21:15,21.20,-80.00,14.93,-42.00,2.89,38.54
21:15 - 21:30,-7.00,-86.00,14.93,-41.00,2.89,28.91
21:30 - 21:45,-82.00,-115.00,14.93,-43.00,0.00,28.91
21:45 - 22:00,-64.00,-115.00,14.93,-42.00,0.00,19.27
22:00 - 22:15,-127.00,-101.00,14.93,-40.00,0.00,38.54
22:15 - 22:30,-128.00,-101.00,14.93,-40.00,0.00,48.18
22:30 - 22:45,-154.00,-130.00,14.93,-37.00,0.00,81.90
22:45 - 23:00,-163.00,-130.00,14.93,-38.00,0.00,91.54
23:00 - 23:15,-171.00,-125.00,14.16,-39.00,0.00,57.81
23:15 - 23:30,-165.00,-125.00,13.87,-40.00,0.00,57.81
23:30 - 23:45,-188.00,-155.00,12.81,-39.00,0.00,63.60
23:45 - 24:00,-200.00,-163.00,11.75,-44.00,0.00,-22.00
