Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-104.00,-10.00,0.88,-91.00,0.10,-130.00
00:15 - 00:30,-138.00,-21.00,0.92,-80.00,0.00,-150.00
00:30 - 00:45,-148.00,-31.00,0.93,-84.00,0.00,-200.00
00:45 - 01:00,-154.00,-47.00,1.02,-84.00,0.00,-220.00
01:00 - 01:15,-188.00,-68.00,1.37,-85.00,0.00,-288.00
01:15 - 01:30,-223.00,-75.00,1.64,-85.00,0.00,-309.00
01:30 - 01:45,-251.00,-76.00,3.46,-84.00,0.00,-341.00
01:45 - 02:00,-285.00,-75.00,3.61,-83.00,0.00,-358.00
02:00 - 02:15,-327.00,-95.00,8.89,-82.00,0.00,-385.00
02:15 - 02:30,-358.00,-94.00,10.18,-81.00,0.00,-405.00
02:30 - 02:45,-390.00,-91.00,10.58,-82.00,0.00,-415.00
02:45 - 03:00,-424.00,-92.00,10.58,-82.00,0.00,-435.00
03:00 - 03:15,-416.00,-90.00,10.58,-86.00,0.00,-465.00
03:15 - 03:30,-443.00,-91.00,10.58,-87.00,0.00,-485.00
03:30 - 03:45,-485.00,-112.00,10.58,-87.00,0.00,-497.00
03:45 - 04:00,-515.00,-114.00,10.58,-88.00,0.00,-520.00
04:00 - 04:15,-541.00,-131.00,10.58,-88.00,0.00,-515.00
04:15 - 04:30,-563.00,-133.00,9.62,-89.00,0.00,-505.00
04:30 - 04:45,-496.00,-163.00,9.62,-87.00,0.00,-560.00
04:45 - 05:00,-450.00,-159.00,9.62,-90.00,0.19,-565.00
05:00 - 05:15,-380.00,-140.00,11.05,-90.00,3.08,-585.00
05:15 - 05:30,-194.00,-144.00,11.05,-91.00,2.31,-590.00
05:30 - 05:45,-224.00,-125.00,11.54,-92.00,11.92,-600.00
05:45 - 06:00,-227.00,-127.00,11.54,-89.00,11.92,-600.00
06:00 - 06:15,-207.00,-140.00,12.50,-89.00,8.75,-600.00
06:15 - 06:30,-204.00,-134.00,12.50,-88.00,13.27,-515.00
06:30 - 06:45,-202.00,-133.00,13.07,-89.00,4.81,-390.00
06:45 - 07:00,-217.00,-124.00,13.94,-88.00,8.85,-332.00
07:00 - 07:15,-180.00,-114.00,13.94,-89.00,4.81,-307.00
07:15 - 07:30,-198.00,-95.00,14.42,0.00,4.81,-292.00
07:30 - 07:45,-201.00,-111.00,14.42,0.00,4.81,-308.00
07:45 - 08:00,-195.00,-166.00,14.42,0.00,4.81,-306.00
08:00 - 08:15,-158.00,-62.00,13.46,-75.00,4.81,-295.00
08:15 - 08:30,-145.00,-60.00,14.42,-73.00,4.81,-303.00
08:30 - 08:45,-157.00,-71.00,15.38,-75.00,4.81,-300.00
08:45 - 09:00,-150.00,-76.00,16.34,-76.00,4.81,-310.00
09:00 - 09:15,-113.00,-77.00,14.42,-91.00,4.81,-304.00
09:15 - 09:30,-91.00,-60.00,15.38,-79.00,4.81,-247.00
09:30 - 09:45,-82.00,-64.00,16.34,-65.00,4.81,-215.00
09:45 - 10:00,-60.00,-53.00,17.30,-54.00,4.81,-175.00
10:00 - 10:15,0.00,-45.00,15.38,-46.00,4.81,-160.00
10:15 - 10:30,0.00,-51.00,16.34,-41.00,4.81,-153.00
10:30 - 10:45,-26.00,-42.00,17.11,-43.00,4.81,-188.00
10:45 - 11:00,-13.00,-39.00,17.11,-38.00,4.81,-161.00
11:00 - 11:15,-33.00,-42.00,17.11,-35.00,4.81,-118.00
11:15 - 11:30,-32.00,-38.00,17.11,-33.00,4.81,-106.00
11:30 - 11:45,-54.00,-43.00,12.50,-31.00,4.81,-85.00
11:45 - 12:00,-49.00,-38.00,12.50,-30.00,4.81,-88.00
12:00 - 12:15,-53.00,-55.00,12.50,-28.00,4.81,-96.00
12:15 - 12:30,-47.00,-59.00,12.50,-26.00,4.81,-85.00
12:30 - 12:45,-84.00,-38.00,12.50,-24.00,4.81,-94.00
12:45 - 13:00,-102.00,-38.00,12.50,-22.00,4.81,-102.00
