Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,4.62,8.77,2.89,0.00,-21.90,80.78
00:15 - 00:30,2.05,10.54,3.57,0.00,-21.90,93.68
00:30 - 00:45,-11.00,15.86,4.22,-23.00,-27.90,75.77
00:45 - 01:00,-12.00,18.96,5.32,-23.00,-27.90,85.75
01:00 - 01:15,21.41,39.90,5.64,-30.00,-7.30,97.30
01:15 - 01:30,9.54,41.50,6.40,0.00,-7.30,95.35
01:30 - 01:45,-33.00,55.44,10.11,0.00,-7.30,130.45
01:45 - 02:00,-65.00,66.61,11.61,-28.00,-7.30,133.23
02:00 - 02:15,-51.00,48.12,11.55,0.00,0.00,149.15
02:15 - 02:30,-26.00,52.93,11.36,0.00,0.00,149.15
02:30 - 02:45,0.00,69.29,11.16,0.00,0.00,149.15
02:45 - 03:00,0.00,71.21,10.97,0.00,0.00,149.16
03:00 - 03:15,-10.00,30.79,10.78,-38.00,0.00,149.16
03:15 - 03:30,-13.00,-8.00,10.59,-38.00,0.00,144.34
03:30 - 03:45,-24.00,-23.00,10.59,-37.00,0.00,110.66
03:45 - 04:00,-27.00,-51.00,10.59,-34.00,0.00,86.60
04:00 - 04:15,-52.00,-41.00,10.59,-32.00,0.00,134.72
04:15 - 04:30,-65.00,-21.00,10.59,-34.00,0.00,144.34
04:30 - 04:45,-28.00,-13.00,10.59,-38.00,0.00,211.70
04:45 - 05:00,-26.00,-6.00,10.59,-38.00,0.00,62.54
05:00 - 05:15,-28.00,-33.00,10.49,-37.00,0.00,28.87
05:15 - 05:30,-14.00,-38.00,10.39,-33.00,0.00,86.61
05:30 - 05:45,-13.00,-53.00,10.30,-31.00,0.00,-10.00
05:45 - 06:00,-25.00,-57.00,10.20,-31.00,0.00,-5.00
06:00 - 06:15,-34.00,-58.00,10.20,-32.00,0.00,-5.00
06:15 - 06:30,-42.00,-56.00,10.20,-33.00,0.00,-10.00
06:30 - 06:45,-73.00,0.00,10.20,-32.00,0.00,19.25
06:45 - 07:00,-96.00,0.00,10.30,-33.00,0.00,28.87
07:00 - 07:15,-9.00,-17.00,10.39,-30.00,0.00,33.68
07:15 - 07:30,-21.00,0.00,10.59,-29.00,0.00,-50.00
07:30 - 07:45,-11.00,0.00,10.59,-18.00,0.00,-10.00
07:45 - 08:00,-1.00,0.00,10.59,-16.00,0.00,43.30
08:00 - 08:15,0.00,-40.97,7.22,-14.00,0.00,48.11
08:15 - 08:30,0.00,-28.00,7.51,-13.00,0.00,57.73
08:30 - 08:45,12.51,-22.00,7.70,-14.00,0.00,57.74
08:45 - 09:00,19.25,-28.00,7.89,-13.00,0.00,67.36
09:00 - 09:15,-212.00,-56.00,4.81,-14.00,0.00,81.80
09:15 - 09:30,-220.00,-50.00,5.00,-14.00,0.00,96.23
09:30 - 09:45,-203.00,-43.00,5.20,-13.00,0.00,76.98
09:45 - 10:00,-204.00,-36.00,5.29,-11.00,0.00,72.18
10:00 - 10:15,-206.00,-25.00,3.66,-11.00,0.00,91.42
10:15 - 10:30,-211.00,-21.00,3.85,-11.00,0.00,96.23
10:30 - 10:45,-218.00,8.66,4.04,-10.00,0.00,52.93
10:45 - 11:00,-205.00,10.59,4.23,-10.00,0.00,52.93
11:00 - 11:15,-185.00,0.00,4.43,-20.00,0.00,69.28
11:15 - 11:30,-168.00,0.00,4.52,-18.00,0.00,45.23
11:30 - 11:45,-82.00,56.78,4.52,-16.78,0.00,88.53
11:45 - 12:00,-56.00,54.85,4.52,-17.00,0.00,98.16
12:00 - 12:15,0.00,42.34,4.81,-14.00,0.00,125.10
12:15 - 12:30,0.00,50.04,4.81,-12.00,0.00,125.10
12:30 - 12:45,62.55,51.00,4.81,-11.01,0.00,134.72
12:45 - 13:00,72.17,50.04,4.81,-11.86,0.00,144.35
13:00 - 13:15,31.76,46.19,5.77,0.00,0.00,139.53
13:15 - 13:30,39.45,48.12,5.77,0.00,0.00,134.73
13:30 - 13:45,17.32,47.15,5.77,0.00,0.00,158.79
13:45 - 14:00,24.06,53.89,5.77,0.00,0.00,139.53
14:00 - 14:15,101.04,81.80,6.74,-13.00,0.00,119.32
14:15 - 14:30,136.64,100.08,6.74,-13.00,0.00,121.25
