Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,152.00,149.13,11.55,0.00,0.00,-95.00
00:15 - 00:30,161.63,143.35,11.55,0.00,0.00,-50.00
00:30 - 00:45,313.65,128.92,10.58,0.00,0.00,-30.00
00:45 - 01:00,307.87,112.57,10.58,0.00,0.00,-30.00
01:00 - 01:15,228.99,97.17,10.58,0.00,0.00,-30.00
01:15 - 01:30,233.79,80.82,10.58,-10.00,0.00,-30.00
01:30 - 01:45,195.30,122.19,9.62,-10.00,0.00,-30.00
01:45 - 02:00,194.35,106.79,9.62,-10.00,0.00,-30.00
02:00 - 02:15,281.89,57.73,9.62,-10.00,0.00,14.43
02:15 - 02:30,248.22,45.22,8.66,-10.00,0.00,24.05
02:30 - 02:45,198.19,17.32,8.66,0.00,0.00,28.86
02:45 - 03:00,172.21,2.89,8.66,-10.00,0.00,28.86
03:00 - 03:15,219.36,0.00,8.66,-10.00,0.00,9.62
03:15 - 03:30,199.16,0.00,8.66,-10.00,0.00,19.24
03:30 - 03:45,210.70,-22.00,8.66,-10.00,0.00,-5.00
03:45 - 04:00,223.21,-29.00,8.66,-10.00,0.00,-5.00
04:00 - 04:15,219.36,31.75,7.70,-10.00,0.00,24.05
04:15 - 04:30,201.07,22.13,7.70,-10.00,0.00,-13.00
04:30 - 04:45,230.90,13.47,7.70,-10.00,0.00,24.05
04:45 - 05:00,227.06,9.62,7.70,-10.00,0.00,33.67
05:00 - 05:15,226.10,0.00,6.73,-10.00,0.00,28.86
05:15 - 05:30,218.40,11.55,6.73,-10.00,0.00,19.24
05:30 - 05:45,192.42,0.00,6.73,-10.00,0.00,12.51
05:45 - 06:00,190.50,0.00,6.73,-10.00,0.00,19.24
06:00 - 06:15,173.18,17.32,15.39,-10.00,0.00,-8.00
06:15 - 06:30,185.69,25.01,15.39,-10.00,0.00,-5.00
06:30 - 06:45,192.43,60.61,15.39,-10.00,0.00,-25.00
