Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-78.00,0.00,14.48,0.00,0.00,-98.00
00:15 - 00:30,-76.00,0.00,14.48,0.00,0.00,-81.00
00:30 - 00:45,-81.00,6.76,12.55,0.00,0.00,-83.00
00:45 - 01:00,-69.00,6.76,12.55,0.00,0.00,-84.00
01:00 - 01:15,-86.00,19.30,12.55,-15.00,0.00,-100.00
01:15 - 01:30,-36.00,17.37,12.55,-15.00,0.00,-100.00
01:30 - 01:45,-143.00,0.00,12.55,-15.00,0.00,-86.00
01:45 - 02:00,-84.00,0.00,12.55,-15.00,0.00,-86.00
02:00 - 02:15,0.00,0.00,11.58,-10.00,0.00,8.69
02:15 - 02:30,48.27,0.00,11.58,-10.00,0.00,-10.00
02:30 - 02:45,113.91,7.72,11.58,-10.00,0.00,-43.00
02:45 - 03:00,119.70,0.00,11.58,-10.00,0.00,-67.00
03:00 - 03:15,122.60,27.99,10.62,-10.00,0.00,-84.00
03:15 - 03:30,128.38,14.48,10.62,-10.00,0.00,-84.00
03:30 - 03:45,159.27,19.31,10.62,-10.00,0.00,-83.00
03:45 - 04:00,165.06,25.10,10.62,-10.00,0.00,-83.00
04:00 - 04:15,139.97,15.44,9.65,-10.00,0.00,59.85
04:15 - 04:30,118.73,14.48,9.65,-10.00,0.00,49.23
04:30 - 04:45,120.66,19.31,9.65,-10.00,0.00,51.16
04:45 - 05:00,106.19,18.34,9.65,-10.00,0.00,45.37
05:00 - 05:15,84.95,22.20,9.65,-10.00,0.00,10.62
05:15 - 05:30,58.88,21.24,9.65,-10.00,0.00,5.79
05:30 - 05:45,89.77,-26.00,10.62,-10.00,0.00,-6.00
05:45 - 06:00,38.61,7.72,10.62,-10.00,0.00,-15.00
06:00 - 06:15,0.00,-20.00,19.31,-10.00,0.00,-4.00
06:15 - 06:30,0.00,-20.00,19.60,-10.00,0.00,-1.00
06:30 - 06:45,-32.00,-17.00,19.31,-10.00,0.00,-7.00
06:45 - 07:00,-33.00,-15.00,19.31,-10.00,0.00,-16.00
07:00 - 07:15,-31.00,33.79,20.27,-10.00,0.00,-18.00
07:15 - 07:30,-28.00,33.79,20.27,-10.00,0.00,-22.00
07:30 - 07:45,60.81,75.30,20.27,-10.00,0.00,-38.00
07:45 - 08:00,41.51,75.29,19.31,-10.00,0.00,-42.00
08:00 - 08:15,0.00,14.48,19.31,-10.00,0.00,29.92
