Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,47.12,-48.00,-1.00,6.73,-19.00,0.00,-20.00
00:15 - 00:30,33.66,-58.00,-1.00,6.25,-19.00,0.00,-13.00
00:30 - 00:45,-13.00,-69.00,-1.00,6.06,-19.00,0.00,-12.00
00:45 - 01:00,-11.00,-67.00,-1.00,5.77,-19.00,0.00,-12.00
01:00 - 01:15,5.77,-66.00,-1.00,5.67,-19.00,0.00,-10.00
01:15 - 01:30,9.61,-68.00,-1.00,5.58,-19.00,0.00,-10.00
01:30 - 01:45,10.58,-36.00,-1.00,5.38,-19.00,0.00,-4.00
01:45 - 02:00,11.54,-34.00,-1.00,5.10,-19.00,0.00,-3.00
02:00 - 02:15,20.20,-6.00,-1.00,4.90,-19.00,0.00,-19.00
02:15 - 02:30,22.11,-4.00,-1.00,4.81,-19.00,0.00,-18.00
02:30 - 02:45,29.81,0.00,-1.00,4.81,-19.00,0.00,0.00
02:45 - 03:00,36.54,0.00,-1.00,4.81,-19.00,0.00,0.00
03:00 - 03:15,35.58,0.00,-1.00,4.81,-19.00,0.00,0.00
03:15 - 03:30,34.62,0.00,-1.00,4.81,-19.00,0.00,0.00
03:30 - 03:45,43.27,-10.00,-1.00,4.81,-19.00,0.00,0.00
03:45 - 04:00,45.20,-15.00,-1.00,4.90,-19.00,0.00,0.00
04:00 - 04:15,9.62,-18.00,-1.00,5.19,-19.00,0.00,0.00
04:15 - 04:30,2.88,-22.00,-1.00,6.06,-19.00,0.00,0.00
04:30 - 04:45,0.00,-7.00,-1.00,6.73,-19.00,0.00,0.00
04:45 - 05:00,-71.00,-11.00,-1.00,7.69,-19.00,0.00,0.00
05:00 - 05:15,-98.00,0.00,-1.00,8.94,-19.00,0.00,0.00
05:15 - 05:30,-47.00,0.00,-1.00,10.67,-19.00,0.00,0.00
05:30 - 05:45,19.23,28.85,-1.00,12.40,-19.00,0.00,-22.00
05:45 - 06:00,0.00,-19.00,-1.00,14.14,-19.00,0.00,-83.00
06:00 - 06:15,15.38,-106.00,-1.00,11.83,-19.00,0.00,-101.00
06:15 - 06:30,109.63,-149.00,-1.00,13.17,-19.00,0.00,-22.00
06:30 - 06:45,0.00,-158.00,-1.00,14.23,0.00,0.00,-65.00
06:45 - 07:00,-24.00,-154.00,-1.00,15.96,0.00,0.29,-80.00
07:00 - 07:15,-47.00,-150.00,-1.00,8.36,0.00,1.67,-73.00
07:15 - 07:30,-41.00,-130.00,-1.00,4.62,0.00,1.03,-67.00
07:30 - 07:45,-73.00,-109.00,-1.00,2.27,0.00,0.30,-47.00
07:45 - 08:00,-43.00,-95.00,-1.00,1.71,0.00,0.15,-26.00
08:00 - 08:15,-29.00,-122.00,-1.00,3.62,0.00,0.47,-49.00
08:15 - 08:30,2.30,-132.00,-1.00,3.72,0.00,0.50,-53.00
08:30 - 08:45,0.00,-140.00,-1.00,10.73,0.00,1.72,-42.00
08:45 - 09:00,0.00,-165.00,-1.00,15.31,0.00,4.40,-51.00
09:00 - 09:15,-27.00,-148.00,-1.00,20.30,-10.00,0.00,-47.00
09:15 - 09:30,-18.00,-160.00,-1.00,20.00,-19.00,0.00,-47.00
09:30 - 09:45,39.42,-172.00,-1.00,19.81,-19.00,0.00,-18.00
09:45 - 10:00,48.08,-179.00,-1.00,17.40,-19.00,0.00,-21.00
