Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,-35.00,4.80,-19.00,-274.00
00:15 - 00:30,0.00,-28.00,4.80,-19.00,-139.00
00:30 - 00:45,-177.00,-113.00,4.80,-19.00,-127.00
00:45 - 01:00,-182.00,-127.00,4.80,-19.00,-125.00
01:00 - 01:15,47.99,-57.00,3.84,-28.00,-125.00
01:15 - 01:30,39.35,-72.00,3.84,-28.00,-125.00
01:30 - 01:45,-32.00,-69.00,2.88,-28.00,-115.00
01:45 - 02:00,-36.00,-76.00,2.88,-28.00,-125.00
02:00 - 02:15,0.00,-61.00,2.88,-28.00,-125.00
02:15 - 02:30,0.00,-123.00,2.88,-28.00,-140.00
02:30 - 02:45,28.79,-118.00,2.88,-28.00,-150.00
02:45 - 03:00,18.24,-121.00,2.88,-28.00,-160.00
03:00 - 03:15,14.40,-42.00,1.92,-28.00,-182.00
03:15 - 03:30,21.12,-37.00,1.92,-28.00,-191.00
03:30 - 03:45,20.16,-17.00,1.92,-28.00,-205.00
03:45 - 04:00,16.32,-17.00,1.92,-28.00,-215.00
04:00 - 04:15,37.43,-26.00,1.92,-28.00,-110.00
04:15 - 04:30,22.08,-31.00,1.92,-28.00,-103.00
04:30 - 04:45,45.11,-23.00,1.92,-28.00,-108.00
04:45 - 05:00,29.75,-10.00,1.92,-28.00,-109.00
05:00 - 05:15,23.99,-59.00,2.88,-28.00,-111.00
05:15 - 05:30,15.36,-66.00,2.88,-28.00,-130.00
05:30 - 05:45,0.00,-48.00,2.88,-28.00,-140.00
05:45 - 06:00,-29.00,-46.00,2.88,-28.00,-137.00
06:00 - 06:15,0.00,16.31,12.48,-28.00,-134.00
06:15 - 06:30,-22.00,-43.00,12.48,-28.00,-136.00
06:30 - 06:45,-66.00,-53.00,11.52,-28.00,-143.00
06:45 - 07:00,-108.00,-57.00,11.52,-28.00,-141.00
07:00 - 07:15,-46.00,-12.00,10.56,-28.00,-181.00
07:15 - 07:30,-72.00,-24.00,9.60,-28.00,-193.00
07:30 - 07:45,-103.00,-12.00,8.64,-28.00,-210.00
07:45 - 08:00,-137.00,0.00,7.68,-28.00,-218.00
08:00 - 08:15,-186.00,0.00,6.72,-28.00,-209.00
08:15 - 08:30,-215.00,0.00,4.80,-28.00,-192.00
08:30 - 08:45,-211.00,-43.00,7.68,-28.00,-163.00
08:45 - 09:00,-232.00,-45.00,7.68,-28.00,-163.00
09:00 - 09:15,-228.00,-120.00,7.68,-26.00,-140.00
09:15 - 09:30,-234.00,-162.00,6.72,-25.00,-140.00
09:30 - 09:45,-193.00,-164.00,6.72,-24.00,-120.00
09:45 - 10:00,-124.00,-154.00,5.76,-24.00,-110.00
10:00 - 10:15,-137.00,-149.00,5.76,-24.00,-70.00
10:15 - 10:30,-134.00,-143.00,5.76,-24.00,-50.00
