Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,202.72,9.61,9.03,0.00,55.73
00:15 - 00:30,164.30,4.80,8.36,0.00,57.65
00:30 - 00:45,141.23,9.61,7.69,0.00,32.67
00:45 - 01:00,133.55,9.61,7.30,0.00,30.75
01:00 - 01:15,135.47,9.61,6.92,0.00,24.98
01:15 - 01:30,141.23,9.61,6.92,0.00,25.94
01:30 - 01:45,114.34,0.00,6.82,0.00,23.06
01:45 - 02:00,99.92,0.00,6.73,0.00,24.02
02:00 - 02:15,87.43,0.00,6.63,0.00,30.75
02:15 - 02:30,67.26,0.00,6.53,0.00,22.10
02:30 - 02:45,67.25,0.00,6.44,0.00,30.75
02:45 - 03:00,65.34,0.00,6.34,0.00,26.90
03:00 - 03:15,30.75,0.00,6.34,0.00,35.55
03:15 - 03:30,0.00,0.00,6.34,0.00,37.47
03:30 - 03:45,0.00,0.00,6.34,0.00,24.98
03:45 - 04:00,9.61,0.00,6.53,0.00,27.86
04:00 - 04:15,6.73,-61.00,6.73,0.00,20.17
04:15 - 04:30,43.23,-66.00,6.92,0.00,22.10
04:30 - 04:45,69.17,-7.00,7.69,0.00,22.10
04:45 - 05:00,7.69,-7.00,9.13,0.00,31.70
05:00 - 05:15,62.44,-9.00,6.25,0.00,18.26
05:15 - 05:30,72.07,-7.00,7.49,0.00,49.00
05:30 - 05:45,52.85,0.00,0.00,0.00,49.96
05:45 - 06:00,41.32,0.00,2.88,0.00,39.39
06:00 - 06:15,42.28,0.00,6.05,0.00,43.23
06:15 - 06:30,42.28,6.73,7.49,0.00,60.53
06:30 - 06:45,0.00,-9.00,9.99,0.00,23.06
06:45 - 07:00,0.00,-7.00,12.68,0.00,58.61
07:00 - 07:15,14.41,-57.00,14.03,0.00,100.88
07:15 - 07:30,15.37,-19.00,14.41,0.00,109.54
07:30 - 07:45,5.76,-43.00,15.67,0.00,4.80
07:45 - 08:00,49.00,-40.00,17.39,0.19,-48.00
08:00 - 08:15,0.00,-25.00,18.26,0.00,0.00
08:15 - 08:30,-57.00,-25.00,17.20,0.00,12.49
08:30 - 08:45,-51.00,-47.00,27.58,0.58,17.29
08:45 - 09:00,-44.00,-59.00,29.02,1.06,35.54
09:00 - 09:15,25.94,-42.00,25.75,1.54,97.04
09:15 - 09:30,87.44,-54.00,25.94,0.96,76.86
09:30 - 09:45,0.00,-57.00,26.04,0.00,17.29
09:45 - 10:00,20.18,-61.00,26.13,0.00,205.61
10:00 - 10:15,0.00,-86.00,25.46,0.00,254.61
10:15 - 10:30,0.00,-100.00,25.27,0.00,245.00
10:30 - 10:45,-3.00,-100.00,25.08,0.00,236.35
10:45 - 11:00,31.71,-101.00,24.79,0.00,244.04
11:00 - 11:15,71.10,-29.00,26.04,0.00,273.82
11:15 - 11:30,63.41,-26.00,25.65,0.00,271.91
11:30 - 11:45,70.14,-35.00,25.94,0.00,283.44
11:45 - 12:00,69.18,-40.00,25.46,0.00,281.51
12:00 - 12:15,94.16,-23.00,24.98,0.00,223.87
12:15 - 12:30,90.32,-38.00,24.50,0.00,213.28
12:30 - 12:45,109.53,-36.00,24.02,0.00,181.59
12:45 - 13:00,151.81,-32.00,24.02,0.00,171.98
13:00 - 13:15,148.92,4.80,24.50,0.00,138.36
13:15 - 13:30,135.47,14.41,23.54,0.00,140.28
13:30 - 13:45,67.26,29.78,22.10,0.00,135.47
13:45 - 14:00,57.65,39.39,21.14,0.00,136.43
14:00 - 14:15,14.41,43.24,19.22,0.00,134.51
14:15 - 14:30,11.53,40.35,19.22,0.00,132.59
14:30 - 14:45,-32.00,48.04,17.29,0.00,98.97
14:45 - 15:00,-30.00,59.57,16.33,0.00,98.97
15:00 - 15:15,-22.00,0.00,15.37,0.00,57.65
15:15 - 15:30,-27.00,0.00,15.37,0.00,48.04
15:30 - 15:45,0.00,-20.00,15.37,0.00,36.51
15:45 - 16:00,11.53,-38.00,15.37,0.00,21.14
16:00 - 16:15,0.00,9.61,16.33,0.00,182.55
16:15 - 16:30,0.00,0.00,16.33,0.00,176.79
16:30 - 16:45,-7.00,-9.00,16.33,0.00,192.16
16:45 - 17:00,-26.00,-10.00,16.33,0.00,193.12
17:00 - 17:15,-11.00,-23.00,16.33,0.00,0.00
17:15 - 17:30,-23.00,-6.00,17.29,1.83,12.49
17:30 - 17:45,9.01,13.53,16.23,2.61,95.57
17:45 - 18:00,7.81,8.68,16.49,2.08,47.72
18:00 - 18:15,52.02,30.60,6.43,1.78,36.11
18:15 - 18:30,64.29,30.86,5.40,0.90,36.77
18:30 - 18:45,95.25,52.78,3.67,0.87,69.39
18:45 - 19:00,95.38,63.15,4.73,0.66,52.62
19:00 - 19:15,80.03,56.24,9.52,0.00,67.05
19:15 - 19:30,154.09,85.61,16.38,0.00,253.11
19:30 - 19:45,94.16,72.06,20.18,0.00,162.37
19:45 - 20:00,87.43,62.45,19.22,0.00,160.45
20:00 - 20:15,81.67,57.65,19.22,0.00,174.86
20:15 - 20:30,97.04,63.41,19.22,0.00,177.75
20:30 - 20:45,82.63,44.20,19.22,0.00,176.78
20:45 - 21:00,93.20,52.84,19.22,0.00,151.80
21:00 - 21:15,97.03,0.00,18.26,0.00,20.18
21:15 - 21:30,86.47,0.00,18.26,0.00,75.90
