Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-212.00,-27.00,3.85,-26.00,0.00,-5.00
00:15 - 00:30,-112.00,-16.00,3.85,-26.00,0.00,-5.00
00:30 - 00:45,38.47,-14.00,3.85,-26.00,0.00,-15.00
00:45 - 01:00,50.97,-31.00,3.85,-25.00,0.00,-5.00
01:00 - 01:15,40.39,-51.00,2.89,-25.00,0.00,-35.00
01:15 - 01:30,17.31,-57.00,2.89,-26.00,0.00,-35.00
01:30 - 01:45,-25.00,0.00,2.89,-25.00,0.00,-65.00
01:45 - 02:00,-34.00,0.00,1.92,-25.00,0.00,-55.00
02:00 - 02:15,-33.00,0.00,1.92,-15.00,0.00,-55.00
02:15 - 02:30,-34.00,0.00,1.92,-15.00,0.00,-55.00
02:30 - 02:45,-46.00,-9.00,1.92,-16.00,0.00,-66.00
02:45 - 03:00,-46.00,-8.00,1.92,-16.00,0.00,-74.00
03:00 - 03:15,146.19,74.06,0.96,-16.00,0.00,-70.00
03:15 - 03:30,115.42,76.94,0.96,-16.00,0.00,-70.00
03:30 - 03:45,94.26,48.09,0.96,-16.00,0.00,-70.00
03:45 - 04:00,82.72,38.47,0.96,-16.00,0.00,-65.00
04:00 - 04:15,70.21,-33.00,0.96,-16.00,0.00,-30.00
04:15 - 04:30,68.29,-27.00,0.00,-16.00,0.00,-30.00
04:30 - 04:45,100.03,-18.00,0.00,-17.00,0.00,-65.00
04:45 - 05:00,64.44,-13.00,0.00,-17.00,0.00,-70.00
05:00 - 05:15,68.29,-90.00,0.00,-15.00,0.00,-54.00
05:15 - 05:30,97.14,-85.00,0.00,-16.00,0.00,-61.00
05:30 - 05:45,99.07,-90.00,0.00,-16.00,0.00,-60.00
05:45 - 06:00,115.42,-95.00,0.00,-16.00,0.00,-60.00
06:00 - 06:15,141.39,28.85,0.00,-15.00,0.00,-50.00
06:15 - 06:30,130.80,9.62,0.00,-15.00,0.00,-95.00
06:30 - 06:45,51.94,-8.00,0.96,-15.00,0.00,-95.00
06:45 - 07:00,27.89,-15.00,0.96,-16.00,0.00,-93.00
