Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-26.00,32.71,11.06,-50.00,0.00,0.00,-143.00
00:15 - 00:30,21.16,32.71,11.06,-50.00,0.00,0.00,-139.00
00:30 - 00:45,-26.00,38.48,10.58,-50.00,0.00,0.00,-142.00
00:45 - 01:00,-20.00,34.63,10.39,-52.00,0.00,0.00,-149.00
01:00 - 01:15,-40.00,41.36,10.20,-52.00,0.00,0.00,-140.00
01:15 - 01:30,0.00,35.59,10.10,-53.00,0.00,0.00,-89.00
01:30 - 01:45,19.24,50.02,10.10,-55.00,0.00,0.00,-103.00
01:45 - 02:00,11.54,50.03,10.00,-56.00,0.00,0.00,-191.00
02:00 - 02:15,-21.00,-34.00,10.00,-59.00,0.00,0.00,-143.00
02:15 - 02:30,-71.00,-33.00,10.00,-60.00,0.00,0.00,-78.00
02:30 - 02:45,-77.00,19.24,10.00,-61.00,0.00,0.00,-71.00
02:45 - 03:00,-85.00,15.39,10.00,-62.00,0.00,0.00,-69.00
03:00 - 03:15,-92.00,-7.00,10.00,-62.00,0.00,0.00,-69.00
03:15 - 03:30,-95.00,-30.00,10.00,-63.00,0.00,0.00,-71.00
03:30 - 03:45,-66.00,-30.00,10.00,-63.00,0.00,0.00,-77.00
03:45 - 04:00,-25.00,-17.00,10.10,-66.00,0.00,0.00,-72.00
04:00 - 04:15,-10.00,-20.00,10.29,-67.00,0.00,0.00,-68.00
04:15 - 04:30,0.00,0.00,10.39,-67.00,1.06,0.00,-63.00
04:30 - 04:45,20.20,27.90,10.58,-69.00,1.44,0.00,-64.00
04:45 - 05:00,24.05,10.58,11.54,-71.00,3.94,0.00,-61.00
05:00 - 05:15,39.43,24.05,12.99,-71.00,4.81,-35.00,-47.00
05:15 - 05:30,71.91,57.36,13.66,-70.00,3.65,-35.00,-124.00
05:30 - 05:45,152.93,134.67,15.78,-68.00,0.00,-35.00,-32.00
05:45 - 06:00,196.98,124.79,16.23,-66.00,0.27,-35.00,-65.00
06:00 - 06:15,21.16,3.85,18.66,-64.00,0.19,-35.00,-61.00
06:15 - 06:30,8.14,5.01,12.77,-62.00,2.25,-35.00,-53.00
06:30 - 06:45,25.75,-10.00,12.21,-58.00,3.81,-35.00,-65.00
06:45 - 07:00,10.32,0.00,12.34,-54.00,0.43,-35.00,-68.00
07:00 - 07:15,0.00,23.95,22.12,-49.00,0.19,-35.00,-109.00
07:15 - 07:30,-8.00,33.67,22.89,-46.00,1.25,0.00,-226.00
07:30 - 07:45,-107.00,50.98,23.18,-41.00,2.21,0.00,-270.00
07:45 - 08:00,-43.00,81.76,23.57,-34.00,3.17,0.00,-175.00
08:00 - 08:15,15.39,25.97,19.72,-27.00,1.92,0.00,-161.00
08:15 - 08:30,0.00,54.83,19.43,-17.00,0.19,0.00,-174.00
08:30 - 08:45,0.00,32.70,19.43,0.00,0.00,0.00,-200.00
08:45 - 09:00,0.00,26.94,19.33,0.00,0.19,0.00,-214.00
09:00 - 09:15,-15.00,28.85,16.26,0.00,0.00,0.00,-228.00
09:15 - 09:30,-20.00,29.81,15.97,0.00,0.87,0.00,-180.00
09:30 - 09:45,-26.00,9.62,14.43,0.00,3.46,0.00,-168.00
09:45 - 10:00,-41.00,9.62,14.43,0.00,1.06,0.00,-152.00
10:00 - 10:15,0.00,9.62,12.50,0.00,1.64,0.00,-144.00
10:15 - 10:30,0.00,19.24,12.50,0.00,0.00,0.00,-145.00
10:30 - 10:45,18.29,17.31,12.50,0.00,0.00,0.00,-125.00
10:45 - 11:00,16.35,29.82,12.31,0.00,0.00,0.00,-123.00
11:00 - 11:15,34.63,72.14,11.54,0.00,0.00,0.00,-95.00
11:15 - 11:30,37.51,67.34,11.35,0.00,0.00,0.00,-93.00
11:30 - 11:45,46.17,62.53,10.58,0.00,0.00,0.00,-84.00
11:45 - 12:00,50.02,63.49,10.10,0.00,0.19,0.00,-86.00
12:00 - 12:15,40.39,40.40,9.62,0.00,4.91,0.00,-91.00
12:15 - 12:30,38.48,42.32,9.62,0.00,5.87,0.00,-86.00
12:30 - 12:45,-11.00,54.83,11.54,0.00,0.58,0.00,-97.00
12:45 - 13:00,-24.00,0.00,10.59,0.00,0.38,0.00,-126.00
13:00 - 13:15,-115.00,-10.00,10.58,0.00,1.35,0.00,-194.00
13:15 - 13:30,-127.00,-12.00,9.62,0.00,1.83,0.00,-186.00
13:30 - 13:45,-103.00,-15.00,8.66,0.00,2.02,0.00,-176.00
13:45 - 14:00,-99.00,-15.00,8.65,0.00,3.85,0.00,-146.00
14:00 - 14:15,-50.00,0.00,8.66,0.00,0.00,0.00,-110.00
14:15 - 14:30,-34.00,43.29,8.66,0.00,1.15,0.00,-111.00
14:30 - 14:45,0.00,51.94,14.43,0.00,2.50,0.00,-89.00
14:45 - 15:00,-31.00,55.78,14.43,0.00,3.66,0.00,-69.00
15:00 - 15:15,-19.00,64.44,14.43,0.00,2.89,0.00,-33.00
15:15 - 15:30,0.00,66.37,14.43,0.00,5.87,0.00,-42.00
15:30 - 15:45,0.00,60.60,14.43,0.00,5.48,0.00,-50.00
15:45 - 16:00,-48.00,45.21,14.43,0.00,2.21,0.00,-86.00
16:00 - 16:15,-49.00,87.53,13.47,0.00,3.17,0.00,-60.00
