Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,123.02,-23.00,13.07,-30.00,0.00,-145.00
00:15 - 00:30,98.04,-12.00,12.97,-30.00,0.00,-140.00
00:30 - 00:45,57.67,-11.00,12.78,-30.00,0.00,-95.00
00:45 - 01:00,27.88,-30.00,12.49,-30.00,0.00,-125.00
01:00 - 01:15,-6.00,24.02,12.21,-30.00,0.00,-125.00
01:15 - 01:30,-39.00,48.06,12.01,-30.00,0.00,-120.00
01:30 - 01:45,-96.00,29.79,11.73,-30.00,0.00,-130.00
01:45 - 02:00,-146.00,9.61,11.53,-30.00,0.00,-170.00
02:00 - 02:15,-73.00,0.00,8.65,-30.00,0.00,-105.00
02:15 - 02:30,-47.00,0.00,8.65,-30.00,0.00,-110.00
02:30 - 02:45,-16.00,0.00,8.65,-30.00,0.00,-160.00
02:45 - 03:00,16.34,0.00,8.65,-30.00,0.00,-140.00
03:00 - 03:15,11.53,47.10,8.65,-30.00,0.00,-95.00
03:15 - 03:30,32.67,24.03,8.65,-30.00,0.00,-90.00
03:30 - 03:45,76.89,24.99,8.65,-30.00,0.00,-95.00
03:45 - 04:00,74.97,0.00,8.65,-30.00,0.00,-95.00
04:00 - 04:15,33.64,0.00,8.17,-47.00,0.00,-113.00
04:15 - 04:30,42.29,0.00,7.69,-48.00,0.00,-121.00
04:30 - 04:45,0.00,-13.00,6.73,-47.00,0.00,-145.00
04:45 - 05:00,0.00,-54.00,5.77,-48.00,0.00,-150.00
05:00 - 05:15,-12.00,-62.00,5.77,-47.00,0.00,-113.00
05:15 - 05:30,-12.00,-57.00,5.77,-47.00,0.00,-113.00
05:30 - 05:45,-76.00,-44.00,6.25,-46.00,0.00,-113.00
05:45 - 06:00,-17.00,-42.00,6.34,-46.00,0.00,-113.00
06:00 - 06:15,0.00,0.00,6.73,-43.00,0.00,-30.00
06:15 - 06:30,0.00,-79.00,7.40,-46.00,0.00,-25.00
06:30 - 06:45,-82.00,-69.00,8.46,-45.00,0.00,33.64
06:45 - 07:00,-15.00,-35.00,8.65,-45.00,0.00,33.64
07:00 - 07:15,36.52,4.81,9.61,-43.00,0.00,12.49
07:15 - 07:30,19.22,-48.00,9.61,-42.00,0.00,76.89
07:30 - 07:45,10.57,0.00,9.61,-39.00,0.00,-5.00
07:45 - 08:00,14.41,13.46,10.57,-38.00,0.00,-60.00
08:00 - 08:15,66.31,40.37,0.96,-37.00,0.00,-50.00
08:15 - 08:30,58.63,34.60,0.00,-21.00,0.00,-65.00
08:30 - 08:45,49.98,9.61,3.84,-10.00,0.00,-75.00
08:45 - 09:00,39.40,4.81,4.81,-10.00,0.00,-75.00
09:00 - 09:15,17.30,-10.00,5.77,-24.00,0.00,-75.00
09:15 - 09:30,53.82,0.00,5.77,-10.00,0.00,-30.00
09:30 - 09:45,73.04,0.00,4.81,-10.00,0.00,-35.00
09:45 - 10:00,107.65,9.61,3.84,0.00,0.00,-25.00
