Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,12.49,0.00,-1.30,0.00,-75.00
00:15 - 00:30,18.25,0.00,-1.30,0.00,-44.00
00:30 - 00:45,14.41,0.00,-1.30,0.00,-63.00
00:45 - 01:00,12.49,0.00,-1.30,0.00,-70.00
01:00 - 01:15,14.41,0.00,-1.30,0.00,-80.00
01:15 - 01:30,13.45,0.00,-1.30,0.00,-89.00
01:30 - 01:45,-17.00,0.00,-1.30,3.55,-100.00
01:45 - 02:00,-26.00,0.00,-1.30,3.55,-106.00
02:00 - 02:15,-16.00,0.00,-1.30,3.55,-82.00
02:15 - 02:30,-67.00,0.00,-1.30,3.55,-80.00
02:30 - 02:45,0.00,0.00,-1.30,3.55,-120.00
02:45 - 03:00,-11.00,0.00,-1.30,3.55,-120.00
03:00 - 03:15,-17.00,0.00,-1.30,3.55,-96.00
03:15 - 03:30,-4.00,0.00,-1.30,3.55,-98.00
03:30 - 03:45,-15.00,0.00,-1.30,3.55,-118.00
03:45 - 04:00,-20.00,0.00,-1.30,3.55,-115.00
04:00 - 04:15,-18.00,0.00,-1.30,3.84,-112.00
04:15 - 04:30,-14.00,0.00,-1.30,4.80,-103.00
04:30 - 04:45,15.38,0.00,-1.30,6.72,-53.00
04:45 - 05:00,24.01,0.00,-1.30,8.65,-61.00
05:00 - 05:15,30.74,0.00,-1.30,8.65,-60.00
05:15 - 05:30,32.66,0.00,-1.30,10.86,-58.00
05:30 - 05:45,48.03,0.00,-1.30,12.78,-47.00
05:45 - 06:00,48.03,0.00,-1.30,13.45,-35.00
06:00 - 06:15,36.51,0.00,-1.30,14.41,-106.00
06:15 - 06:30,35.55,0.00,-1.30,15.37,-119.00
06:30 - 06:45,47.08,0.00,-1.30,16.33,-120.00
06:45 - 07:00,46.12,0.00,-1.30,17.29,-124.00
07:00 - 07:15,40.35,0.00,-1.30,19.21,-117.99
07:15 - 07:30,22.10,0.00,-1.30,19.21,-126.00
07:30 - 07:45,-18.00,0.00,-1.30,20.17,-108.00
07:45 - 08:00,-12.00,0.00,-1.30,20.17,-89.00
08:00 - 08:15,54.76,-19.00,-1.30,18.25,-23.00
08:15 - 08:30,58.61,-25.00,-1.30,17.29,-10.00
08:30 - 08:45,107.60,-21.00,-1.30,17.29,86.46
08:45 - 09:00,112.41,-20.00,-1.30,17.29,112.40
09:00 - 09:15,168.12,0.00,-0.30,12.49,122.01
09:15 - 09:30,186.38,0.00,-0.30,12.49,110.48
09:30 - 09:45,109.51,-12.00,-0.30,12.49,89.35
09:45 - 10:00,43.23,-22.00,-0.30,12.49,91.27
10:00 - 10:15,12.49,-5.00,-0.30,11.53,78.77
10:15 - 10:30,9.61,0.00,-0.30,10.57,92.22
10:30 - 10:45,10.57,0.00,-0.30,10.57,97.99
10:45 - 11:00,10.57,0.00,-0.30,10.57,89.34
11:00 - 11:15,-12.00,0.00,-0.30,8.17,81.66
11:15 - 11:30,-16.00,0.00,-0.30,7.69,62.44
11:30 - 11:45,-37.00,-25.00,-0.30,7.40,38.43
11:45 - 12:00,-32.00,-15.00,-0.30,6.72,33.63
12:00 - 12:15,-10.00,0.00,-0.30,8.65,38.42
12:15 - 12:30,-25.00,0.00,-0.30,8.65,33.62
12:30 - 12:45,-26.00,-29.00,-0.30,8.65,19.21
12:45 - 13:00,-46.00,-31.00,-0.30,8.65,28.82
13:00 - 13:15,0.00,-51.00,0.00,8.65,57.64
13:15 - 13:30,0.00,-45.00,-0.17,8.36,38.43
13:30 - 13:45,0.00,0.00,-0.30,7.21,28.82
13:45 - 14:00,18.26,0.00,-0.30,6.72,9.61
14:00 - 14:15,17.29,-8.00,-0.30,7.69,43.23
14:15 - 14:30,37.47,-5.00,-0.30,7.69,43.22
14:30 - 14:45,-61.00,-13.00,-0.30,7.01,38.43
