Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,170.97,0.00,-0.50,15.46,-58.00,0.39,0.00,106.26
00:15 - 00:30,155.52,0.00,-0.50,15.46,-58.00,0.00,0.00,106.26
00:30 - 00:45,145.87,0.00,-0.50,14.49,-56.00,0.00,0.00,91.77
00:45 - 01:00,159.39,0.00,-0.50,14.49,-59.00,0.00,0.00,91.77
01:00 - 01:15,138.14,0.00,-0.50,14.49,-57.00,0.00,0.00,57.96
01:15 - 01:30,140.07,0.00,-0.50,14.49,-61.00,0.00,0.00,57.96
01:30 - 01:45,145.87,0.00,-0.50,16.42,-60.00,0.00,0.00,53.13
01:45 - 02:00,146.83,0.00,-0.50,16.42,-61.00,0.00,0.00,53.13
02:00 - 02:15,158.42,0.00,-0.50,15.46,-61.00,0.00,0.00,41.54
02:15 - 02:30,231.84,0.00,-0.50,15.46,-53.00,0.00,0.00,37.67
02:30 - 02:45,273.38,0.00,-0.50,14.49,-55.00,0.00,0.00,117.85
02:45 - 03:00,99.50,0.00,-0.50,14.49,-55.00,0.00,0.00,18.35
03:00 - 03:15,21.25,-30.00,-0.50,13.52,-56.00,0.00,0.00,51.20
03:15 - 03:30,0.00,-28.00,-0.50,13.52,-64.00,0.00,0.00,52.17
03:30 - 03:45,7.73,-13.00,-0.50,13.52,-65.00,0.00,0.00,87.91
03:45 - 04:00,0.00,-25.00,-0.50,13.52,-63.00,0.00,0.00,88.88
04:00 - 04:15,138.14,0.00,-0.50,13.52,-64.00,0.00,0.00,101.43
04:15 - 04:30,140.07,0.00,-0.50,13.52,-63.99,0.00,0.00,113.99
04:30 - 04:45,139.11,0.00,-0.50,13.52,-65.00,0.00,0.00,77.28
04:45 - 05:00,136.21,0.00,-0.50,13.52,-67.00,0.00,0.00,121.72
05:00 - 05:15,101.41,0.00,-0.50,14.49,-69.00,0.00,0.00,37.67
05:15 - 05:30,100.46,0.00,-0.50,14.49,-68.00,0.00,0.00,58.93
05:30 - 05:45,67.63,-15.00,-0.50,13.52,-71.00,0.00,0.00,16.42
05:45 - 06:00,63.76,-15.00,-0.50,13.52,-68.00,0.00,0.00,79.21
06:00 - 06:15,78.25,36.71,-0.50,14.49,-66.00,0.00,0.00,100.46
06:15 - 06:30,61.82,31.88,-0.50,14.49,-59.00,0.00,0.00,99.50
06:30 - 06:45,57.96,33.81,-0.50,14.49,-61.00,0.00,0.00,67.62
06:45 - 07:00,53.13,32.84,-0.50,15.46,-58.00,0.00,0.00,-16.00
07:00 - 07:15,-7.00,26.08,0.00,15.46,0.00,0.00,0.00,-3.00
07:15 - 07:30,-48.00,14.49,0.00,16.42,0.00,0.00,0.00,33.81
07:30 - 07:45,39.61,0.00,-0.50,17.39,-53.00,0.00,0.00,21.25
07:45 - 08:00,49.27,0.00,-0.50,18.35,-52.00,0.00,0.00,23.18
08:00 - 08:15,39.60,-15.00,-0.50,11.59,-49.00,0.00,0.00,29.95
08:15 - 08:30,42.51,-15.00,-0.50,13.52,-50.00,0.00,0.00,42.50
08:30 - 08:45,0.00,-20.00,-0.50,14.49,-47.00,0.00,0.00,9.66
08:45 - 09:00,0.00,-18.00,-0.50,15.46,-43.00,0.00,0.00,4.83
09:00 - 09:15,0.00,0.00,-0.50,14.49,-104.00,0.00,0.00,14.49
09:15 - 09:30,0.00,0.00,-0.50,14.49,-87.00,0.00,0.00,16.42
09:30 - 09:45,-19.00,9.66,-0.50,15.46,-71.00,0.00,0.00,9.66
09:45 - 10:00,-9.00,9.66,-0.50,15.45,-58.00,0.00,0.00,5.80
10:00 - 10:15,21.25,-101.00,-0.50,13.52,-49.00,0.00,0.00,62.80
10:15 - 10:30,0.00,-106.00,-0.50,13.52,-41.00,0.00,0.00,62.79
