Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,-10.00,-1.30,1.54,0.00,7.72
00:15 - 00:30,0.00,-10.00,-1.30,1.25,0.00,7.72
00:30 - 00:45,26.03,-6.00,-1.30,1.25,0.00,0.00
00:45 - 01:00,40.49,-9.00,-1.30,1.06,0.00,-7.00
01:00 - 01:15,30.86,0.00,-1.30,0.96,0.00,-34.00
01:15 - 01:30,56.88,-5.00,-1.30,0.96,0.00,3.86
01:30 - 01:45,42.43,-10.00,-1.30,0.96,0.00,9.64
01:45 - 02:00,36.64,-10.00,-1.30,0.96,0.00,13.50
02:00 - 02:15,67.49,0.00,-1.30,0.87,0.00,14.46
02:15 - 02:30,77.13,0.00,-1.30,0.77,0.00,8.68
02:30 - 02:45,60.74,0.00,-1.30,0.77,0.00,43.38
02:45 - 03:00,59.78,0.00,-1.30,0.67,0.00,33.74
03:00 - 03:15,69.42,0.00,-1.30,0.67,0.00,22.17
03:15 - 03:30,73.28,0.00,-1.30,0.67,0.00,22.17
03:30 - 03:45,78.10,0.00,-1.30,0.77,0.00,19.28
03:45 - 04:00,82.92,0.00,-1.30,0.77,0.00,17.35
04:00 - 04:15,94.48,0.00,-1.30,0.96,0.00,23.14
04:15 - 04:30,79.06,0.00,-1.30,1.45,0.00,26.99
04:30 - 04:45,92.56,14.46,-1.30,1.54,0.00,44.35
04:45 - 05:00,94.49,14.46,-1.30,2.31,0.00,45.31
05:00 - 05:15,136.90,56.88,-1.30,3.57,0.00,54.95
05:15 - 05:30,135.93,27.96,-1.30,5.98,0.00,27.96
05:30 - 05:45,132.09,28.92,-1.30,8.00,0.00,-31.00
05:45 - 06:00,126.30,19.28,-1.30,8.48,0.00,-20.00
06:00 - 06:15,75.20,-13.00,-1.30,10.03,0.00,-15.00
06:15 - 06:30,69.42,-56.00,-1.30,11.47,0.00,-18.00
06:30 - 06:45,156.18,-40.00,-1.30,11.67,0.00,-18.00
06:45 - 07:00,158.11,0.00,-1.30,12.05,0.00,9.64
07:00 - 07:15,194.74,13.50,-1.30,12.15,0.00,-2.00
07:15 - 07:30,208.25,0.00,-1.30,12.24,0.00,0.00
07:30 - 07:45,155.22,0.00,-1.30,12.44,0.00,-14.00
07:45 - 08:00,182.22,0.00,-1.30,11.95,0.00,-8.00
08:00 - 08:15,203.43,-10.00,-1.30,10.89,0.00,-17.00
08:15 - 08:30,208.25,33.74,-1.30,9.35,0.00,-2.00
08:30 - 08:45,238.14,38.56,-1.30,13.98,0.00,49.17
08:45 - 09:00,221.74,33.74,-1.30,13.50,0.00,27.96
09:00 - 09:15,175.47,18.32,-0.30,12.82,0.00,50.13
09:15 - 09:30,183.17,7.71,-0.30,12.15,0.00,48.21
09:30 - 09:45,187.04,30.85,-0.30,11.47,0.00,109.91
09:45 - 10:00,185.10,29.89,-0.30,11.09,0.00,106.05
10:00 - 10:15,161.01,38.56,-0.30,10.51,0.00,96.41
10:15 - 10:30,148.47,38.56,-0.30,10.03,0.00,86.77
10:30 - 10:45,97.38,33.74,-0.30,9.64,0.00,72.31
10:45 - 11:00,82.91,28.92,-0.30,8.77,0.00,98.35
11:00 - 11:15,52.06,0.00,-0.30,8.00,0.00,67.49
11:15 - 11:30,56.88,9.64,-0.30,7.52,0.00,77.13
11:30 - 11:45,32.78,0.00,-0.30,7.71,0.00,48.21
11:45 - 12:00,26.03,0.00,-0.30,7.71,0.00,48.21
12:00 - 12:15,-17.00,-30.00,-0.30,7.71,0.00,9.64
12:15 - 12:30,-64.00,-65.00,-0.30,7.71,0.00,0.00
12:30 - 12:45,-89.00,-34.00,-0.30,0.96,0.00,-25.00
12:45 - 13:00,-101.00,-35.00,-0.30,0.96,0.00,-25.00
13:00 - 13:15,-124.00,-80.00,-0.30,0.96,0.00,-56.00
13:15 - 13:30,-131.00,-77.00,-0.30,0.96,0.00,-50.00
13:30 - 13:45,-42.00,-42.00,-0.30,0.00,0.00,-80.00
13:45 - 14:00,-23.00,-42.00,-0.30,0.00,0.00,-80.00
14:00 - 14:15,-72.00,-72.00,-0.30,0.00,0.00,-69.00
14:15 - 14:30,-73.00,-76.00,-0.30,0.00,0.00,-68.00
14:30 - 14:45,-62.00,-46.00,-0.30,0.48,0.00,-53.00
14:45 - 15:00,-28.00,-33.00,-0.30,0.96,0.00,-36.00
15:00 - 15:15,21.21,-45.00,-0.30,1.45,0.00,-94.00
15:15 - 15:30,53.99,-45.00,-0.30,1.93,0.00,-89.00
15:30 - 15:45,27.00,-35.00,-0.30,2.41,0.00,-99.00
15:45 - 16:00,50.14,-77.00,-0.30,2.89,0.00,-125.00
16:00 - 16:15,-56.00,-103.00,-0.30,3.86,0.00,-80.00
16:15 - 16:30,-74.00,-113.00,-0.30,4.82,0.00,-90.00
16:30 - 16:45,-68.00,-115.00,-0.10,5.30,0.00,-102.00
16:45 - 17:00,-56.00,-119.00,-0.10,6.27,0.00,-116.00
17:00 - 17:15,-43.00,-37.00,-0.10,7.23,0.00,41.46
17:15 - 17:30,-60.00,-37.00,-0.10,8.19,0.00,35.68
17:30 - 17:45,-60.00,0.00,-0.10,9.64,1.25,44.35
17:45 - 18:00,-64.00,-24.00,-0.10,9.64,1.64,25.07
18:00 - 18:15,45.31,-15.00,-0.10,10.12,3.28,61.71
18:15 - 18:30,0.00,-42.00,-0.10,10.12,1.64,56.88
18:30 - 18:45,-21.00,-40.00,-0.10,10.12,1.45,41.46
18:45 - 19:00,-84.00,-60.00,-0.10,9.64,0.10,11.57
19:00 - 19:15,-112.00,-22.00,-0.10,9.16,0.00,-114.00
19:15 - 19:30,-90.00,-25.00,-0.08,8.68,0.00,-154.00
19:30 - 19:45,-75.00,0.00,-0.10,7.33,0.00,-135.00
19:45 - 20:00,-81.00,-5.00,-0.10,7.23,0.00,-141.00
20:00 - 20:15,65.56,9.64,-0.10,6.75,0.00,-132.00
20:15 - 20:30,9.64,4.82,-0.10,6.75,0.00,-96.00
20:30 - 20:45,34.70,0.00,-0.10,6.27,0.00,-68.00
20:45 - 21:00,29.89,0.00,-0.10,5.78,0.00,-55.00
21:00 - 21:15,104.13,0.00,-0.10,5.78,0.00,-56.00
21:15 - 21:30,73.27,0.00,-0.10,4.82,0.00,-51.00
21:30 - 21:45,44.35,-35.00,-0.10,3.86,0.00,-51.00
21:45 - 22:00,41.45,-40.00,-0.10,3.86,0.00,-46.00
22:00 - 22:15,82.91,-5.00,-0.10,2.89,0.00,-43.00
22:15 - 22:30,83.88,-25.00,-0.10,2.89,0.00,-53.00
22:30 - 22:45,70.38,-14.00,-0.10,1.93,0.00,-45.00
22:45 - 23:00,69.41,-16.00,-0.10,1.93,0.00,-55.00
23:00 - 23:15,41.45,0.00,-0.10,1.45,0.00,-80.00
23:15 - 23:30,23.14,0.00,-0.10,0.96,0.00,-80.00
23:30 - 23:45,14.47,0.00,-0.10,0.96,0.00,-90.00
23:45 - 24:00,0.00,0.00,-0.10,0.96,0.00,-90.00
