Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-74.00,-99.00,-0.50,15.41,-48.00,0.00,-60.00
00:15 - 00:30,-72.00,-116.00,-0.50,15.41,-47.00,0.00,-20.00
00:30 - 00:45,-44.00,-142.00,-0.50,14.45,-48.00,0.00,-13.00
00:45 - 01:00,-41.00,-164.00,-0.50,14.45,-46.00,0.00,-15.00
01:00 - 01:15,0.00,-170.00,-0.50,14.45,-42.00,0.00,-20.00
01:15 - 01:30,0.00,-193.00,-0.50,14.45,-49.00,0.00,-25.00
01:30 - 01:45,0.00,-168.00,-0.50,13.48,-49.00,0.00,81.86
01:45 - 02:00,0.00,-189.00,-0.50,13.48,-50.00,0.00,105.93
02:00 - 02:15,0.00,-209.00,-0.50,13.00,-48.00,0.00,110.75
02:15 - 02:30,0.00,-230.00,-0.50,13.00,-48.00,0.00,110.75
02:30 - 02:45,0.00,-233.00,-0.50,13.00,-49.00,0.00,101.12
02:45 - 03:00,0.00,-248.00,-0.50,12.52,-47.00,0.00,105.93
03:00 - 03:15,-77.00,-94.00,-0.50,12.52,-45.00,0.00,-95.00
03:15 - 03:30,-34.00,-90.00,-0.50,12.52,-47.00,0.00,-31.00
03:30 - 03:45,-80.00,-77.00,-0.50,12.52,-48.00,0.00,-20.00
03:45 - 04:00,-99.00,-77.00,-0.50,12.52,-47.00,0.00,-24.00
04:00 - 04:15,-29.00,-42.00,-0.50,11.56,-47.00,0.00,-40.00
04:15 - 04:30,-33.00,-47.00,-0.50,11.56,-47.00,0.00,-45.00
04:30 - 04:45,-44.00,-27.00,-0.50,11.56,-47.00,0.00,-35.00
04:45 - 05:00,-49.00,-23.00,-0.50,11.56,-47.00,0.00,-35.00
05:00 - 05:15,-67.00,-15.00,-0.50,11.56,-47.00,0.00,-39.00
05:15 - 05:30,-72.00,-12.00,-0.50,11.56,-47.00,0.00,-39.00
05:30 - 05:45,-72.00,-18.00,-0.50,11.56,-47.00,0.00,-45.00
05:45 - 06:00,-75.00,-18.00,-0.50,11.56,-47.00,0.00,-35.00
06:00 - 06:15,-70.00,-18.00,-0.50,11.56,-47.00,0.00,-35.00
06:15 - 06:30,-78.00,0.00,-0.50,11.56,-47.00,0.00,-35.00
06:30 - 06:45,-58.00,-12.00,-0.50,12.52,-47.00,0.00,-25.00
06:45 - 07:00,-47.00,-61.00,-0.50,12.52,-47.00,0.00,-25.00
07:00 - 07:15,-187.00,0.00,-0.50,12.52,-32.00,0.00,-130.00
07:15 - 07:30,-167.00,0.00,-0.50,12.52,-36.00,0.00,-90.00
07:30 - 07:45,-120.00,-10.00,-0.50,12.52,-35.00,0.00,-80.00
07:45 - 08:00,-35.00,-13.00,-0.49,12.52,-34.00,0.00,-80.00
08:00 - 08:15,-2.00,-8.00,-0.50,4.82,-30.00,0.00,-80.00
08:15 - 08:30,-8.00,-136.00,-0.50,4.82,-34.00,0.00,-80.00
08:30 - 08:45,-27.00,-152.00,-0.50,4.82,-35.00,0.00,-100.00
08:45 - 09:00,-32.00,-152.00,-0.50,4.82,-36.00,0.00,-100.00
09:00 - 09:15,-35.00,-161.00,-0.04,3.85,-90.00,0.00,-75.00
