genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
24,0,0,0,7.4059986,0,0,0,11.8185496,,2.2003696,1.999569,2.2223058,1.6334032,0,0,0,10.0788402,5.1474599,1.5422836,2.7808352,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,7.0313958,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,5.7759702,3.6329722,
25,0,0,0,7.4059986,0,0,0,11.8185496,,2.2003696,1.999569,2.2223058,1.6334032,0,0,0,10.0788402,5.1447473,1.5422836,2.7808352,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,10.5479374,,,,,,,0.6445868,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
26,0,0,0,7.4059986,0,0,0,11.8185496,,2.2003696,4.733157,4.4446116,3.265119,0,0,0,10.0788402,5.1447473,3.079505,5.5616704,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,14.621321,,,,,,,2.7909596,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
27,0,0,0,7.4059986,0,0,0,11.8185496,,3.3005544,7.112391,6.6669174,4.9035844,0,0,0,10.0788402,5.1447473,4.6251634,8.3408182,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,19.734143,,,,,,,2.7909596,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
28,0,0,0,7.4059986,0,0,0,11.8185496,,3.3005544,7.112391,6.6669174,4.9035844,0,0,0,10.0788402,5.1447473,4.6251634,8.3408182,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,19.734143,,,,,,,2.7909596,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
29,0,0,0,7.4059986,0,0,0,11.8185496,,3.3005544,7.112391,6.6669174,4.9035844,0,0,0,10.0788402,5.1447473,4.6251634,8.3408182,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,23.682659,,,,,,,2.7909596,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
30,0,0,0,7.4059986,0,0,0,11.8185496,,3.3005544,7.112391,6.6669174,4.9035844,0,0,0,10.0788402,5.1447473,4.6251634,8.3408182,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,23.682659,,,,,,,2.7909596,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
31,0,0,0,7.4059986,0,0,0,11.8185496,,3.3005544,7.112391,6.6669174,4.9035844,0,0,0,10.0788402,5.1447473,4.6251634,8.3408182,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,22.1791856,,,,,,,2.7909596,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
32,0,0,0,6.9993352,0,0,0,11.8185496,,3.3005544,7.112391,6.6669174,4.9035844,0,0,0,10.0788402,5.1474599,4.6251634,8.3408182,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,19.734143,,,,,,,0.6024018,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
33,0,0,0,7.5123048,0,0,0,11.8185496,,1.1001848,4.741594,6.6669174,1.6334032,0,0,0,10.0788402,5.1474599,3.079505,5.5616704,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,15.7873144,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
34,0,0,0,7.4954308,0,0,0,11.8185496,,1.1001848,2.3606726,6.6669174,0,0,0,0,10.0788402,5.1474599,1.5422836,2.7808352,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,11.8404858,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
35,0,0,0,7.4954308,0,0,0,11.8185496,,1.1001848,2.3606726,2.2223058,0,0,0,0,10.0788402,5.1474599,1.5422836,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,7.8936572,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
36,0,0,0,7.4954308,0,0,0,11.8185496,,1.1001848,2.2661782,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,3.9468286,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
37,0,0,0,7.4599954,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.518229,7.1528886,4.454736,0,6.707415,3.6329722,
38,0,0,0,7.4228726,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
39,0,0,0,7.3520018,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
40,0,0,0,7.3520018,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0.9719424,0,,,3.518229,7.1528886,4.454736,0,5.9615842,3.6329722,
41,0,0,0,7.3351278,0,0,0,11.8185496,,1.1001848,0,0,0,0,0,0,10.0788402,5.1474599,0,0,3.071068,211.73322775,,,7.6827322,25.024142,,,,0,,0,,3.96539,0,,,,,,,0,0,0,4.3686786,15.52408,20.0395624,0,,,0,6.83397,2.6677794,,,23.5712906,,0,,0,0,,,3.518229,7.1528886,4.454736,0,6.1471982,3.6329722,
