Column1,Block,NR/2024/23842/C,NR/2024/23849/C,NR/2024/23848/C,NR/2024/23769/A/42296,NR/2024/23807/A/42295,NR/2024/23420/A/42299,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/9061,NR/2024/23843/C,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5444,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,WR/2024/24788/A/42429,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,Total
,,NVVNL,SJVNL,SJVNL,IEXL,IEXL,ITCLH,PTC,NDMC,NDMC,DIAPL,PTC,NDMC,DELHI,NDMC,NDMC,NDMC,PUNJAB,APPCPL,MANIKARAN,APPCPL,BAWANA_GAS,
,,NA,NA,NA,KARNATAKA_STATE,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,HIMACHAL_STATE,DELHI_UT,NA,HIMACHAL_STATE,NA,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,SOLAPUR_SOLAR,TPSL_BKN2,RSRPL_BKN,NSLSUGAR,KGEPL_HP,ITCWIND,BRPL,RKM_POWER,JPL2,GBHHPL,BYPL,RKM_POWER,CHANJUII,TRN_ENERGY,JITPL,SKS_Raigarh,BAWANA_GAS,BRPL,BRPL,BYPL,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,GOA_State,MSEB_State,MSEB_State,HARYANA_STATE,
,,MES_Delhi,NDMC,NDMC,MES_Delhi,MES_Delhi,ITCLH,HP,NDMC,NDMC,DIAPL,HP,NDMC,TPDDL,NDMC,NDMC,NDMC,PUNJAB,GOA_Beneficiary,AEML,AEML,HARYANA,
,,West-North,North-North,North-North,South-West-North,North-North,South-West-North,North-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,East-North,West-North,North-North,North-West,North-West,North-West,North-North,
1,00:00-00:15,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

2,00:15-00:30,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

3,00:30-00:45,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

4,00:45-01:00,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

5,01:00-01:15,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

6,01:15-01:30,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

7,01:30-01:45,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

8,01:45-02:00,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

9,02:00-02:15,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

10,02:15-02:30,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

11,02:30-02:45,0,0,0,5.76,4.8,0.48,285.39,26.17,26.17,1.92,95.12,26.17,3.75,7.2,17.45,8.72,26.91,0,0,0,26.91,562.9200000000001

