Block,Time,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31032024/ ChanjuII,NR/30092023/31122025/SH-07,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01012024/31012024/52,NR/01012024/31012024/HP-27,NR/01102023/05012040/L_NR_2020_02,NR/05012024/05012024/DD20240105NR22085,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,NR/05012024/05012024/DD20240105NR22086,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/05012024/05012024/DD20240105NR22091,NR/01102023/30042040/GNA_LT_35,NR/01012024/31012024/HP-28,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01012024/15012024/IEX_231227_05966,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01102023/22052037/LT-59,NR/01012024/15012024/IEX_231227_05965,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31012024/HP-26,NR/01102023/31052040/LT-31,NR/01012024/15012024/HPX-TAMDLY-271223-05546,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/02012046/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,66.120000,1.070000,8.190000,1.660000,30.850000,0.000000,0.000000,0.000000,57.410000,1.570000,0.000000,6.750000,5.980000,149.110000,0.000000,96.400000,119.540000,31.810000,48.200000,0.000000,0.000000,24.570000,11.570000,48.200000,18.320000,0.850000,96.400000,53.020000,152.770000,0.000000,48.200000,5.780000,11.35,0,0,34.03,7.01,22.55,0,11.55,22.55,0,0,0,11.34,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,66.120000,1.070000,8.190000,1.660000,30.850000,0.000000,0.000000,0.000000,57.410000,1.570000,0.000000,6.750000,5.980000,149.110000,0.000000,96.400000,113.750000,31.810000,48.200000,0.000000,0.000000,24.570000,11.570000,48.200000,18.320000,0.850000,96.400000,53.020000,152.770000,0.000000,48.200000,5.780000,11.48,0,0,34.44,7.01,21.88,0,11.1,21.88,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,70.280000,1.070000,8.190000,1.660000,5.980000,0.000000,0.000000,0.000000,57.410000,1.570000,0.000000,6.750000,5.980000,149.110000,0.000000,96.400000,110.860000,31.810000,48.200000,0.000000,0.000000,24.570000,11.570000,48.200000,18.320000,0.850000,96.400000,53.020000,152.770000,0.000000,48.200000,5.780000,11.4,0,0,34.19,7.01,21.55,0,11.07,21.55,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,70.280000,1.070000,8.190000,1.660000,5.980000,0.000000,0.000000,0.000000,57.410000,1.570000,0.000000,6.750000,5.980000,149.110000,0.000000,96.400000,100.260000,31.810000,48.200000,0.000000,0.000000,24.570000,11.570000,48.200000,18.320000,0.850000,96.400000,53.020000,152.770000,0.000000,48.200000,5.780000,11.18,0,0,33.53,7.01,21.22,0,10.66,21.22,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,70.280000,1.030000,8.190000,1.660000,5.980000,0.000000,0.000000,0.000000,57.410000,1.570000,0.000000,6.750000,5.980000,149.110000,0.000000,96.400000,100.260000,31.810000,48.200000,0.000000,0.000000,24.570000,11.570000,48.200000,18.320000,0.850000,96.400000,53.020000,152.770000,0.000000,48.200000,5.780000,10.56,0,0,31.69,7.01,16.9,0,10.44,16.9,0,0,0,10.57,0,0,0,0,0,0,0,0,0,0

