Time,Block,NR/2023/13908/A,NR/2023/13254/A,NR/2023/16291/F,NR/2023/16799/C,NR/2023/13383/A,NR/2023/16750/D,NR/2023/13519/A,NR/2023/13636/A,NR/2023/13165/A,NR/2023/15770/A,NR/2023/16751/D,NR/2023/13385/A,NR/2023/16520/F,NR/2023/16291/F/II,NR/2023/16077/A,NR/2023/16752/D,NR/2023/13242/A,NR/2023/16795/C,NR/2023/13150/A,NR/2023/16437/F,NR/2023/16185/A,NR/2023/16073/A,NR/2023/16191/A,NR/2023/13387/A,NR/2023/16789/D,NR/2023/13376/A,NR/2023/16796/C,NR/2023/13148/A,NR/2023/13253/A,ER/2023/10609/C,NR/2023/16790/D,Total
,,TPTCL,APPCPL,ITCLH,TPDDL,APPCPL,IEXL,STATKRAFT,NVVNL,GMRETL,NVVNL,IEXL,NVVNL,IEXL,ITCLH,APPCPL,IEXL,APPCPL,SJVNL,KEIPL,NVVNL,MANIKARAN,APPCPL,MANIKARAN,NVVNL,KEIPL,APPCPL,GBHHPL,KEIPL,APPCPL,IEXL,NVVNL,Total

,,NA,MEGHALAYA,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,NA,MEGHALAYA,NA,TAMIL NADU,MP,UTTAR PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,NA,SIKKIM,NA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,NA,UTTAR PRADESH,MEGHALAYA,HIMACHAL PRADESH,MEGHALAYA,UTTARAKHAND,DELHI,NA,
,,JPL,Meghalaya_Ben,ITCWIND,CHANJUII,HP,OPGPGUNIT1TN,HP,KAMENG,Meghalaya_Ben,SKS Raigarh,OPGPGPLU4TN,JP BINA,PPGCL,ITCWIND,HP,Teesta_III,SIKKIM,DIKCHU,Meghalaya_Ben,KAMENG,HP,GOA_Beneficiary,HP,JPNIGRIE_JNSTPP,LAPL-UP,Meghalaya_Ben,GBHHPL,Meghalaya_Ben,UTTARAKHAND,BYPL,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,WEST BENGAL,DELHI,
,,BRPL,BYPL,ITCLH,TPDDL,BYPL,BRPL,BYPL,BRPL,BYPL,NDMC,BRPL,BRPL,BRPL,ITCLH,BRPL,BRPL,BYPL,NDMC,BYPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,DIAPL,BYPL,BYPL,IPCL_WB,MES (Delhi),
,,West-North,North East-East-North,South-West-North,North-North,North-North,South-East-North,North-North,North East-East-North,North East-East-North,West-North,South-East-North,West-North,North-North,South-East-North,North-North,East-North,East-North,East-North,North East-East-North,North East-East-North,North-North,West-North,North-North,West-North,North-North,North East-East-North,North-North,North East-East-North,North-North,North-East,West-North,
1,00:00-00:15,175.050000,19.610000,0.870000,10.520000,30.020000,4.830000,58.430000,25.020000,22.230000,29.000000,67.670000,50.030000,0.000000,0.000000,70.040000,193.340000,29.580000,0.000000,63.030000,193.340000,56.550000,24.170000,194.450000,100.050000,0.000000,20.300000,8.070000,36.470000,48.340000,0.000000,0,1531.01

2,00:15-00:30,175.050000,19.610000,0.870000,10.520000,30.020000,4.830000,58.430000,25.020000,22.230000,29.000000,67.670000,50.030000,0.000000,0.000000,70.040000,193.340000,29.580000,0.000000,63.030000,193.340000,56.550000,24.170000,194.450000,100.050000,0.000000,20.300000,8.070000,36.470000,48.340000,0.000000,0,1531.01

3,00:30-00:45,175.050000,19.610000,0.870000,10.520000,30.020000,4.830000,58.430000,25.020000,22.230000,29.000000,67.670000,50.030000,0.000000,0.000000,70.040000,193.340000,29.580000,0.000000,63.030000,193.340000,56.550000,24.170000,194.450000,100.050000,0.000000,20.300000,8.070000,36.470000,48.340000,0.000000,0,1531.01

4,00:45-01:00,175.050000,19.610000,0.870000,10.520000,30.020000,4.830000,58.430000,25.020000,22.230000,29.000000,67.670000,50.030000,0.000000,0.000000,70.040000,193.340000,29.580000,0.000000,63.030000,193.340000,56.550000,24.170000,194.450000,100.050000,0.000000,20.300000,8.070000,36.470000,48.340000,0.000000,0,1531.01

5,01:00-01:15,175.050000,19.610000,0.500000,10.430000,30.020000,4.830000,58.430000,25.020000,22.230000,29.000000,67.670000,50.030000,0.000000,0.130000,70.040000,193.340000,29.580000,0.000000,63.030000,193.340000,56.550000,24.170000,194.450000,100.050000,0.000000,20.300000,8.070000,36.470000,48.340000,0.000000,0,1530.68

6,01:15-01:30,175.050000,19.610000,0.500000,10.430000,30.020000,4.830000,58.430000,25.020000,22.230000,29.000000,67.670000,50.030000,0.000000,0.130000,70.040000,193.340000,29.580000,0.000000,63.030000,193.340000,56.550000,24.170000,194.450000,100.050000,0.000000,20.300000,8.070000,36.470000,48.340000,0.000000,0,1530.68

7,01:30-01:45,175.050000,19.610000,0.500000,10.430000,30.020000,4.830000,58.430000,25.020000,22.230000,29.000000,67.670000,50.030000,0.000000,0.130000,70.040000,193.340000,29.580000,0.000000,63.030000,193.340000,56.550000,24.170000,194.450000,100.050000,0.000000,20.300000,8.070000,36.470000,48.340000,0.000000,0,1530.68

