Block,Time,SALAL,TEHRI,RIHAND1,RAPPC,DADRT2,DHAULIGNGA,RIHAND3,CHAMERA3,ANTA_RF,NAPP,RIHAND2,BSIUL,DADRI_GF,ANTA_LF,AURY_RF,AURY_GF,TANDA2,KISHANGANGA,PARBATI3,AURY_CRF,ANTA_GF,SINGRAULI_HYDRO,UNCHAHAR1,URI2,UNCHAHAR4,CHAMERA1,URI,TANAKPUR,RAMPUR,DADRI_RF,DADRI_CRF,UNCHAHAR3,ANTA_CRF,KOTESHWR,SEWA2,RAPPB,DADRI_LF,AURY_LF,CHAMERA2,SINGRAULI,DULHASTI,JHAJJAR,KOLDAM,UNCHAHAR2,NJPC,SASAN,KHSTPP-II,TALA,KHSTPP-I,BRBCL,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,51.618596,22.930576,45.841779,32.748337,664.803280,0.000000,60.876730,33.636541,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,27.776474,2.984013,27.134934,33.583183,1.484474,0.907221,0.000000,0.000000,26.690964,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,46.836284,144.844329,38.097125,630.812457,0.000000,43.366328,23.674144,404.406189,143.213310,0.000000,44.807592,19.303549,13.809510,0,0,0,0,0

2,00:15-00:30,51.618596,22.930576,45.841779,32.748337,664.803280,0.000000,60.876730,33.636541,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,27.776474,2.984013,27.134934,33.583183,1.484474,0.907221,0.000000,0.000000,26.690964,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,46.836284,144.844329,38.097125,630.812457,0.000000,43.366328,23.674144,404.406189,143.213310,0.000000,44.807592,19.314000,13.809510,0,0,0,0,0

3,00:30-00:45,51.618596,22.930576,75.389048,32.748337,664.803280,0.000000,60.876730,33.636541,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,33.949023,2.984013,27.134934,33.583183,1.484474,0.907221,0.000000,0.000000,26.690964,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,46.836284,144.844329,38.097125,630.812457,0.000000,43.366328,23.674144,404.406189,143.213310,0.000000,44.807592,17.361235,13.809510,0,0,0,0,0

4,00:45-01:00,51.618596,22.930576,78.113152,32.748337,664.803280,0.000000,60.876730,33.636541,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,33.949023,2.984013,27.134934,33.583183,1.484474,0.907221,0.000000,0.000000,26.690964,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,46.836284,144.844329,38.097125,630.812457,0.000000,43.366328,23.674144,404.406189,143.213310,0.000000,44.807592,14.872933,13.809510,0,0,0,0,0

5,01:00-01:15,51.618596,22.930576,68.073062,32.748337,664.797537,0.000000,60.868071,33.636541,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,33.949023,2.984013,27.134934,33.583183,1.484474,0.907221,0.000000,0.000000,26.682291,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,46.836284,144.835783,38.097125,630.804897,0.000000,43.359930,23.674144,404.406189,143.213310,0.000000,44.807592,13.767851,13.809510,0,0,0,0,0

6,01:15-01:30,51.618596,22.930576,70.852057,32.748337,664.797537,0.000000,60.868071,22.401763,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,33.949023,2.984013,27.134934,33.583183,1.484474,0.907221,0.000000,0.000000,26.682291,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,46.836284,144.835783,38.097125,630.804897,0.000000,43.359930,23.674144,404.406189,143.213310,0.000000,44.807592,14.613251,13.809510,0,0,0,0,0

7,01:30-01:45,51.618596,22.930576,70.852057,32.748337,664.797537,0.000000,60.868071,22.401763,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,33.949023,2.984013,27.134934,33.583183,0.618531,0.907221,0.000000,0.000000,26.682291,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,31.224190,144.835783,38.097125,630.804897,0.000000,43.359930,23.674144,404.406189,143.213310,0.000000,44.807592,13.887152,13.809510,0,0,0,0,0

8,01:45-02:00,51.618596,22.930576,72.932947,32.748337,664.797537,0.000000,60.868071,22.401763,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,33.949023,2.984013,27.134934,33.583183,0.618531,0.907221,0.000000,0.000000,26.682291,0.000000,10.019445,18.155756,0.000000,0.000000,0.000000,31.224190,144.835783,38.097125,630.804897,0.000000,43.359930,23.674144,404.406189,143.213310,0.000000,44.807592,13.456535,13.809510,0,0,0,0,0

9,02:00-02:15,51.618596,22.930576,72.932947,32.748337,664.797537,0.000000,60.868071,22.401763,0.000000,49.329991,120.113766,0.000000,0.000000,0.000000,0.000000,0.000000,5.174307,5.369711,0.000000,0.000000,0.000000,0.752926,21.854080,33.949023,2.984013,27.134934,33.583183,0.618531,0.907221,0.000000,0.000000,26.682291,0.000000,10.019445,18.682542,0.000000,0.000000,0.000000,31.224190,144.835783,38.097125,630.804897,0.000000,43.359930,23.674144,404.406189,143.213310,0.000000,44.807592,13.680113,13.809510,0,0,0,0,0

