Block,Time Block,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,ANTA_CRF,AURY_RF,UNCHAHAR3,VALLURNTECL,TEHRI,TelanganaSTPP,UNCHAHAR2,URI2,TANDA2,URI,UNCHAHAR1,UNCHAHAR4,TALST2,TANAKPUR,TEHRIPSP,SINGRAULI_HYDRO,SINGRAULI,TALA,NNTPP,PARBATI3,NLCEXP,MAPS,NTPL,NLCIIST1,PARBATI2,NJPC,NLCIIST2,NLCTS2EXP,NAPP,KUDGI,KKNP,KISHANGANGA,KOTESHWR,KKNPPU2,KOLDAM,RAMPUR,RAPPB,RIHAND3,RSTPSU1TO6,RIHAND1,RAPPD,RIHAND2,RAPPC,RSTPSU7,SEWA2,SIMHST1,SALAL,SASAN,SIMHST2,DHAULIGNGA,CHAMERA2,BRBCL,DULHASTI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,KGSU3AND4,KHSTPP-II,JHAJJAR,KHSTPP-I,KGSU1AND2,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,26.01,0,72.8,0,38.63,36.05,2.94,50.45,18.58,0.77,0,12.58,0,0,108.68,19.29,0,54.43,0,0,0,0,47.46,169.37,0,0,23.72,0,0,4.47,39.09,0,8.31,5.46,0,126.06,0,45.55,23.63,120.7,63.2,0,17.67,0,81.73,403.08,0,40.91,45.4,18.22,51.91,294.01,40.61,18.85,32.7,0,93.98,263.62,43.87,0,18.41,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,26.01,0,72.8,0,42.02,36.05,2.94,50.45,20.46,1.46,0,12.58,0,0,108.68,19.29,0,54.43,0,0,0,0,47.46,169.37,0,0,23.72,0,0,4.47,39.09,0,8.31,5.46,0,126.06,0,45.55,23.63,120.7,63.2,0,17.67,0,81.73,403.48,0,40.91,45.4,14.57,51.91,294.02,40.61,18.85,32.7,0,93.98,263.62,43.87,0,18.41,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,26.01,0,72.8,0,42.02,36.05,2.94,29.78,20.46,1.46,0,12.58,0,0,108.68,19.13,0,54.43,0,0,0,0,47.46,169.37,0,0,23.72,0,0,4.47,39.09,0,8.31,5.46,0,126.06,0,45.55,23.63,120.7,63.2,0,17.67,0,81.73,403.48,0,40.91,45.4,12.89,51.91,363.9,40.61,18.85,32.7,0,93.98,263.62,43.87,0,18.41,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,26.01,0,72.8,0,42.02,36.05,2.94,29.78,20.46,1.46,0,12.58,0,0,108.68,19.13,0,54.43,0,0,0,0,47.46,169.37,0,0,23.72,0,0,4.47,39.09,0,8.31,5.46,0,126.06,0,45.55,23.63,120.7,63.2,0,17.67,0,81.73,403.48,0,40.91,45.4,13.11,51.91,371.09,40.61,18.85,32.7,0,93.98,263.62,43.87,0,18.41,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,22.51,0,72.8,0,36.39,24.03,2.94,34.04,17.77,1.46,0,12.58,0,0,108.68,24.5,0,54.43,0,0,0,0,47.46,169.37,0,0,23.72,0,0,4.47,39.09,0,8.31,5.46,0,126.06,0,45.55,23.63,120.7,63.2,0,17.67,0,81.73,403.48,0,40.91,45.4,12.56,51.91,371.09,40.61,12.56,32.7,0,93.98,240.5,43.87,0,18.41,0,0,0,0,0

