Block,Time,CHAMERA1,KKNP,KOLDAM,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,ANTA_RF,AURY_RF,DADRT2,NNTPP,PARBATI2,RIHAND2,SINGRAULI_HYDRO,TANDA2,DADRI_GF,KGSU1AND2,KISHANGANGA,KOTESHWR,MAPS,NLCTS2EXP,SASAN,SIMHST1,SINGRAULI,TEHRI,AURY_CRF,AURY_GF,DADRI_RF,DHAULIGNGA,DULHASTI,KUDGI,RIHAND3,TALST2,RAPPB,TALA,UNCHAHAR1,URI,CHAMERA3,JHAJJAR,RAMPUR,RAPPC,RSTPSU7,SALAL,ANTA_GF,AURY_LF,BSIUL,CHAMERA2,FSTPP I & II,KHSTPP-II,KKNPPU2,NTPL,RIHAND1,SIMHST2,URI2,VALLURNTECL,ANTA_CRF,DADRI_CRF,DADRI_LF,BRBCL,KGSU3AND4,KHSTPP-I,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,PARBATI3,RAPPD,RSTPSU1TO6,SEWA2,TANAKPUR,TelanganaSTPP,ANTA_LF
1,00:00-00:15,42.22,0,7.19,44.5,27.68,2.3,49.86,80.77,573.92,0,48.84,124.58,1.11,5.7,0,0,8.63,20.85,0,0,331.88,0,150.34,29.61,0,0,98.41,21.88,58.69,0,95.79,0,0,5.29,21.64,50.23,35.03,615.67,6.98,68.05,0,80.18,0,0,13.04,48.81,20.8,148.3,0,0,97.23,0,38.1,0,0,0,0,20,0,45.53,25.64,180.89,0,0,0,78.25,19.14,0,12.61,8.33,0,0

2,00:15-00:30,42.22,0,7.19,44.5,27.68,2.3,49.86,80.77,573.92,0,48.84,124.58,1.11,5.7,0,0,8.63,20.85,0,0,331.88,0,150.34,29.61,0,0,98.41,21.88,58.69,0,95.79,0,0,5.29,21.64,50.23,35.03,615.67,6.98,68.05,0,80.18,0,0,13.04,48.81,20.8,148.3,0,0,97.23,0,38.1,0,0,0,0,20,0,45.53,25.64,180.89,0,0,0,78.25,19.14,0,12.61,8.33,0,0

3,00:30-00:45,42.22,0,7.19,44.5,27.68,2.3,49.86,80.77,573.92,0,48.84,124.58,1.11,5.7,0,0,8.63,20.85,0,0,331.88,0,150.34,29.61,0,0,98.41,21.88,58.69,0,95.79,0,0,6.47,21.64,49.46,35.03,615.67,6.98,68.05,0,80.18,0,0,13.04,48.81,20.8,148.3,0,0,97.23,0,38.1,0,0,0,0,20,0,45.53,25.64,180.89,0,0,0,78.25,19.14,0,12.61,8.33,0,0

4,00:45-01:00,42.22,0,7.19,44.5,27.68,2.3,49.86,80.77,573.92,0,48.84,124.58,1.11,5.7,0,0,8.63,20.85,0,0,331.88,0,150.34,29.61,0,0,98.41,21.88,58.69,0,95.79,0,0,6.47,21.64,49.46,35.03,615.67,6.98,68.05,0,80.18,0,0,13.04,48.81,20.8,148.3,0,0,97.23,0,38.1,0,0,0,0,20,0,45.53,25.64,180.89,0,0,0,78.25,19.14,0,12.61,8.33,0,0

5,01:00-01:15,42.22,0,7.19,44.5,27.68,2.3,51.17,80.77,573.92,0,48.84,124.58,1.11,5.7,0,0,8.63,20.85,0,0,331.88,0,150.34,29.61,0,0,98.41,21.88,58.69,0,95.79,0,0,6.47,21.64,49.46,35.03,615.67,6.98,68.05,0,79.01,0,0,13.04,48.81,20.8,148.3,0,0,97.23,0,38.1,0,0,0,0,20,0,45.53,25.64,180.89,0,0,0,78.25,19.14,0,12.61,8.33,0,0

6,01:15-01:30,42.22,0,7.19,44.5,27.68,2.3,51.17,80.77,573.92,0,48.84,124.58,1.11,5.7,0,0,8.63,20.85,0,0,331.88,0,150.34,29.61,0,0,98.41,21.88,58.69,0,95.79,0,0,6.47,21.64,49.46,35.03,670.67,6.98,68.05,0,79.01,0,0,13.04,48.81,20.8,148.3,0,0,97.23,0,38.1,0,0,0,0,20,0,45.53,25.64,180.89,0,0,0,50.64,19.14,0,12.61,8.33,0,0

7,01:30-01:45,42.22,0,7.19,44.5,27.68,2.3,51.17,80.77,573.92,0,48.84,124.58,1.11,5.7,0,0,8.63,20.85,0,0,331.88,0,150.34,29.61,0,0,98.41,21.88,58.69,0,95.79,0,0,6.47,21.64,49.46,35.03,670.67,6.98,68.05,0,79.01,0,0,13.04,48.81,20.8,148.3,0,0,97.23,0,38.1,0,0,0,0,20,0,45.53,25.64,180.89,0,0,0,42.96,19.14,0,12.61,5.13,0,0

