Block,Time Block,UNCHAHAR2,ANTA_LF,URI,TEHRIPSP,UNCHAHAR1,ANTA_GF,UNCHAHAR4,VALLURNTECL,TEHRI,URI2,TelanganaSTPP,UNCHAHAR3,ANTA_CRF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,SINGRAULI_HYDRO,RIHAND1,SIMHST1,RAPPB,RSTPSU1TO6,SIMHST2,RSTPSU7,RIHAND2,SALAL,SEWA2,SINGRAULI,RAPPD,RIHAND3,RAPPC,SASAN,TANDA2,TALST2,TANAKPUR,TALA,NJPC,NLCIIST2,RAMPUR,NLCTS2EXP,NAPP,NNTPP,NTPL,PARBATI3,PARBATI2,NLCEXP,NLCIIST1,JHAJJAR,DULHASTI,KGSU1AND2,FSTPP I & II,KGSU3AND4,DHAULIGNGA,KISHANGANGA,KHSTPP-I,KUDGI,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DADRT2,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,43.28,0,25.48,0,20.82,0,3.1,0,52.5,25.49,0,26.63,0,0,0,0,0,0,0,0,0,0,0,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,274.3,5.34,0,12.32,28.41,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,224.17,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,17.85,528.39,40.54,0,0,0,0,0

2,00:15-00:30,43.28,0,25.48,0,20.82,0,3.1,0,52.5,25.49,0,26.63,0,0,0,0,0,0,0,0,0,0,0,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,289.34,5.34,0,12.32,28.41,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,224.17,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,13.94,528.39,40.54,0,0,0,0,0

3,00:30-00:45,43.28,0,25.48,0,20.82,0,3.1,0,52.5,23.24,0,26.63,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,298.82,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,224.17,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,10.97,528.39,40.54,0,0,0,0,0

4,00:45-01:00,43.28,0,25.48,0,20.82,0,3.1,0,52.5,23.24,0,26.63,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,306.94,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,224.17,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,8.92,528.39,40.54,0,0,0,0,0

5,01:00-01:15,43.28,0,27.61,0,20.82,0,3.1,0,52.5,27.74,0,26.63,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,316.89,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,195.31,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,8.38,524.4,40.54,0,0,0,0,0

6,01:15-01:30,43.28,0,27.61,0,20.82,0,3.1,0,52.5,27.74,0,25.96,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,325.55,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,166.46,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,9.07,524.4,40.54,0,0,0,0,0

7,01:30-01:45,43.28,0,29.73,0,20.82,0,3.1,0,52.5,27.74,0,25.96,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,327.86,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,20.02,0,0,0,138.57,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,7.6,453.3,40.54,0,0,0,0,0

8,01:45-02:00,37.66,0,29.73,0,19.41,0,3.1,0,52.5,27.74,0,23.13,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,141.81,23.58,125.84,62.92,327.86,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,20.02,0,0,0,138.57,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,8.02,376.35,40.54,0,0,0,0,0

9,02:00-02:15,33.18,0,29.73,0,15.85,0,3.1,0,52.5,23.24,0,19.56,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,142.33,23.58,125.84,62.92,327.86,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,20.02,0,0,0,127.46,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,8.36,231.93,40.54,0,0,0,0,0

10,02:15-02:30,33.08,0,29.73,0,15.85,0,3.1,0,52.5,23.24,0,19.56,0,0,0,0,0,0,0,0,0,0,0.99,94.56,0,0,0,0,0,120.48,82.15,0,142.33,23.58,125.84,62.92,327.86,5.34,0,12.32,28.28,169.07,0,5.48,0,23.3,0,0,20.02,0,0,0,127.46,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,9.17,126.41,40.54,0,0,0,0,0

11,02:30-02:45,33.08,0,25.48,0,15.85,0,3.1,0,52.5,23.24,0,19.56,0,0,0,0,0,0,0,0,0,0,0.94,94.56,0,0,0,0,0,120.48,82.15,0,142.33,23.58,125.84,62.92,327.86,5.34,0,12.32,28.56,169.07,0,5.48,0,23.3,0,0,21.45,0,0,0,127.46,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,9.92,50.43,40.54,0,0,0,0,0

12,02:45-03:00,33.08,0,25.48,0,15.85,0,3.1,0,52.5,23.24,0,19.56,0,0,0,0,0,0,0,0,0,0,0.94,94.56,0,0,0,0,0,120.48,82.15,0,142.33,23.58,125.84,62.92,327.86,5.34,0,12.32,28.56,169.07,0,5.48,0,23.3,0,0,21.45,0,0,0,127.46,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,10.84,50.43,40.54,0,0,0,0,0

13,03:00-03:15,23.99,0,25.48,0,11.86,0,3.1,0,52.5,23.24,0,15.21,0,0,0,0,0,0,0,0,0,0,0.94,94.56,0,0,0,0,0,120.48,78.79,0,143.39,23.58,125.84,62.92,327.86,5.34,0,11.46,28.41,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,124.57,53.26,0,20.01,0,40.84,6.78,43.79,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,13.42,50.43,40.54,0,0,0,0,0

14,03:15-03:30,23.8,0,25.48,0,11.86,0,3.1,0,52.5,23.24,0,14.65,0,0,0,0,0,0,0,0,0,0,0.94,94.56,0,0,0,0,0,120.48,78.79,0,143.39,23.58,125.84,62.92,327.86,5.34,0,11.46,28.41,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,124.57,53.26,0,17.25,0,40.84,6.78,37.74,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,13.76,50.43,40.54,0,0,0,0,0

15,03:30-03:45,23.8,0,25.48,0,11.86,0,3.1,0,52.5,23.24,0,14.65,0,0,0,0,0,0,0,0,0,0,0.94,94.56,0,0,0,0,0,120.48,78.79,0,143.39,23.58,125.84,62.92,327.86,5.34,0,11.46,28.41,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,124.57,53.26,0,17.25,0,40.84,6.78,37.74,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,13.89,50.43,40.54,0,0,0,0,0

16,03:45-04:00,23.8,0,25.48,0,11.86,0,3.1,0,52.5,23.24,0,14.65,0,0,0,0,0,0,0,0,0,0,0.94,94.56,0,0,0,0,0,120.48,78.79,0,143.39,23.58,125.84,62.92,327.86,5.34,0,11.46,28.41,169.07,0,5.48,0,23.3,0,0,30.03,0,0,0,124.57,53.26,0,17.25,0,40.84,6.78,37.74,0,0,39.02,142.63,0,0,8.29,0,32.64,45.32,13.27,50.43,40.54,0,0,0,0,0

