Column1,Block,NR/2025/24911/C,NR/2025/24912/C,NER/2024/2820/A/49830,NR/2024/24507/A/49876,NR/2025/24913/C,NR/2025/24837/A/49793,NR/2024/24434/A/49536,NR/2025/24839/A/49798,NR/2025/24838/A/49795,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,NR/2024/24435/A/49535,NR/2025/24905/C,NR/2025/24907/C,NR/2025/24908/C,WR/2024/25501/A/49831,NR/2024/24418/A/49526,NR/2024/24508/A/49875,NR/2024/24566/A/49527,Total
,,SJVNL,SJVNL,APPCPL,NVVNL,SJVNL,ABLWM1_AEROCITY,IEXL,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,APPCPL,MANIKARAN,IEXL,TPTCL,IEXL,HPXL,NDMC,PXIL,NDMC,PUNJAB,BAWANA_GAS,NDMC,HPXL,IEXL,DELHI,IEXL,NDMC,IEXL,TPDDL,NVVNL,NVVNL,APPCPL,ITCLH,NVVNL,IEXL,
,,NA,KARNATAKA_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,ODISHA_STATE,NA,NA,NA,NA,DELHI_UT,DELHI_UT,NA,NA,MP_State,HIMACHAL_STATE,NA,NA,KARNATAKA_STATE,NA,NA,NA,DELHI_UT,ANDHRA_PRADESH_STATE,NA,TELANGANA_State,
,,TPSL_BKN2,RENUKASUGARSMUNOLI,BYPL,JIPL,RSRPL_BKN,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,BYPL,BRPL,JPNIGRIE_JNSTPP,BYPL,NBVLIPP,SKS_Raigarh,JPL2,JPNIGRIE_JNSTPP,RKM_POWER,BAWANA_GAS,BAWANA_GAS,SKS_Raigarh,JPNIGRIE_JNSTPP,JP_BINA,CHANJUII,SKS_Raigarh,RKM_POWER,NSLSUGARALAND,JHAJJAR,JIPL,TRN_ENERGY,BRPL,ITCWIND,TRN_ENERGY,NSLKSLWPRTY,
,,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,Manipur_Ben,NDMC,NDMC,ABLWM1_AEROCITY,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,AEML,AEML,BRPL,TPC_MSEB,BRPL,BRPL,NDMC,BRPL,NDMC,PUNJAB,HARYANA,NDMC,BRPL,BRPL,TPDDL,BRPL,NDMC,MES_Delhi,TPDDL,NDMC,NDMC,GOA_Beneficiary,ITCLH,NDMC,MES_Delhi,
,,North-North,South-West-North,North-East-North East,East-North,North-North,North-North,North-North,North-North,North-North,North-West,North-West,West-North,North-West,East-North,West-North,West-North,West-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,South-West-North,North-North,East-North,West-North,North-West,South-West-North,West-North,South-West-North,
1,00:00-00:15,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

2,00:15-00:30,0,0,0,17.24,0,0,0,0,0,0,0,26.82,0,20.12,19.16,23.95,28.74,23.95,0,0,8.62,47.9,47.9,1.55,47.9,23.95,9.58,0,0,0,0,0.38,8.71,5.75,362.2199999999999

