Column1,Time,GNA/NR/2024/12/01/3428,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/12/01/1899,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/12/01/2197,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/12/01/1766,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,NR/30092023/26122029/SH-06,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,NR/01102023/22052037/LT-59,L_NR_2019_19,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/1475,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,8.66,1.74,0,8.66,1.3,0,25.97,1.66,66,25.97,0,0,72.14,113.77,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,75,25,6.6,0,56.66,56.67,0,0,0,25,18.33,0

2,00:15-00:30,8.66,1.74,0,8.66,1.3,0,25.97,1.66,66,25.97,0,0,76.94,113.77,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,73.99,24.67,6.6,0,55,55,0,0,0,24.67,18,0

3,00:30-00:45,8.66,1.74,0,8.66,1.3,0,25.97,1.66,66,25.97,0,0,76.94,113.77,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,72.49,24.17,6.6,0,60.66,60.67,0,0,0,24.17,17.67,0

4,00:45-01:00,8.66,1.74,0,8.66,1.3,0,25.97,1.66,66,25.97,0,0,76.94,113.77,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,70.99,23.67,6.6,0,60,60,0,0,0,23.67,17.33,0

5,01:00-01:15,8.66,1.74,0,8.66,1.22,0,25.97,1.66,66,25.97,0,0,87.52,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.73,0,0,0,25.97,0,69.49,23.17,6.6,0,59.34,59.33,0,0,0,23.17,16.67,0

6,01:15-01:30,8.66,1.74,0,8.66,1.22,0,25.97,1.66,66,25.97,0,0,87.52,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,67.99,22.67,6.6,0,51.66,51.67,0,0,0,22.67,16,0

7,01:30-01:45,8.66,1.74,0,8.66,1.22,0,25.97,1.66,66,25.97,0,0,87.52,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,67.5,22.5,6.6,0,55,55,0,0,0,22.5,10,0

8,01:45-02:00,8.66,1.74,0,8.66,1.22,0,25.97,1.66,66,25.97,0,0,87.52,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,66,22,6.6,0,54.66,54.67,0,0,0,22,10,0

9,02:00-02:15,8.66,1.84,0,8.66,1.22,0,25.97,1.66,57.42,25.97,0,0,77.91,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,60,20,6.6,0,54.34,54.33,0,0,0,20,10,0

10,02:15-02:30,8.66,1.84,0,8.66,1.22,0,25.97,1.66,57.42,25.97,0,0,77.91,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,59,19.66,6.6,0,53.34,53.33,0,0,0,19.67,10,0

11,02:30-02:45,8.66,1.84,0,8.66,1.22,0,25.97,1.66,57.42,25.97,0,0,72.14,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,57.5,19.16,6.6,0,51.66,51.67,0,0,0,19.17,8.33,0

12,02:45-03:00,8.66,1.84,0,8.66,1.22,0,25.97,1.66,57.42,25.97,0,0,67.33,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,56.5,18.84,6.6,0,48.34,48.33,0,0,0,18.83,8.33,0

13,03:00-03:15,8.66,1.84,0,8.66,1.22,0,25.97,1.62,57.42,25.97,0,0,67.33,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,54.5,18.16,6.6,0,45,45,0,0,0,18.17,8.33,0

14,03:15-03:30,8.66,1.84,0,8.66,1.22,0,25.97,1.62,57.42,25.97,0,0,72.14,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,54,18,6.6,0,43.34,43.33,0,0,0,18,8.33,0

15,03:30-03:45,8.66,1.84,0,8.66,1.22,0,25.97,1.62,57.42,25.97,0,0,72.14,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,52.5,17.5,6.6,0,33.34,33.33,0,0,0,17.5,8.33,0

16,03:45-04:00,8.66,1.84,0,8.66,1.22,0,25.97,1.62,57.42,25.97,0,0,72.14,65.4,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,25.23,0,0,0,25.97,0,51,17,6.6,0,31.66,31.67,0,0,0,17,8.33,0

17,04:00-04:15,8.66,1.84,0,8.66,1.22,0,25.97,1.62,66,25.97,0,0,72.14,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.73,0,0,0,25.97,0,45,15,6.6,0,30,30,0,0,0,15,8.33,0

18,04:15-04:30,8.66,1.84,0,8.66,1.22,0,25.97,1.62,66,25.97,0,0,72.14,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,44.51,14.83,6.6,0,29.34,29.33,0,0,0,14.83,8.33,0

19,04:30-04:45,8.66,1.84,0,8.66,1.22,0,25.97,1.62,66,25.97,0,0,100.2,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,44.51,14.83,6.6,0,28.66,28.67,0,0,0,14.83,8.33,0

20,04:45-05:00,8.66,1.84,0,8.66,1.22,0,25.97,1.62,66,25.97,0,0,100.2,95.53,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,44.51,14.83,6.6,0,28.34,28.33,0,0,0,14.83,8.33,0

21,05:00-05:15,8.66,1.74,0,8.66,1.22,0,25.97,1.62,65.56,25.97,0,0,100.2,94.86,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,44.51,14.83,6.6,0,23.34,23.33,0,0,0,14.83,7.33,0

22,05:15-05:30,8.66,1.74,0,8.66,1.22,0,25.97,1.62,65.56,25.97,0,0,100.2,130.56,70.13,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.22,0,0,0,25.97,0,44.51,14.83,6.6,0,22.66,22.67,0,0,0,14.83,7,0

23,05:30-05:45,8.66,1.74,0,8.66,1.22,0,25.97,1.62,65.56,25.97,0,0,100.2,130.56,65.99,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.73,0,0,0,25.97,0,44.51,14.83,6.6,0,22.34,22.33,0,0,0,14.83,6.67,0

24,05:45-06:00,8.66,1.74,0,8.66,1.22,0,25.97,1.62,76.49,25.97,0,0,100.2,130.56,65.99,95.13,0,150,31.71,0.69,0,0,0,0,0,0,24.73,0,0,0,25.97,0,44.51,14.83,6.6,0,21.66,21.67,0,0,0,14.83,6.67,0

25,06:00-06:15,8.66,1.84,0,8.66,1.22,0,28.85,1.62,86.75,28.85,0,0,100.2,130.56,65.99,0,0,150,0,0.69,0,0,0,0,0,0,24.73,0,0,0,28.85,0,43.99,14.67,6.6,0,22,22,0.72,0,0,14.67,6.67,0

26,06:15-06:30,8.66,1.84,0,8.66,1.22,0,28.85,1.62,86.75,28.85,0,0,100.2,130.56,65.99,0,0,150,0,0.69,0,0,0,0,0,0,24.73,0,0,0,28.85,0,43.99,14.67,6.6,0,21.34,21.33,1.33,0,0,14.67,6.67,0

27,06:30-06:45,8.66,1.84,0.08,8.66,1.22,0.07,31.74,1.62,86.75,31.74,0.07,0,100.2,130.56,74.47,0,0,150,0,0.69,0,0,0,0,0,0,24.73,0,0,0,31.74,0.18,40.01,13.33,6.6,0,28.34,28.33,3.08,1,0,13.33,6.67,0

28,06:45-07:00,8.66,1.84,0.17,8.66,1.22,0.16,31.74,1.62,86.75,31.74,0.16,0,100.2,130.56,115,0,0,150,0,0.69,0,0,0,0,0,0,24.22,0,0,0,31.74,3.79,37.5,12.5,6.6,0,28,28,6.22,6,0,12.5,6.67,0

29,07:00-07:15,8.66,1.84,0.36,8.66,1.22,0.35,31.74,1.62,86.75,31.74,0.35,0,100.2,130.56,115,0,0,150,0,0.69,2.09,1,0,0,0,0.11,23.72,0,0,0,31.74,13.91,43.99,14.67,6.6,2,30,30,15,11,1,14.67,6.67,0.58

30,07:15-07:30,8.66,1.84,0.72,8.66,1.22,0.7,31.74,1.62,86.75,31.74,0.7,0,100.2,130.56,115,0,0,150,0,0.69,10.14,2,1,1,1,0.54,23.72,0,0,0,31.74,25.71,43.01,14.33,6.6,3,29.34,29.33,25.9,18,4,14.33,6.67,2.68

31,07:30-07:45,8.66,1.84,1.23,8.66,1.22,1.19,34.62,1.62,86.75,34.62,1.19,0,100.2,130.56,115,0,0,150,0,0.69,19.46,5,3,3,2,1.18,23.72,0,0,0,34.62,27.25,42.49,14.17,6.6,6,40,40,27.25,24,7,14.17,6.67,5.89

32,07:45-08:00,8.66,1.84,1.9,8.66,1.22,1.85,34.62,1.62,86.75,34.62,1.85,0,100.2,130.56,115,0,0,150,0,0.69,28.08,8,4,4,4,3.34,23.72,0,0,0,34.62,26.83,40.99,13.67,6.6,8,38.34,38.33,26.84,26.83,11,13.67,6.67,16.69

33,08:00-08:15,11.54,1.84,3.04,11.54,1.14,2.96,36.55,1.62,86.75,36.55,2.96,0,100.2,130.56,115,0,0,150,0,0.69,38.15,17,8,12,5,6.54,23.72,0,0,0,36.55,29.9,40.01,13.33,6.6,13,33.34,33.33,29.9,29.9,28,13.33,6.67,32.68

34,08:15-08:30,11.54,1.84,3.68,11.54,1.14,3.59,36.55,1.62,86.75,36.55,3.59,0,100.2,130.56,115,0,0,150,0,0.69,49.85,23,12,18,8,10.81,23.22,0,0,0,36.55,29.9,39,13,6.6,22,31.66,31.67,29.9,29.9,42,13,6.67,54.06

35,08:30-08:45,14.43,1.84,4.56,14.43,1.14,4.44,36.55,1.62,86.75,36.55,4.44,0,100.2,130.56,115,0,0,150,0,0.69,62.08,31,15,24,14,15.34,23.22,0,0,0,36.55,30.4,37.5,12.5,6.6,28,31,31,30.4,30.4,56,12.5,6.67,76.71

36,08:45-09:00,14.43,1.84,5.55,14.43,1.14,5.41,36.55,1.62,86.75,36.55,5.41,0,100.2,130.56,115,0,0,150,0,0.69,73.82,39,19,30,18,19.75,23.22,0,0,0,36.55,30.8,36,12,6.6,41,30,30,30.8,30.8,70,12,6.67,98.74

37,09:00-09:15,14.43,1.74,6.84,14.43,1.14,6.68,28.85,1.62,86.75,28.85,6.68,0,100.2,130.56,115,0,0,150,0,0.69,84.52,46,23,34,22,24.2,23.22,0,0,0,28.85,30.8,34.01,11.33,6.6,45,29,29,30.8,30.8,81,11.33,6.67,121.03

38,09:15-09:30,14.43,1.74,7.8,14.43,1.14,7.61,28.85,1.62,86.75,28.85,7.61,0,100.2,130.56,115,0,0,150,0,0.69,93.95,53,27,39,26,28.4,23.22,0,0,0,28.85,30.8,32.51,10.83,6.6,53,27.66,27.67,30.8,30.8,91,10.83,6.67,142.02

39,09:30-09:45,14.43,1.74,8.83,14.43,1.14,8.61,28.85,1.62,86.75,28.85,8.61,0,100.2,130.56,115,0,0,150,0,0.69,102.6,60,30,45,29,32.49,23.22,0,0,0,28.85,30.8,31.01,10.33,6.6,63,26.66,26.67,30.8,30.8,105,10.33,6.67,162.44

40,09:45-10:00,14.43,1.74,10.45,14.43,1.14,10.19,28.85,1.62,86.75,28.85,10.19,0,100.2,130.56,65.99,0,0,150,0,0.69,110.32,66,33,51,31,36.19,23.22,0,0,0,28.85,30.8,28.99,9.67,6.6,70,25,25,30.8,30.8,119,9.67,6.67,180.96

41,10:00-10:15,14.43,1.84,11.35,14.43,1.14,11.08,28.85,1.66,86.75,28.85,11.08,0,100.2,130.56,65.99,0,0,150,0,0.69,117.14,71,36,54,33,40.6,0,0,0,0,28.85,30.8,28.5,9.5,2.4,76,16.66,16.67,30.8,30.8,126,9.5,6.67,203

42,10:15-10:30,14.43,1.84,12.06,14.43,1.14,11.78,28.85,1.66,86.75,28.85,11.78,0,100.2,130.56,65.99,0,0,150,0,0.69,122.86,77,38,60,35,43.43,0,0,0,0,28.85,30.8,28.01,9.33,2.4,80,16.66,16.67,30.8,30.8,140,9.33,6.67,217.13

43,10:30-10:45,14.43,1.84,12.84,14.43,1.14,12.52,28.85,1.66,86.75,28.85,12.52,0,100.2,130.56,65.99,0,0,150,0,0.69,127.51,83,41,66,37,45.85,0,0,0,0,28.85,30.8,27.49,9.17,2.4,83,16.66,16.67,30.8,30.8,154,9.17,6.67,229.24

44,10:45-11:00,14.43,1.84,13.55,14.43,1.14,13.23,28.85,1.66,86.75,28.85,13.23,0,100.2,130.56,65.99,0,0,150,0,0.69,131.38,85,43,69,39,47.85,0,0,0,0,28.85,30.8,28.01,9.33,2.4,88,16.66,16.67,30.8,30.8,161,9.33,6.67,239.25

45,11:00-11:15,14.43,1.84,13.99,14.43,1.14,13.66,25.97,1.66,86.75,25.97,13.66,0,100.2,130.56,65.99,0,0,150,0,0.69,134.31,89,45,72,41,48.33,0,0,0,0,25.97,30.8,28.5,9.5,2.4,91,16.66,16.67,30.8,30.8,168,9.5,6.67,241.67

46,11:15-11:30,14.43,1.84,14.57,14.43,1.14,14.22,25.97,1.66,86.75,25.97,14.22,0,100.2,130.56,65.99,0,0,150,0,0.69,136.7,93,46,75,42,48.33,0,0,0,0,25.97,30.8,28.99,9.67,2.4,92,16.66,16.67,30.8,30.8,175,9.67,6.67,241.67

47,11:30-11:45,14.43,1.84,14.79,14.43,1.14,14.43,25.97,1.66,86.75,25.97,14.43,0,100.2,130.56,65.99,0,0,150,0,0.69,138.38,95,48,78,42,48.33,0,0,0,0,25.97,30.8,29.51,9.83,2.4,93,16.66,16.67,30.8,30.8,182,9.83,6.67,241.67

48,11:45-12:00,14.43,1.84,14.88,14.43,1.14,14.52,25.97,1.66,86.75,25.97,14.52,0,100.2,130.56,65.99,0,0,150,0,0.69,139.34,97,48,76,43,48.33,0,0,0,0,25.97,30.8,30.49,10.17,2.4,93,16.66,16.67,30.8,30.8,179,10.17,6.67,241.67

49,12:00-12:15,14.43,1.84,14.88,14.43,1.22,14.52,25.97,1.71,86.75,25.97,14.52,0,100.2,130.56,70.13,0,0,150,0,0.77,139.66,100,50,76,43,48.33,0,0,0,0,25.97,30.8,25.01,8.33,2.4,93,16.66,16.67,30.8,30.8,179,8.33,6.67,241.67

