Block,Time,BSIUL,KHSTPP-II,KOTESHWR,KUDGI,NAPP,RAPPC,SINGRAULI,TANDA2,UNCHAHAR1,UNCHAHAR2,DADRI_CRF,DADRI_GF,DHAULIGNGA,KKNPPU2,NJPC,TALA,UNCHAHAR4,VALLURNTECL,ANTA_RF,CHAMERA2,KGSU1AND2,KGSU3AND4,KHSTPP-I,NLCIIST2,NTPL,PARBATI2,RAPPB,RIHAND2,SINGRAULI_HYDRO,UNCHAHAR3,CHAMERA1,PARBATI3,ANTA_GF,AURY_CRF,CHAMERA3,JHAJJAR,KISHANGANGA,KKNP,NLCEXP,NNTPP,RSTPSU1TO6,SEWA2,SIMHST2,TEHRI,DULHASTI,NLCIIST1,RIHAND3,SASAN,TANAKPUR,URI2,AURY_RF,DADRI_RF,BRBCL,FSTPP I & II,KOLDAM,MAPS,RAMPUR,SALAL,SIMHST1,TALST2,TelanganaSTPP,URI,ANTA_CRF,ANTA_LF,DADRI_LF,DADRT2,NLCTS2EXP,RAPPD,RIHAND1,RSTPSU7,AURY_GF,AURY_LF
1,00:00-00:15,6.52,148.3,10.43,0,26.43,69.23,112.11,5.7,21.65,43.9,0,0,10.95,0,110.67,0,1.9,0,51.17,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.18,28.13,16.88,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,33.71,59.5,0,130.79,345.38,6.27,38.1,80.77,100.46,20,20.8,4.79,0,4.4,53.45,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

2,00:15-00:30,6.52,148.3,10.43,0,26.43,69.23,112.11,5.7,21.65,43.9,0,0,10.95,0,110.67,0,1.9,0,51.17,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.18,28.13,16.88,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,33.71,59.5,0,130.79,345.38,6.27,38.1,80.77,100.46,20,20.8,4.79,0,4.4,79.38,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

3,00:30-00:45,6.52,148.3,10.43,0,26.43,69.23,112.11,5.7,21.65,43.9,0,0,10.95,0,110.67,0,1.9,0,51.17,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.18,28.13,16.88,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,33.71,59.5,0,130.79,345.38,6.27,38.1,80.77,100.46,20,20.8,4.79,0,4.4,79.38,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

4,00:45-01:00,6.52,148.3,10.43,0,26.43,69.23,112.11,5.7,21.65,43.9,0,0,10.95,0,110.67,0,1.9,0,51.17,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.18,28.13,16.88,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,33.71,59.5,0,130.79,345.38,6.27,38.1,80.77,100.46,20,20.8,4.79,0,4.4,79.38,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

5,01:00-01:15,6.52,148.3,10.43,0,26.43,69.23,112.11,5.7,21.65,43.9,0,0,10.95,0,110.67,0,1.9,0,51.17,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.18,28.13,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,33.71,59.5,0,130.79,345.38,6.27,38.1,80.77,100.46,20,20.8,4.79,0,4.4,79.38,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

6,01:15-01:30,6.52,148.3,10.43,0,26.43,69.23,112.11,5.7,21.65,43.9,0,0,10.95,0,110.67,0,1.9,0,51.17,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.18,14.05,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,33.71,59.5,0,130.79,345.38,6.27,38.1,80.77,100.46,20,20.8,4.79,0,4.4,79.38,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

7,01:30-01:45,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,1.9,0,51.83,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,14.05,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,33.71,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,79.38,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

8,01:45-02:00,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,1.9,0,51.83,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

9,02:00-02:15,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,51.83,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

10,02:15-02:30,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,51.83,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

11,02:30-02:45,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,52.22,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

12,02:45-03:00,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,52.22,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.36,0,0,0,548.92,0,22.02,97.23,0,0,0

13,03:00-03:15,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,52.22,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.99,0,0,0,548.92,0,22.02,97.23,0,0,0

14,03:15-03:30,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,52.22,48.81,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.99,0,0,0,548.92,0,22.02,97.23,0,0,0

15,03:30-03:45,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,52.22,32.53,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.99,0,0,0,548.92,0,22.02,97.23,0,0,0

16,03:45-04:00,13.04,148.3,10.43,0,26.43,69.23,112.11,5.7,21.94,45,0,0,10.95,0,110.67,0,3.2,0,52.22,32.53,0,0,45.53,0,0,18.78,0,124.58,0.89,27.68,0,18.41,0,0,23.33,670.67,8.63,0,0,0,0,12.61,0,22.47,59.5,0,130.79,345.38,0.51,38.1,80.77,100.46,20,20.8,4.79,0,4.4,66.82,0,0,0,52.99,0,0,0,548.92,0,22.02,97.23,0,0,0

