Block,Time,L_NR_2012_01,SH-06,L_NR_2012_02,L_NR_2020_07,L_NR_2019_06,L_NR_2021_14,L_NR_2021_17,L_NR_2018_61,LT-59,L_NR_2023_04,LT-05,L_NR_2012_07,SH-07,LT-31,L_NR_2019_05,L_NR_2020_02,L_NR_2020_06,L_NR_2012_04,L_NR_2019_07,L_NR_2022_08,L_NR_2021_16,LT-35,L_NR_2019_11,L_NR_2020_05,L_NR_2021_12,LT-36,L_NR_2022_10,L_NR_2021_13,L_NR_2021_15,L_NR_2022_09,L_NR_2019_19
1,00:00-00:15,101.040000,0.000000,234.980000,22.59,0,0,0,25.72,0.000000,0.000000,33.110000,64.820000,0.000000,0.000000,0,0.000000,22.6,271.290000,0,24.54,0,0.000000,0.000000,67.79,0,0.000000,55.12,0,0,55.12,0

2,00:15-00:30,101.040000,0.000000,234.980000,22.75,0,0,0,25.93,0.000000,0.000000,33.110000,49.850000,0.000000,0.000000,0,0.000000,22.75,271.290000,0,24.07,0,0.000000,0.000000,68.25,0,0.000000,54.78,0,0,54.78,0

3,00:30-00:45,101.040000,0.000000,234.980000,27.89,0,0,0,23.13,0.000000,0.000000,33.110000,49.850000,0.000000,0.000000,0,0.000000,27.89,271.290000,0,30.88,0,0.000000,0.000000,83.68,0,0.000000,62.87,0,0,62.87,0

4,00:45-01:00,101.040000,0.000000,186.750000,27.61,0,0,0,22.66,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,27.6,271.290000,0,30.42,0,0.000000,0.000000,82.81,0,0.000000,62.54,0,0,62.54,0

5,01:00-01:15,101.040000,0.000000,148.190000,27.27,0,0,0,22.07,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,27.27,271.290000,0,29.88,0,0.000000,0.000000,81.81,0,0.000000,61.54,0,0,61.54,0

6,01:15-01:30,101.040000,0.000000,148.190000,26.8,0,0,0,21.73,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,26.81,271.290000,0,29.69,0,0.000000,0.000000,80.42,0,0.000000,61.21,0,0,61.21,0

7,01:30-01:45,101.040000,0.000000,115.750000,26.36,0,0,0,21.88,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,26.36,271.290000,0,29.71,0,0.000000,0.000000,79.07,0,0.000000,61.57,0,0,61.57,0

8,01:45-02:00,101.040000,0.000000,115.750000,26.49,0,0,0,31.91,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,26.5,271.290000,0,29.54,0,0.000000,0.000000,79.5,0,0.000000,61.95,0,0,61.95,0

9,02:00-02:15,101.040000,0.000000,115.750000,24.76,0,0,0,32.2,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,24.75,271.290000,0,28.53,0,0.000000,0.000000,74.26,0,0.000000,62.48,0,0,62.48,0

10,02:15-02:30,101.040000,0.000000,115.750000,25.01,0,0,0,32.86,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,25.01,271.290000,0,28.92,0,0.000000,0.000000,75.03,0,0.000000,61.97,0,0,61.97,0

11,02:30-02:45,72.100000,0.000000,115.750000,24.88,0,0,0,33,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,24.89,271.290000,0,28.96,0,0.000000,0.000000,74.67,0,0.000000,61.54,0,0,61.54,0

12,02:45-03:00,53.050000,0.000000,115.750000,24.47,0,0,0,33,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,24.47,271.290000,0,29.2,0,0.000000,0.000000,73.41,0,0.000000,61.94,0,0,61.94,0

13,03:00-03:15,53.050000,0.000000,115.750000,23.47,0,0,0,25.99,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,23.46,271.290000,0,28.37,0,0.000000,0.000000,70.39,0,0.000000,60,0,0,60,0

14,03:15-03:30,53.050000,0.000000,115.750000,22.49,0,0,0,25.86,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,22.5,271.290000,0,27.49,0,0.000000,0.000000,67.5,0,0.000000,57.63,0,0,57.63,0

15,03:30-03:45,53.050000,0.000000,115.750000,23.35,0,0,0,25.56,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,23.34,231.500000,0,25.97,0,0.000000,0.000000,70.03,0,0.000000,55.18,0,0,55.18,0

16,03:45-04:00,53.050000,0.000000,115.750000,23.1,0,0,0,25.21,0.000000,0.000000,33.110000,33.740000,0.000000,0.000000,0,0.000000,23.1,192.920000,0,24.73,0,0.000000,0.000000,69.31,0,0.000000,53.85,0,0,53.85,0

