Block,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/06022042/L_NR_2012_02,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,NR/30092023/31122025/SH-07,NR/16122023/22122023/HP-16,NR/01102023/15082037/GNA_NR_2012_01,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/19122023/19122023/SJVN191223NR1302,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/30092023/26122029/SH-06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/31052040/LT-31,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/16122023/22122023/HP-20,NR/01102023/08032047/L_NR_2021_14,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/19122023/19122023/SJVN191223NR1301
1,00:00-00:15,28.38,0,48.02,27.76,0,147.900000,56.04,85.16,96.040000,28.39,0,25.920000,133.760000,48.020000,0,0,0,1.140000,1.660000,24.010000,31.690000,148.550000,0,25.920000,56.04,0.000000,0,25.19,0.000000,0.930000,70.020000,0.000000,0.000000,127.710000,0,0,0,0,0,0

2,00:15-00:30,28.06,0,48.02,26.74,0,119.090000,53.67,84.16,96.040000,28.05,0,25.920000,133.760000,48.020000,0,0,0,1.140000,1.660000,24.010000,31.690000,148.550000,0,25.920000,53.67,0.000000,0,26.32,0.000000,0.930000,70.020000,0.000000,0.000000,127.710000,0,0,0,0,0,0

3,00:30-00:45,28.07,0,48.02,26.19,0,119.090000,51.74,84.22,96.040000,28.07,0,25.920000,133.760000,48.020000,0,0,0,1.140000,1.660000,24.010000,31.690000,192.080000,0,25.920000,51.74,0.000000,0,27.58,0.000000,0.930000,70.020000,0.000000,0.000000,127.710000,0,0,0,0,0,0

4,00:45-01:00,27.91,0,48.02,20.03,0,119.090000,51.58,83.73,96.040000,27.91,0,25.920000,133.760000,48.020000,0,0,0,1.140000,1.660000,24.010000,31.690000,192.080000,0,25.920000,51.58,0.000000,0,29.1,0.000000,0.930000,70.020000,0.000000,0.000000,127.710000,0,0,0,0,0,0

5,01:00-01:15,25.86,0,48.02,20.26,0,119.090000,51.1,77.61,96.040000,25.87,0,25.920000,133.760000,48.020000,0,0,0,1.070000,1.660000,23.050000,31.690000,192.080000,0,25.920000,51.1,0.000000,0,30.96,0.000000,1.010000,70.020000,0.000000,0.000000,127.710000,0,0,0,0,0,0

