Block,Time Block,MAPS,KUDGI,KOLDAM,KKNP,KKNPPU2,KISHANGANGA,KOTESHWR,KHSTPP-II,KGSU1AND2,KHSTPP-I,KGSU3AND4,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,URI2,TEHRIPSP,UNCHAHAR2,URI,TEHRI,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,UNCHAHAR3,TANDA2,TALST2,TANAKPUR,TALA,SINGRAULI_HYDRO,SIMHST1,SIMHST2,SINGRAULI,NJPC,NAPP,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,CHAMERA1,BSIUL,CHAMERA3,JHAJJAR,SEWA2,RAPPD,RSTPSU1TO6,RAMPUR,RAPPC,SALAL,RIHAND1,SASAN,RAPPB,RIHAND2,RSTPSU7,RIHAND3,PARBATI3,PARBATI2,NTPL,NNTPP,NLCIIST2,NLCTS2EXP,NLCEXP,NLCIIST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,8.31,0,0,6.71,39.09,95.25,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,41.88,29.78,73.4,0,20.04,1.71,0,25.06,2.94,0,12.63,25.09,0,0,0,109.6,0,23.47,45.4,40.91,19.41,15.68,36.91,661.03,40.61,18.85,32.7,449.7,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,55.15,47.46,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,8.31,0,0,6.71,39.09,95.26,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,42.02,29.78,73.4,0,20.46,1.71,0,25.13,2.94,0,12.63,25.09,0,0,0,109.6,0,23.47,45.4,40.91,19.41,14.76,36.91,661.03,40.61,18.85,32.7,449.7,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,55.15,47.46,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,8.31,0,0,6.71,39.09,95.26,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,42.02,29.78,73.4,0,20.46,1.71,0,25.13,2.94,0,10.66,25.26,0,0,0,109.6,0,23.47,45.4,40.91,19.41,12.94,36.91,661.03,40.61,12.56,32.7,449.7,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,55.15,47.46,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,8.31,0,0,6.71,39.09,95.26,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,36.05,0,42.02,29.78,73.4,0,20.46,1.71,0,25.13,2.94,0,10.66,25.26,0,0,0,109.6,0,23.47,45.4,40.91,19.41,12.04,36.91,661.03,40.61,12.56,32.7,449.7,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,55.15,47.46,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,8.31,0,0,6.71,39.09,95.26,0,43.33,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,42.02,27.66,73.4,0,20.46,1.71,0,24.5,2.94,0,10.66,25.26,0,0,0,109.6,0,23.47,45.4,40.91,19.41,11.85,36.91,656.82,40.61,12.56,32.7,449.7,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,0,47.46,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,8.31,0,0,6.71,39.09,95.26,0,43.87,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,42.02,27.66,73.4,0,20.46,1.71,0,24.5,2.94,0,10.66,25.26,0,0,0,109.6,0,23.47,45.4,40.91,19.41,13.75,36.91,656.82,40.61,12.56,32.7,398.64,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,0,47.46,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,8.31,0,0,6.71,39.09,95.26,0,44.66,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,42.02,27.66,73.4,0,20.46,1.71,0,24.5,2.94,0,10.66,25.26,0,0,0,109.6,0,23.47,45.4,40.91,19.41,13.19,36.91,656.82,40.61,12.56,32.7,340.83,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,0,47.46,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,8.31,0,0,6.71,39.09,95.26,0,44.71,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,42.02,27.66,73.4,0,20.46,1.71,0,24.5,2.94,0,10.66,25.26,0,0,0,109.6,0,23.47,45.4,40.91,19.41,12.87,36.91,619.1,40.61,12.56,32.7,340.83,8.94,23.63,0,0,63.03,81.73,46.33,403.48,0,120.7,0,126.06,0,47.46,0,0,0,0,0,0,0,0,0,0,0

