Block,Time Block,CHAMERA3,CHAMERA2,DADRT2,DADRI_LF,AURY_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,BRBCL,CHAMERA1,BSIUL,TEHRI,TANDA2,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,TANAKPUR,SIMHST2,TelanganaSTPP,RSTPSU7,TALA,SALAL,SEWA2,SINGRAULI,RIHAND3,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,RAPPB,RIHAND1,RAMPUR,RIHAND2,RAPPC,NLCEXP,NJPC,NLCIIST1,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,PARBATI3,NTPL,PARBATI2,JHAJJAR,KHSTPP-I,KGSU1AND2,KGSU3AND4,KOLDAM,KISHANGANGA,KOTESHWR,KUDGI,MAPS,KHSTPP-II,KKNP,KKNPPU2,DHAULIGNGA,FSTPP I & II,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,11.21,15.63,414.78,0,0,0,0,0,0,19.24,0,6.27,25.43,3.01,402.81,0,0,0.84,0,0,0,0,0,0,25.71,0,103.2,122.44,15.08,0,0,1.03,0,38.12,20.01,0,0,32.43,0,34.51,0,0,91.13,0,116.91,67.28,0,0,0,0,0,50.27,0,0,0,0,472.03,44.08,0,0,0,5.42,10.01,0,0,142.65,0,0,0,13.37,19.06,0,0,0,0,0

2,00:15-00:30,11.21,15.63,419.98,0,0,0,0,0,0,19.24,0,6.27,12.72,3.01,402.81,0,0,0.84,0,0,0,0,0,0,68.18,0,103.2,122.44,15.08,0,0,1.03,0,38.12,20.01,0,0,32.43,0,34.51,0,0,91.13,0,116.91,67.28,0,0,0,0,0,50.27,0,0,0,0,396.81,44.08,0,0,0,5.42,10.01,0,0,142.65,0,0,0,13.37,19.06,0,0,0,0,0

3,00:30-00:45,11.21,15.63,420.28,0,0,0,0,0,0,19.24,0,6.27,0,3.01,402.81,0,0,0.84,0,0,0,0,0,0,68.18,0,103.2,122.44,15.08,0,0,1.03,0,38.12,20.01,0,0,32.43,0,34.51,0,0,91.13,0,116.91,67.28,0,0,0,0,0,50.27,0,0,0,0,319.86,44.08,0,0,0,5.42,10.01,0,0,142.65,0,0,0,13.37,19.06,0,0,0,0,0

4,00:45-01:00,0,15.63,427.16,0,0,0,0,0,0,19.24,0,6.27,0,3.01,402.81,0,0,0.84,0,0,0,0,0,0,68.18,0,103.2,122.44,15.08,0,0,1.03,0,38.12,20.01,0,0,32.43,0,34.51,0,0,91.13,0,116.91,67.28,0,0,0,0,0,50.27,0,0,0,0,278.5,44.08,0,0,0,5.42,10.01,0,0,142.65,0,0,0,13.37,19.06,0,0,0,0,0

5,01:00-01:15,0,0,433.93,0,0,0,0,0,0,19.24,0,6.27,0,3.01,402.81,0,0,0.84,0,0,0,0,0,0,68.18,0,103.2,122.44,15.08,0,0,1.03,0,38.12,20.01,0,0,32.43,0,34.51,0,0,91.13,0,116.91,67.28,0,0,0,0,0,50.27,0,0,0,0,345.35,44.08,0,0,0,5.42,10.01,0,0,142.65,0,0,0,13.37,19.06,0,0,0,0,0

