Column1,Time,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7908,NR/01102023/19072037/LT-05,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/16/2535,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/2171,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7119,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/9821,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04)
1,00:00-00:15,0,0,0,0,0,23.01,0,30,0,0,0,0,10,0,0,0,0,10,30,30,10,87.42,0,82.38,18.51,101.6,11.84,20.6,145.38,0,2.13,5.87,0,0,100.97,8.81,17.52,0,263.14,274.04,32.95,3.99,27.25

2,00:15-00:30,0,0,0,0,0,23.21,0,30,0,0,0,0,10,0,0,0,0,10,30,30,9.66,87.42,0,82.38,18.51,93.05,11.84,20.6,145.38,0,2.13,5.87,0,0,100.97,8.81,17.52,0,263.14,274.04,32.95,3.99,27.25

3,00:30-00:45,0,0,0,0,0,23.21,0,30,0,0,0,0,10,0,0,0,0,10,30.67,30.67,10,87.42,0,82.38,18.51,84.5,11.84,20.6,145.38,0,2.13,5.87,0,0,100.97,8.81,17.52,0,263.14,274.04,32.95,3.99,27.76

4,00:45-01:00,0,0,0,0,0,23.21,0,30,0,0,0,0,10,0,0,0,0,10,31.67,31.67,10,87.42,0,82.38,18.51,75.97,11.84,20.6,145.38,0,2.13,5.87,0,0,100.97,8.81,17.52,0,263.14,274.04,32.95,3.99,27.76

5,01:00-01:15,0,0,0,0,0,23.21,0,30.5,0,0,0,0,10.17,0,0,0,0,10.16,32.33,32.33,10.66,87.42,0,82.38,18.51,70.64,11.66,20.6,145.38,0,2.13,5.78,0,0,100.97,8.81,17.52,0,263.14,274.04,32.95,3.99,27.76

6,01:15-01:30,0,0,0,0,0,23.21,0,31,0,0,0,0,10.33,0,0,0,0,10.34,33,33,10.66,87.42,0,82.38,18.51,70.64,11.66,20.6,145.38,0,2.13,5.78,0,0,100.97,8.81,17.52,0,263.14,274.04,32.95,3.99,27.76

