Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/SR/2024/12/01/6968,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,GNA/WR/2024/10/15/7089,NR/01102023/30042040/GNA_LT_35,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/12/01/1599
1,00:00-00:15,19.17,54,54,0,57.49,17.38,0,0,19.17,0,0,0,0,0,0,0,0,0,14.61,0,8.74,8.74,25.23,80,1.22,95.55,70.15,1.57,22.3,47.56,26.23,64.09,1.74,0,0,22.3,0,0.69,62.53,0,0,0,0,74.81,142.69

2,00:15-00:30,19,53.66,53.67,0,57,17.57,0,0,19,0,0,0,0,0,0,0,0,0,15.61,0,8.74,8.74,25.23,80,1.22,95.55,70.15,1.57,22.3,47.56,26.23,64.09,1.74,0,0,22.3,0,0.69,62.53,0,0,0,0,74.81,142.69

3,00:30-00:45,18.83,54,54,0,56.51,17.57,0,0,18.83,0,0,0,0,0,0,0,0,0,16.21,0,8.74,8.74,25.23,80,1.22,95.55,70.15,1.57,22.3,47.56,26.23,64.09,1.74,0,0,22.3,0,0.69,62.53,0,0,0,0,74.81,142.69

4,00:45-01:00,18.5,54.34,54.33,0,55.5,17.48,0,0,18.5,0,0,0,0,0,0,0,0,0,17.01,0,8.74,8.74,25.73,80,1.22,95.55,70.15,1.57,22.3,47.56,26.23,64.09,1.74,0,0,22.3,0,0.69,62.53,0,0,0,0,74.81,142.69

5,01:00-01:15,16.17,53.34,53.33,0,48.49,12.33,0,0,16.17,0,0,0,0,0,0,0,0,0,17.61,0,8.74,8.74,25.73,80,1.14,65.42,70.15,1.57,22.3,47.56,26.23,57.43,1.74,0,0,22.3,0,0.69,62.53,0,0,0,0,74.81,142.69

6,01:15-01:30,16.17,50.34,50.33,0,48.49,11.67,0,0,16.17,0,0,0,0,0,0,0,0,0,18.41,0,8.74,8.74,25.73,80,1.14,65.42,70.15,1.57,22.3,47.56,26.23,57.43,1.74,0,0,22.3,0,0.69,52.91,0,0,0,0,74.81,142.69

